word type,number
everything,89254
adult,0
hate,0
function,49515
normal,number
the,7796
of,3976
to,2294
and,2026
a,1793
in,1431
it,1143
that,1043
was,971
is,764
not,729
which,729
at,684
by,645
with,630
this,611
they,595
on,586
be,547
but,537
for,536
have,513
had,495
his,491
as,486
we,459
moon,429
projectile,413
its,412
would,411
i,403
he,401
their,400
were,379
from,375
one,373
an,370
all,354
said,323
you,323
will,311
no,306
are,289
if,283
what,272
these,262
replied,244
earth,243
so,239
been,239
could,234
there,227
then,226
some,213
our,200
them,196
more,194
or,191
than,191
upon,190
when,184
two,184
must,178
do,165
into,164
only,160
us,158
up,154
her,154
gun,153
very,153
my,148
well,146
like,142
time,139
now,138
who,137
president,134
has,125
after,125
him,123
feet,123
point,122
other,120
did,118
lunar,116
club,114
three,114
without,114
nothing,112
under,110
first,109
such,109
moment,108
space,107
t,107
distance,105
shall,103
j,102
air,100
great,98
travelers,98
disc,97
out,95
miles,95
might,93
sun,93
see,92
day,91
any,91
about,91
still,89
through,89
asked,89
say,87
being,87
captain,87
every,85
hundred,84
before,84
speed,84
little,83
know,83
let,83
should,82
friends,81
night,81
yes,81
question,80
over,80
exclaimed,80
even,78
never,77
weight,76
same,75
surface,75
new,74
those,74
between,74
during,73
terrestrial,73
each,72
your,72
satellite,72
fall,72
atmosphere,72
twenty,71
however,71
most,71
made,71
light,71
may,70
five,70
four,70
six,70
she,70
days,69
columbiad,68
how,68
himself,68
much,68
less,67
rays,67
toward,65
last,65
certain,64
thousand,63
why,63
can,63
attraction,63
heat,63
hours,62
themselves,62
me,62
long,62
where,62
enough,62
part,61
minutes,61
continued,61
place,60
indeed,60
world,60
man,60
globe,59
times,58
whole,58
half,57
having,57
thus,57
chapter,56
while,56
cried,56
make,56
work,55
within,55
good,54
here,54
pounds,54
mountains,53
means,53
seen,53
course,53
second,52
seemed,51
right,50
because,50
take,50
itself,50
shock,50
companions,50
ever,49
once,49
round,49
water,49
florida,48
fact,48
shot,48
too,48
ought,48
sea,47
passed,47
give,47
eyes,47
answered,47
cannon,46
quite,46
again,46
down,46
cannot,46
order,46
iron,46
soon,46
necessary,46
left,45
gas,45
full,45
