word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,30.83%,a,11.02%,means,3.35%
this,moment,4.14%,point,3.15%,was,2.48%
was,a,5.9%,the,5.38%,not,3.93%
one,of,14.56%,day,3.77%,in,2.43%
of,the,36.33%,a,3.29%,this,2.11%
at,the,27.23%,this,7.87%,a,4.54%
a,few,1.86%,little,1.35%,certain,1.24%
time,to,12.03%,the,8.27%,it,5.26%
when,the,30.29%,they,8.0%,we,6.29%
and,the,11.91%,a,2.35%,that,2.35%
were,not,3.74%,to,3.21%,the,2.41%
not,be,6.04%,a,3.43%,to,3.02%
well,as,6.25%,then,5.56%,said,5.56%
there,was,18.22%,is,16.0%,are,11.56%
is,the,8.12%,a,5.46%,not,5.46%
an,hour,4.08%,immense,3.26%,atmosphere,3.26%
which,the,13.41%,is,6.28%,was,4.89%
may,be,28.57%,imagine,5.71%,remember,4.29%
be,the,4.27%,a,4.08%,seen,2.6%
from,the,46.26%,a,5.54%,that,4.16%
the,moon,5.23%,projectile,4.29%,earth,2.83%
earth,and,13.22%,the,7.85%,to,5.37%
to,the,20.16%,be,6.28%,a,2.7%
moon,and,6.51%,is,6.02%,by,3.37%
i,have,11.41%,am,10.42%,do,4.96%
gun,club,72.19%,cotton,6.62%,of,1.99%
club,and,8.93%,was,6.25%,the,6.25%
in,the,30.87%,a,7.25%,order,2.66%
question,of,26.92%,and,5.13%,is,5.13%
twenty,four,16.9%,five,15.49%,six,12.68%
five,hundred,11.59%,miles,10.14%,minutes,10.14%
friends,said,7.69%,the,5.13%,of,5.13%
columbiad,and,10.45%,was,8.96%,will,5.97%
how,to,13.43%,many,10.45%,it,4.48%
new,york,14.86%,star,9.46%,world,9.46%
projectile,was,10.29%,had,5.39%,and,5.15%
mountains,and,11.54%,which,7.69%,of,7.69%
it,is,17.09%,was,16.65%,would,4.61%
chapter,vii,5.36%,i,3.57%,ii,3.57%
first,of,4.59%,time,4.59%,days,3.67%
part,of,68.85%,and,3.28%,was,3.28%
work,of,21.82%,was,10.91%,and,7.27%
as,to,11.34%,the,9.24%,if,7.14%
minutes,past,27.87%,and,8.2%,to,6.56%
half,a,14.29%,past,12.5%,of,8.93%
their,eyes,3.54%,projectile,1.77%,departure,1.52%
place,of,16.95%,in,10.17%,it,6.78%
little,more,4.88%,by,4.88%,as,4.88%
space,the,9.52%,and,6.67%,of,4.76%
moment,of,15.38%,the,13.46%,when,12.5%
thousand,dollars,19.05%,yards,11.11%,five,3.17%
hundred,and,40.48%,thousand,15.48%,feet,8.33%
lunar,disc,20.69%,attraction,12.93%,world,6.03%
night,of,11.11%,the,8.64%,and,6.17%
three,hundred,10.53%,friends,10.53%,travelers,8.77%
four,hours,15.94%,days,10.14%,miles,8.7%
hours,and,14.52%,the,8.06%,of,4.84%
or,the,6.67%,a,5.56%,other,3.89%
j,t,95.1%,belfast,2.94%,m,0.98%
during,the,54.79%,this,15.07%,its,6.85%
with,the,17.8%,a,11.49%,his,4.85%
what,is,14.81%,would,5.19%,do,4.44%
for,the,28.82%,a,7.63%,some,2.29%
that,the,16.0%,of,6.87%,is,6.77%
without,a,7.89%,having,4.39%,any,4.39%
having,been,15.79%,passed,5.26%,no,5.26%
point,of,32.5%,the,6.67%,and,5.83%
they,were,14.79%,could,8.24%,had,7.73%
like,a,31.06%,the,10.61%,to,3.79%
them,to,12.31%,the,5.64%,in,4.62%
but,the,11.09%,it,5.74%,a,4.4%
indeed,the,13.33%,said,10.0%,this,8.33%
than,that,13.53%,the,13.53%,a,8.82%
have,been,18.4%,made,2.94%,to,2.94%
nothing,but,16.96%,more,11.61%,to,10.71%
are,not,5.63%,we,3.87%,in,3.17%
no,longer,12.5%,more,7.77%,one,6.08%
world,was,6.9%,by,6.9%,which,5.17%
more,than,32.46%,easily,3.14%,and,2.62%
before,the,21.95%,they,6.1%,them,4.88%
now,that,5.88%,said,4.41%,to,4.41%
has,been,11.2%,not,9.6%,the,4.8%
he,was,12.47%,had,7.48%,could,4.99%
if,the,15.52%,they,9.75%,we,9.39%
president,of,21.98%,and,7.69%,was,5.49%
