word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,produced,2.83%,moon,2.2%,and,2.2%
was,it,20.22%,he,5.38%,projectile,4.52%
one,no,4.95%,but,4.4%,and,3.57%
of,that,1.81%,one,1.39%,part,1.08%
at,and,2.15%,is,1.84%,december,1.84%
a,of,7.08%,in,5.72%,with,4.02%
time,the,15.83%,of,11.51%,this,10.07%
when,moment,7.6%,period,3.51%,but,3.51%
and,hundred,1.87%,earth,1.76%,moon,1.48%
were,they,23.91%,which,3.26%,there,2.99%
not,could,13.31%,did,11.51%,do,7.63%
well,very,17.16%,as,11.94%,the,4.48%
there,and,5.56%,if,5.09%,that,2.78%
is,it,26.05%,that,9.31%,which,6.07%
an,of,9.89%,with,5.22%,in,4.67%
this,of,13.4%,at,8.71%,to,3.85%
which,of,9.14%,in,4.08%,that,2.39%
may,we,25.71%,it,10.0%,one,10.0%
be,to,26.01%,will,13.19%,would,12.27%
the,of,17.93%,to,5.93%,in,5.59%
earth,the,88.89%,to,2.06%,of,1.65%
to,as,2.38%,according,1.76%,is,1.76%
moon,the,93.01%,full,1.86%,and,0.47%
i,and,7.52%,but,3.9%,if,3.06%
gun,the,81.05%,a,6.54%,of,4.58%
club,gun,95.61%,the,3.51%,influential,0.88%
president,the,52.27%,of,7.58%,a,3.03%
from,projectile,2.45%,distance,2.17%,it,1.9%
in,and,2.24%,feet,1.88%,was,1.52%
question,the,46.67%,a,10.67%,one,6.67%
five,twenty,15.71%,of,7.14%,at,7.14%
friends,my,28.4%,his,14.81%,three,14.81%
columbiad,the,80.88%,rodman,2.94%,our,2.94%
how,and,7.81%,but,7.81%,is,6.25%
new,a,24.32%,the,17.57%,this,10.81%
projectile,the,79.18%,a,5.33%,our,4.6%
mountains,rocky,32.08%,the,16.98%,of,11.32%
it,that,4.36%,and,3.27%,but,2.72%
chapter,preliminary,3.92%,moon,3.92%,america,3.92%
first,the,57.01%,its,3.74%,our,3.74%
part,the,8.33%,lower,6.67%,that,5.0%
work,the,29.63%,to,18.52%,this,5.56%
as,such,4.23%,and,3.59%,soon,2.54%
second,the,34.62%,a,25.0%,per,17.31%
twenty,and,13.43%,of,7.46%,than,7.46%
minutes,some,16.39%,seven,13.11%,five,11.48%
half,a,22.81%,than,5.26%,about,5.26%
their,of,10.83%,in,7.56%,to,6.05%
place,the,15.0%,take,13.33%,took,11.67%
