word type,number
everything,559638
adult,759
hate,2
function,316364
normal,number
the,44660
of,20401
to,15597
and,14164
a,11431
in,9070
was,8141
it,7088
that,6539
i,5303
he,5178
not,4883
had,4518
his,4467
which,4312
at,4214
is,4124
on,4015
with,3932
this,3811
be,3607
as,3521
for,3456
by,3444
but,3253
they,2865
have,2818
were,2597
would,2574
from,2558
we,2499
no,2223
you,2148
my,2094
an,1982
there,1910
all,1873
him,1868
been,1805
if,1796
one,1781
their,1680
could,1671
what,1663
are,1591
then,1561
or,1488
said,1475
will,1468
its,1457
so,1407
them,1281
who,1208
me,1208
her,1205
some,1198
these,1160
more,1132
when,1131
two,1082
only,1071
our,1038
replied,1012
did,969
very,964
up,948
into,948
now,925
out,918
time,908
has,905
must,897
do,894
than,874
well,870
after,868
us,850
upon,817
about,796
she,780
without,777
little,768
dick,758
mr,733
like,725
made,706
great,695
sand,689
any,687
day,681
captain,677
before,669
other,657
nothing,656
those,644
even,640
under,631
where,631
first,625
over,623
should,611
hundred,606
might,602
himself,588
such,587
sea,584
uncle,583
man,565
still,564
mrs,556
shall,556
long,555
being,554
how,542
see,540
three,535
through,533
yes,531
feet,531
again,525
last,515
know,495
few,488
good,484
down,482
here,481
island,471
miles,468
during,468
moment,465
back,460
can,460
left,460
moon,460
asked,459
water,458
way,456
may,449
your,443
new,442
night,442
never,439
air,438
go,436
going,431
much,424
seemed,421
projectile,421
engineer,419
take,416
most,414
earth,412
having,411
place,411
however,408
soon,406
am,405
hours,399
five,398
off,397
men,396
between,393
make,390
found,389
yet,388
say,383
days,382
cried,381
perhaps,380
came,378
coast,377
part,377
point,367
boat,366
house,366
four,364
took,364
come,360
twenty,358
away,358
every,357
just,356
world,353
hand,351
end,350
half,349
thought,349
passed,348
same,347
eyes,343
let,341
thousand,340
speed,335
nor,331
seen,331
companions,328
light,325
chapter,317
whose,316
while,312
why,311
far,310
hour,308
each,304
themselves,304
longer,304
once,302
right,297
fact,295
work,294
albatross,294
less,291
distance,291
old,289
board,288
course,287
head,283
wind,283
get,282
against,282
