word type,number
everything,51848
adult,0
hate,1
function,29515
normal,number
the,4790
of,2067
and,1497
to,1386
a,1130
was,996
in,995
it,672
had,548
that,510
not,439
on,391
at,375
he,373
his,364
as,358
they,344
with,337
be,326
which,324
were,322
for,291
but,288
is,284
by,279
albatross,263
this,259
there,247
an,242
would,238
from,231
robur,225
have,222
their,216
uncle,203
we,201
prudent,201
been,194
no,189
if,189
she,182
could,180
said,175
or,173
her,169
all,169
them,168
evans,166
so,165
then,151
phil,148
over,147
its,147
one,145
what,145
you,139
i,120
two,117
when,116
are,114
aeronef,111
him,111
into,109
up,108
did,105
hundred,104
about,102
only,100
who,98
like,98
out,97
air,97
than,97
speed,91
some,88
these,87
more,83
do,81
nothing,80
such,78
feet,78
will,77
sea,71
institute,70
off,67
now,67
few,64
made,64
day,64
time,64
engineer,63
through,62
very,62
three,61
during,61
came,61
without,61
after,61
any,60
go,58
can,58
thousand,58
even,58
screws,58
miles,57
whose,57
president,55
night,55
going,55
how,54
being,54
where,54
much,52
long,52
might,52
has,52
get,51
seemed,50
seen,49
deck,49
before,48
those,48
other,48
down,47
most,47
first,47
work,47
cabin,47
way,46
island,46
us,46
wind,46
above,45
hours,44
men,44
between,43
tom,43
take,42
hour,42
away,41
back,41
well,41
ahead,40
must,40
morning,40
end,40
under,40
along,39
last,38
perhaps,38
come,38
o'clock,38
four,38
himself,38
ship,38
secretary,37
never,37
atmosphere,37
began,37
machine,37
moment,37
turner,37
new,36
left,36
ground,36
twenty,36
still,36
towards,36
little,36
see,36
soon,35
screw,35
against,35
again,34
same,34
right,34
aerial,34
round,34
themselves,34
colleagues,34
five,34
keep,34
here,34
escape,34
crew,33
shall,33
appeared,33
many,33
found,33
power,33
done,33
pacific,32
although,32
six,32
while,32
flying,32
master,32
yes,32
board,31
thought,31
less,31
world,30
nor,30
light,30
give,30
though,30
good,30
passed,30
half,30
asked,30
north,30
say,29
country,29
house,29
may,29
should,29
name,29
course,29
impossible,28
enough,28
great,28
every,28
your,28
took,28
fall,28
south,27
remained,27
rose,27
surface,27
another,26
know,26
man,26
balloon,26
went,26
second,26
philadelphia,26
given,26
kept,26
electric,26
think,26
prisoners,26
just,25
people,25
america,25
place,25
city,25
large,25
line,25
look,25
hands,25
quite,25
water,25
flight,25
trees,25
taken,25
below,25
full,24
almost,24
make,24
space,24
our,24
put,24
height,24
propellers,24
storm,24
river,24
chapter,23
part,23
continued,23
west,23
gave,23
thus,23
me,23
several,23
american,22
better,22
states,22
fact,22
park,22
point,22
immense,22
apparatus,22
each,22
members,22
wings,22
reached,22
became,22
r,22
mountains,22
across,21
fifty,21
united,21
sky,21
heard,21
bird,21
horizon,21
why,21
seven,21
calm,21
box,21
my,21
beneath,21
eight,20
case,20
center,20
town,20
days,20
sun,20
club,20
followed,20
aerostat,20
crossed,20
saw,20
suspensory,20
northern,20
old,19
phenomenon,19
lake,19
higher,19
means,19
within,19
form,19
force,19
twelve,19
fell,19
am,19
negro,19
lost,19
others,18
thing,18
evening,18
evidently,18
having,18
because,18
eyes,18
shouted,18
fear,18
sound,18
suddenly,18
sight,18
land,18
mate,18
yards,17
immediately,17
ten,17
de,17
small,17
certain,17
known,17
june,17
behind,17
machines,17
enormous,17
among,17
necessary,17
minutes,17
amid,17
clearing,17
shot,17
cut,17
boat,17
crowd,17
pole,17
balloonists,16
atlantic,16
both,16
far,16
let,16
since,16
earth,16
strange,16
afterwards,16
particularly,16
vast,16
high,16
heavier,16
called,16
become,16
honor,16
ready,16
answered,16
due,16
voyage,16
stopped,16
bow,16
southwest,16
capital,16
coast,16
july,16
x,15
neither,15
hand,15
doubtless,15
also,15
looked,15
europe,15
question,15
knew,15
st,15
doubt,15
different,15
however,15
something,15
view,15
possible,15
tried,15
head,15
meeting,15
locomotion,15
secret,15
got,15
fire,15
rise,15
longer,15
whole,15
need,15
carried,15
chance,15
white,15
clouds,15
gentlemen,14
leave,14
extraordinary,14
forty,14
vain,14
find,14
none,14
observatory,14
showed,14
anything,14
sort,14
best,14
too,14
short,14
ever,14
cross,14
ought,14
yet,14
brought,14
snuff,14
believe,14
exclaimed,14
sir,14
word,14
door,14
life,14
seized,14
bound,14
probably,14
southern,14
whale,14
waves,14
conqueror,13
terrestrial,13
once,13
things,13
answer,13
body,13
thrown,13
ocean,13
matter,13
bore,13
either,13
return,13
breeze,13
sixty,13
strength,13
turned,13
voice,13
least,13
ascensional,13
waters,13
opened,13
shut,13
india,13
rail,13
islands,13
regions,13
cable,13
wide,12
caspian,12
replied,12
globe,12
trumpet,12
nature,12
system,12
noticed,12
huge,12
moderate,12
able,12
french,12
iron,12
times,12
front,12
balloons,12
speak,12
position,12
watch,12
extreme,12
violence,12
set,12
idea,12
birds,12
movement,12
forward,12
happened,12
houses,12
used,12
felt,12
side,12
prison,12
arrived,12
glass,12
vertical,12
fore,12
flew,12
sighted,12
help,12
fugitives,12
disappearance,11
dahomey,11
opportunity,11
hence,11
zones,11
cause,11
important,11
ordinary,11
fallen,11
difficult,11
top,11
direction,11
working,11
friends,11
chip,11
t,11
nearly,11
following,11
eleven,11
hurricane,11
engines,11
increased,11
spot,11
rather,11
mechanical,11
taking,11
parallel,11
rising,11
resumed,11
escaped,11
aviation,11
seventy,11
own,11
clear,11
worked,11
stop,11
terror,11
rays,11
everything,11
attempt,11
wall,11
cabins,11
railway,11
barometer,11
altitude,11
gun,11
cape,11
explosion,11
sometimes,11
natives,11
received,10
excitement,10
driven,10
later,10
does,10
blow,10
paris,10
plain,10
cloud,10
road,10
distance,10
weight,10
mount,10
mr,10
certainly,10
sign,10
black,10
indeed,10
cubic,10
meters,10
fifteen,10
making,10
progress,10
unknown,10
care,10
silence,10
shoulders,10
tell,10
move,10
gas,10
free,10
reply,10
foot,10
disappeared,10
fired,10
open,10
next,10
always,10
latitude,10
reason,10
don't,10
order,10
drove,10
stood,10
ran,10
cook,10
finished,10
somewhat,10
ask,10
valley,10
region,10
match,10
east,10
wait,10
excellent,9
bank,9
bridge,9
falls,9
dispute,9
walked,9
use,9
asia,9
leaving,9
darkness,9
required,9
dropped,9
observation,9
thanks,9
