word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,32.6%,a,9.52%,what,2.93%
robur,the,9.82%,had,8.93%,and,8.48%
the,albatross,5.52%,aeronef,2.24%,air,1.3%
i,am,15.0%,have,13.33%,will,7.5%
a,few,4.97%,hundred,2.13%,little,1.6%
is,the,9.57%,not,7.09%,a,6.74%
in,the,34.27%,a,8.7%,his,3.0%
which,the,13.0%,was,6.5%,would,4.02%
president,and,49.09%,of,25.45%,nor,3.64%
and,the,12.55%,phil,4.05%,his,3.29%
on,the,49.1%,board,7.71%,a,4.37%
albatross,was,12.55%,had,8.75%,would,4.94%
to,the,18.37%,be,7.55%,get,1.67%
be,seen,6.77%,no,3.69%,the,3.69%
but,the,11.5%,it,6.27%,a,5.57%
through,the,56.45%,space,9.68%,a,6.45%
over,the,61.81%,and,3.47%,a,3.47%
aeronef,was,16.22%,and,10.81%,had,4.5%
at,the,32.24%,a,7.1%,this,4.92%
speed,of,20.88%,was,9.89%,and,8.79%
of,the,39.96%,a,3.92%,his,2.26%
institute,had,10.14%,was,10.14%,the,7.25%
go,ahead,60.34%,to,3.45%,down,3.45%
were,the,5.28%,not,4.35%,in,3.42%
one,of,36.55%,hundred,8.28%,and,5.52%
her,course,5.95%,propellers,4.76%,speed,3.57%
she,was,23.63%,would,6.59%,had,6.04%
had,been,17.73%,not,5.67%,to,4.94%
nothing,to,17.72%,of,13.92%,was,7.59%
do,you,13.58%,not,11.11%,so,9.88%
with,the,21.73%,a,9.82%,his,6.55%
all,the,23.08%,that,6.51%,these,4.14%
was,the,6.69%,a,6.59%,not,6.29%
who,had,14.29%,was,12.24%,were,7.14%
these,were,10.34%,two,4.6%,are,4.6%
two,hours,9.4%,colleagues,8.55%,o'clock,5.98%
we,are,12.44%,shall,9.95%,have,9.45%
not,a,6.18%,to,5.72%,be,5.26%
this,was,9.34%,day,3.11%,robur,2.72%
would,have,27.43%,be,18.14%,not,8.02%
an,hour,15.77%,immense,4.15%,enormous,3.73%
their,cabin,4.17%,work,1.85%,minds,1.85%
can,be,17.24%,and,5.17%,say,3.45%
that,the,17.16%,is,6.11%,was,5.52%
them,the,10.37%,to,7.93%,in,7.32%
so,as,15.76%,that,6.06%,much,4.85%
as,the,11.76%,to,10.36%,they,8.4%
what,was,14.48%,had,10.34%,is,8.28%
it,was,25.6%,is,12.05%,would,3.87%
from,the,46.9%,their,3.1%,robur,2.65%
three,hundred,18.03%,thousand,9.84%,or,8.2%
miles,an,28.07%,from,14.04%,of,7.02%
up,to,22.43%,the,14.95%,in,11.21%
about,the,9.0%,to,8.0%,it,7.0%
when,the,24.35%,he,7.83%,they,6.96%
no,doubt,5.85%,longer,4.79%,more,4.26%
more,than,22.89%,to,6.02%,and,4.82%
or,a,8.93%,the,8.33%,six,2.98%
how,could,18.52%,long,7.41%,to,7.41%
only,a,9.09%,one,6.06%,two,4.04%
for,the,26.48%,a,8.71%,some,4.18%
been,so,3.09%,made,2.58%,seen,2.06%
much,to,9.62%,more,7.69%,as,5.77%
night,the,10.91%,of,9.09%,was,7.27%
its,speed,2.72%,dimensions,2.04%,center,2.04%
some,of,7.95%,time,5.68%,hours,2.27%
could,not,22.78%,be,16.11%,only,5.0%
such,a,34.62%,an,7.69%,circumstances,5.13%
there,was,32.65%,were,11.43%,is,6.53%
if,the,18.72%,it,13.37%,we,10.16%
you,are,10.79%,have,5.04%,will,4.32%
are,not,8.77%,the,7.89%,we,5.26%
any,case,8.33%,other,6.67%,of,5.0%
have,been,23.42%,to,7.66%,a,5.41%
out,of,32.99%,over,5.15%,the,4.12%
air,the,11.34%,and,10.31%,was,8.25%
than,air,16.49%,the,12.37%,that,7.22%
hundred,and,25.0%,feet,20.19%,miles,15.38%
thousand,feet,36.21%,dollars,6.9%,cubic,6.9%
few,minutes,10.94%,hundred,7.81%,hours,6.25%
off,the,16.42%,to,11.94%,and,5.97%
very,strong,4.84%,little,4.84%,much,4.84%
said,uncle,16.09%,robur,14.94%,phil,14.37%
they,were,18.31%,had,15.12%,would,7.56%
now,it,6.06%,to,4.55%,he,4.55%
during,the,70.49%,this,16.39%,a,3.28%
will,be,14.29%,not,9.09%,do,5.19%
made,of,21.88%,the,12.5%,up,7.81%
day,was,14.06%,and,7.81%,the,7.81%
even,if,14.04%,to,8.77%,in,8.77%
whose,name,5.36%,work,3.57%,foot,3.57%
his,cabin,4.96%,master,2.75%,eyes,2.75%
like,a,40.62%,the,12.5%,him,3.12%
sea,the,8.45%,but,7.04%,and,7.04%
he,had,14.21%,was,11.8%,could,5.36%
time,to,18.75%,and,6.25%,in,6.25%
him,in,6.36%,to,6.36%,the,5.45%
did,not,65.38%,you,4.81%,he,3.85%
get,out,13.73%,back,11.76%,away,11.76%
then,the,13.33%,he,5.33%,she,4.0%
engineer,and,9.52%,had,9.52%,was,9.52%
into,the,49.07%,a,6.48%,execution,4.63%
came,the,16.36%,to,12.73%,out,10.91%
without,any,8.2%,a,6.56%,being,6.56%
being,the,5.66%,dashed,3.77%,surprised,3.77%
where,the,26.92%,it,7.69%,they,7.69%
feet,from,14.1%,above,12.82%,and,8.97%
long,way,11.54%,and,9.62%,line,5.77%
uncle,prudent,95.96%,master,1.01%,for,0.51%
prudent,and,40.0%,was,5.0%,had,3.0%
phil,evans,99.32%,said,0.68%
evans,and,7.83%,had,6.02%,who,4.22%
might,be,26.92%,have,23.08%,even,3.85%
after,the,18.03%,a,4.92%,midnight,4.92%
going,to,36.36%,at,7.27%,round,5.45%
has,been,11.54%,not,9.62%,never,3.85%
screws,were,15.79%,and,10.53%,which,5.26%
