word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,1.44%,followed,1.44%,worked,1.44%
the,of,16.72%,in,6.95%,to,5.31%
i,and,11.67%,prudent,4.17%,when,4.17%
a,in,7.48%,of,6.95%,was,5.79%
is,it,28.83%,that,11.03%,there,5.69%
in,and,3.07%,was,2.66%,o'clock,1.94%
which,of,8.52%,in,7.89%,and,2.21%
president,the,72.73%,was,3.64%,mr,3.64%
and,prudent,5.59%,president,1.89%,hundred,1.82%
on,and,2.37%,turned,1.58%,appeared,1.58%
albatross,the,96.58%,his,0.38%,astonishing,0.38%
to,as,2.68%,began,2.03%,had,1.96%
be,to,31.9%,would,13.19%,could,8.9%
but,was,2.46%,so,2.11%,sea,1.75%
through,them,4.84%,xii,3.23%,escape,3.23%
over,was,7.48%,passed,5.44%,out,3.4%
aeronef,the,92.79%,his,2.7%,an,2.7%
at,and,3.07%,was,2.23%,observatory,1.4%
speed,the,26.37%,a,12.09%,full,8.79%
of,one,2.62%,out,1.58%,that,1.23%
go,the,56.9%,to,13.79%,let,3.45%
were,they,19.94%,there,8.86%,these,2.85%
one,in,5.59%,only,4.2%,was,4.2%
her,of,8.88%,with,6.51%,in,5.92%
she,if,6.74%,as,6.18%,and,5.06%
had,he,9.87%,they,9.68%,albatross,4.28%
nothing,was,12.66%,said,5.06%,had,3.8%
do,to,24.69%,not,11.11%,we,6.17%
with,and,3.68%,it,1.53%,covered,1.53%
all,and,8.28%,of,7.1%,in,4.73%
was,it,17.44%,there,8.11%,he,4.46%
who,those,15.05%,evans,7.53%,prudent,4.3%
these,of,28.74%,all,8.05%,but,4.6%
two,the,30.77%,in,4.27%,about,4.27%
we,if,9.69%,as,6.12%,that,4.59%
not,did,15.49%,was,14.12%,could,9.34%
this,in,9.3%,of,8.14%,at,6.98%
would,they,11.02%,it,11.02%,he,6.78%
an,miles,6.64%,was,6.22%,of,5.81%
their,of,14.81%,in,8.33%,to,6.48%
can,we,31.03%,you,8.62%,which,6.9%
that,and,5.54%,was,2.18%,in,2.18%
them,of,11.31%,to,5.95%,above,3.57%
so,and,14.02%,do,4.88%,been,3.66%
as,so,7.34%,and,4.24%,seemed,2.82%
what,but,7.69%,of,7.69%,and,7.69%
it,and,4.65%,if,3.75%,was,2.85%
from,feet,4.78%,miles,3.48%,them,3.04%
three,of,11.48%,about,9.84%,to,4.92%
miles,hundred,28.57%,twenty,8.93%,fifty,8.93%
up,made,4.63%,stepped,2.78%,walked,2.78%
about,was,8.82%,at,3.92%,of,3.92%
when,and,8.7%,it,3.48%,that,3.48%
no,was,18.62%,had,6.38%,be,6.38%
more,no,9.64%,and,9.64%,much,4.82%
or,five,2.96%,three,2.96%,sea,2.96%
how,and,11.32%,for,5.66%,but,5.66%
only,was,15.15%,not,10.1%,could,9.09%
for,waiting,2.42%,and,1.73%,wait,1.73%
been,had,50.52%,have,27.08%,not,6.25%
much,so,15.38%,was,11.54%,been,7.69%
night,the,56.36%,at,7.27%,before,3.64%
its,of,13.01%,in,10.96%,with,10.27%
some,for,13.79%,in,8.05%,of,4.6%
could,they,11.43%,he,11.43%,how,5.71%
such,in,7.69%,of,6.41%,under,6.41%
there,and,8.2%,was,4.1%,if,2.05%
if,and,14.05%,as,13.51%,but,8.11%
you,do,7.91%,if,6.47%,and,3.6%
are,we,21.93%,you,13.16%,there,9.65%
any,in,10.0%,without,8.33%,there,6.67%
have,would,29.55%,we,8.64%,i,7.27%
out,look,11.34%,get,7.22%,came,6.19%
air,the,61.86%,than,16.49%,of,7.22%
than,more,19.59%,less,15.46%,heavier,15.46%
hundred,a,23.08%,one,11.54%,three,10.58%
thousand,hundred,15.52%,four,12.07%,three,10.34%
few,a,87.5%,the,3.12%,that,1.56%
off,carried,4.48%,him,2.99%,went,2.99%
very,a,13.11%,the,11.48%,was,8.2%
said,he,8.09%,had,5.2%,be,3.47%
they,as,8.72%,that,6.69%,if,4.94%
now,and,19.4%,was,14.93%,had,7.46%
during,and,6.56%,that,4.92%,disappeared,3.28%
will,it,17.11%,i,11.84%,you,7.89%
made,been,7.81%,had,7.81%,be,6.25%
day,the,36.51%,this,12.7%,one,9.52%
even,not,20.69%,and,18.97%,had,5.17%
whose,screws,3.77%,bird,3.77%,monster,1.89%
his,and,13.22%,of,12.4%,in,7.99%
like,was,5.1%,seemed,5.1%,you,3.06%
sea,the,71.43%,a,4.29%,caspian,4.29%
he,and,4.86%,as,4.59%,said,4.32%
time,the,17.19%,same,9.38%,this,9.38%
him,to,9.91%,of,6.31%,for,4.5%
did,they,13.73%,it,8.82%,he,6.86%
then,and,16.89%,was,8.78%,to,4.73%
engineer,the,82.54%,an,4.76%,german,1.59%
into,it,4.59%,off,2.75%,get,2.75%
came,then,9.09%,there,7.27%,he,7.27%
without,and,3.28%,even,3.28%,times,3.28%
being,of,15.09%,without,7.55%,was,5.66%
where,us,3.92%,spot,3.92%,house,3.92%
feet,thousand,29.17%,hundred,29.17%,fifty,9.72%
long,a,27.45%,feet,7.84%,how,7.84%
uncle,said,13.93%,asked,3.98%,of,3.48%
prudent,uncle,94.53%,said,1.49%,prudent,0.5%
phil,and,39.86%,said,16.89%,asked,3.38%
evans,phil,88.55%,said,3.61%,asked,3.01%
might,it,13.73%,they,13.73%,he,5.88%
after,and,6.67%,hours,6.67%,then,3.33%
going,was,21.82%,were,9.09%,are,9.09%
robur,said,11.66%,of,4.93%,that,3.59%
has,it,17.65%,he,13.73%,which,5.88%
screws,the,29.31%,suspensory,25.86%,ascensional,6.9%
