word type,number
everything,42910
adult,0
hate,0
function,24942
normal,number
the,3486
of,1520
to,1133
and,938
i,768
a,661
in,630
was,627
it,579
that,499
had,495
not,397
this,383
at,330
he,306
be,293
as,283
my,271
which,264
would,257
from,253
by,248
on,246
with,246
we,232
me,228
there,226
is,219
if,212
were,211
his,209
have,203
no,202
for,195
could,193
our,185
been,182
but,180
they,175
great,161
an,160
mr,159
its,154
or,153
what,152
you,144
one,138
terror,137
their,137
all,134
some,129
eyrie,125
two,120
lake,114
more,109
even,108
so,107
when,100
him,100
must,96
now,95
will,94
upon,92
did,91
then,91
them,91
machine,88
only,87
these,85
any,84
before,82
ward,82
who,81
men,80
her,80
world,75
us,75
than,72
might,70
into,68
after,68
said,68
above,64
out,64
toward,62
are,61
boat,60
should,59
she,59
captain,58
letter,57
such,57
without,57
speed,57
perhaps,56
day,56
seemed,56
other,55
still,54
where,54
first,52
has,52
how,52
yet,51
night,51
up,51
time,51
made,51
wells,50
very,49
new,48
little,48
air,48
myself,47
do,47
came,47
same,47
waters,46
about,46
police,45
well,45
feet,45
nothing,45
robur,44
last,44
within,44
man,43
here,43
smith,43
again,42
along,41
through,41
beneath,41
hand,41
left,41
moment,41
creek,40
since,40
like,40
most,39
seen,39
three,39
end,39
water,39
master,38
automobile,38
under,38
over,38
himself,38
down,37
know,37
nor,37
hundred,36
see,36
every,36
mountain,35
beyond,35
never,35
miles,35
states,35
black,34
away,34
however,34
both,34
many,33
rose,33
hour,33
sea,33
inventor,33
erie,33
much,32
river,32
once,32
less,32
having,32
yes,32
between,32
also,31
people,31
indeed,31
heard,31
saw,31
side,31
power,31
reach,30
while,30
place,30
come,30
rock,29
can,29
way,29
good,29
doubt,29
continued,29
passed,29
chief,29
either,29
go,29
against,29
submarine,29
country,28
longer,28
course,28
deck,28
old,27
few,27
asked,27
public,27
matter,27
escape,27
shore,27
board,26
those,26
thought,26
twenty,26
your,26
probably,26
united,26
destroyers,26
niagara,25
washington,25
own,25
danger,25
being,25
question,25
chance,25
roads,25
least,25
long,25
return,25
another,25
land,25
impossible,25
several,25
knew,25
behind,25
find,25
half,25
albatross,25
found,24
why,24
thus,24
surface,24
during,24
flight,24
five,24
shall,24
already,24
went,24
days,23
news,23
appeared,23
hope,23
falls,23
cabin,23
almost,22
back,22
leave,22
take,22
turn,22
mountains,21
moreover,21
believe,21
sky,21
known,21
rocks,21
able,21
set,21
scarcely,21
returned,21
eyes,21
whatever,21
though,21
reached,21
second,20
remarkable,20
secret,20
better,20
flames,20
make,20
possible,20
suddenly,20
follow,20
stop,20
whom,20
unknown,20
until,20
forward,20
neither,20
region,19
further,19
newspapers,19
attempt,19
passage,19
far,19
across,19
reason,19
sir,19
give,19
driven,19
woods,19
right,19
hours,19
remained,19
name,18
chapter,18
mysterious,18
american,18
huge,18
given,18
height,18
true,18
entire,18
distance,18
heavy,18
o'clock,18
attention,18
america,18
among,17
became,17
government,17
strange,17
part,17
amid,17
pleasant,17
garden,17
sure,17
get,17
light,17
themselves,17
easily,17
sun,17
evidently,17
felt,17
trees,17
answered,17
ever,17
ahead,17
discover,17
point,17
order,17
followed,17
soon,17
four,17
island,17
doubtless,16
head,16
everything,16
called,16
smoke,16
clouds,16
mighty,16
morning,16
earth,16
later,16
around,16
wall,16
best,16
certainly,16
wings,16
bow,16
surely,16
full,16
road,16
stood,16
thousand,16
looked,16
