word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,driven,4.45%,caused,2.02%,accompanied,1.62%
of,one,2.44%,master,2.37%,that,1.51%
the,of,16.55%,in,6.01%,to,4.36%
world,the,70.67%,entire,8.0%,old,5.33%
in,and,2.9%,was,2.09%,it,1.93%
great,the,72.67%,of,4.97%,a,4.97%
eyrie,great,92.0%,the,6.4%,inaccessible,0.8%
first,the,59.62%,my,11.54%,at,5.77%
letter,the,33.33%,this,15.79%,a,8.77%
machine,the,36.36%,his,13.64%,flying,5.68%
any,at,21.43%,in,4.76%,to,4.76%
terror,the,96.35%,public,0.73%,with,0.73%
if,as,9.05%,and,8.57%,even,3.33%
i,and,7.1%,that,3.42%,as,3.29%
this,of,16.01%,in,4.72%,at,4.2%
it,that,3.84%,if,3.32%,was,3.32%
is,it,29.44%,there,8.88%,that,7.94%
have,would,16.26%,i,14.78%,must,11.33%
been,had,44.51%,have,24.73%,not,7.69%
its,of,15.58%,in,9.74%,with,5.84%
which,of,6.44%,by,3.79%,to,3.41%
will,you,13.83%,it,13.83%,we,12.77%
even,and,11.11%,not,7.41%,or,6.48%
all,in,6.72%,of,6.72%,from,4.48%
has,it,21.15%,he,11.54%,which,9.62%
my,of,10.41%,to,8.55%,in,7.43%
and,eyrie,1.09%,me,1.09%,him,0.98%
not,did,14.11%,could,11.34%,was,9.57%
as,and,3.9%,was,2.48%,well,2.13%
at,was,3.68%,me,3.07%,that,1.84%
on,and,3.33%,was,2.5%,appeared,1.25%
me,to,17.98%,for,4.82%,with,4.39%
to,as,3.45%,seemed,2.3%,me,2.04%
these,of,10.84%,in,6.02%,and,4.82%
was,it,18.14%,there,8.67%,i,7.87%
a,of,6.25%,in,3.81%,by,3.81%
that,and,3.23%,in,2.82%,of,2.22%
with,and,4.12%,do,2.47%,me,2.06%
so,had,5.61%,do,3.74%,with,2.8%
you,if,7.75%,and,6.34%,that,3.52%
should,i,23.73%,we,15.25%,why,10.17%
for,as,3.09%,waiting,2.58%,impossible,2.58%
some,of,13.18%,in,7.75%,for,6.2%
no,was,13.64%,is,4.04%,had,3.03%
other,the,41.82%,no,16.36%,any,7.27%
than,more,27.78%,less,11.11%,heavier,4.17%
be,to,19.45%,would,16.04%,will,9.22%
our,of,12.5%,in,4.89%,and,4.89%
there,and,6.19%,if,4.87%,was,4.42%
from,heard,1.98%,it,1.98%,away,1.98%
still,was,24.07%,is,5.56%,are,5.56%
more,no,11.01%,once,10.09%,even,6.42%
one,no,11.68%,in,4.38%,was,3.65%
but,was,3.47%,me,2.31%,is,1.73%
would,i,8.17%,it,7.39%,he,6.61%
above,rose,9.38%,feet,7.81%,high,6.25%
now,and,14.74%,was,9.47%,were,3.16%
did,i,14.29%,he,8.79%,they,4.4%
when,and,8.16%,moment,6.12%,time,3.06%
they,that,8.62%,if,7.47%,which,2.87%
then,and,10.23%,it,3.41%,there,3.41%
perhaps,and,11.11%,that,3.7%,easy,3.7%
might,he,13.04%,i,11.59%,which,7.25%
their,of,11.76%,in,6.62%,to,5.88%
lake,the,34.21%,of,23.68%,in,3.51%
such,at,8.77%,with,7.02%,of,7.02%
an,of,6.88%,in,5.62%,miles,4.38%
had,i,14.6%,he,9.33%,we,5.27%
yet,not,19.61%,as,11.76%,me,3.92%
or,more,2.61%,two,2.61%,five,2.61%
were,they,12.38%,there,10.0%,we,7.62%
night,the,37.25%,at,5.88%,of,5.88%
toward,him,4.84%,suddenly,3.23%,back,3.23%
upon,down,3.26%,out,3.26%,myself,3.26%
who,man,9.09%,those,6.49%,he,5.19%
could,i,18.65%,we,8.29%,he,7.77%
before,night,4.88%,days,4.88%,as,3.66%
out,spread,6.25%,look,6.25%,pointed,4.69%
up,sprang,5.88%,give,5.88%,looked,3.92%
his,of,12.98%,and,8.17%,in,6.73%
he,that,9.54%,which,5.59%,if,4.93%
into,penetrate,4.41%,down,4.41%,hurled,2.94%
must,we,12.5%,i,10.42%,he,9.38%
them,of,17.58%,to,7.69%,saw,3.3%
day,the,21.43%,that,10.71%,next,8.93%
men,two,36.25%,the,13.75%,his,8.75%
without,me,7.02%,not,7.02%,and,5.26%
seemed,it,25.0%,they,8.93%,there,5.36%
what,to,4.7%,of,4.7%,and,4.7%
after,and,8.82%,day,4.41%,me,2.94%
time,this,15.69%,the,9.8%,some,7.84%
made,i,11.76%,he,5.88%,be,5.88%
where,and,7.41%,place,5.56%,garden,3.7%
two,the,31.67%,of,5.83%,these,5.0%
are,they,13.33%,we,13.33%,you,11.67%
mr,to,5.73%,and,4.46%,of,3.82%
ward,mr,100.0%
said,i,11.86%,he,6.78%,have,6.78%
we,if,5.63%,and,5.63%,that,4.76%
only,not,11.49%,had,5.75%,was,5.75%
him,of,11.0%,with,7.0%,to,6.0%
us,let,9.33%,to,5.33%,above,5.33%
speed,the,14.04%,such,10.53%,their,5.26%
how,and,15.69%,but,9.8%,matter,7.84%
her,of,8.75%,find,3.75%,from,2.5%
boat,the,40.0%,a,13.33%,this,6.67%
she,if,10.17%,was,6.78%,when,5.08%
captain,the,56.9%,our,24.14%,mysterious,1.72%
