word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,31.75%,a,10.03%,means,2.48%
and,the,10.3%,i,2.77%,his,2.59%
dick,sand,82.03%,sand's,5.15%,replied,1.45%
sand,and,8.92%,had,6.73%,was,5.26%
or,the,6.52%,a,3.05%,three,2.91%
a,few,3.76%,little,1.73%,man,1.42%
captain,hull,28.66%,spade,14.96%,of,3.94%
at,the,28.7%,this,5.21%,a,5.13%
in,the,31.03%,a,7.85%,his,3.6%
of,the,35.17%,a,4.25%,his,2.54%
the,moon,0.98%,first,0.8%,sea,0.78%
is,the,7.36%,a,6.79%,not,6.45%
this,was,3.97%,is,3.07%,time,2.99%
was,not,5.78%,a,5.27%,the,4.73%
first,time,6.41%,of,4.49%,to,2.56%
from,the,40.78%,a,3.64%,his,3.48%
that,the,14.26%,he,5.52%,is,5.26%
who,had,12.42%,was,10.51%,were,4.55%
were,not,4.33%,the,3.24%,in,2.63%
hundred,and,27.11%,feet,15.87%,miles,12.73%
on,the,46.86%,board,6.96%,a,3.51%
under,the,48.08%,a,4.17%,these,3.85%
sea,and,8.28%,the,5.69%,of,5.52%
island,and,8.66%,the,4.33%,was,4.11%
new,york,14.65%,zealand,7.78%,world,7.32%
i,have,7.04%,am,6.93%,was,5.91%
which,the,9.9%,was,6.68%,he,5.47%
to,the,16.07%,be,6.07%,a,1.62%
do,not,23.79%,you,19.64%,so,5.16%
way,to,14.35%,of,6.84%,in,4.86%
miles,from,13.95%,an,9.01%,and,5.58%
their,eyes,1.85%,way,1.73%,own,1.49%
some,of,7.05%,day,3.69%,time,3.1%
great,eyrie,16.72%,deal,2.18%,height,1.74%
day,the,10.38%,and,6.92%,of,3.61%
where,the,21.04%,they,8.9%,he,8.09%
may,be,32.87%,have,5.06%,not,2.99%
out,of,27.81%,the,7.51%,to,5.3%
for,the,23.21%,a,9.12%,it,2.76%
had,been,16.03%,not,7.41%,to,2.42%
it,was,21.3%,is,14.52%,would,4.3%
one,of,25.14%,hundred,3.66%,day,3.61%
but,the,9.59%,it,4.87%,i,4.81%
not,be,5.52%,to,4.31%,a,4.25%
only,a,9.19%,to,5.63%,the,5.44%
as,to,10.32%,the,9.6%,if,6.73%
she,was,13.72%,had,7.31%,would,5.9%
her,to,3.34%,course,2.51%,and,2.34%
very,well,8.0%,much,4.05%,good,2.91%
with,the,18.0%,a,12.56%,his,4.92%
few,minutes,9.47%,hours,8.64%,moments,8.23%
how,to,12.66%,could,7.64%,many,6.15%
himself,in,7.85%,to,6.31%,with,5.8%
those,who,10.87%,of,8.19%,which,2.99%
during,the,59.1%,this,11.13%,which,4.28%
good,said,3.97%,reason,3.14%,deal,2.93%
much,as,7.8%,more,6.38%,to,5.67%
than,the,13.03%,a,8.41%,that,6.87%
they,were,15.04%,had,10.37%,could,5.62%
there,was,24.0%,is,13.03%,were,7.44%
them,to,9.75%,the,5.27%,in,5.19%
going,to,53.95%,on,8.6%,in,2.33%
most,important,3.39%,of,2.18%,part,1.94%
are,not,6.83%,you,4.3%,the,4.11%
well,as,9.46%,known,3.86%,i,3.39%
up,the,14.85%,to,12.3%,in,7.74%
more,than,22.05%,and,3.72%,to,3.19%
did,not,70.85%,he,3.84%,the,2.8%
all,the,20.34%,that,5.26%,this,3.54%
be,the,2.95%,able,2.87%,a,2.81%
over,the,43.34%,a,3.57%,this,2.92%
should,be,19.41%,have,12.01%,not,9.7%
again,and,8.51%,the,5.8%,in,4.06%
even,the,8.95%,if,7.38%,in,6.91%
been,able,3.89%,a,2.84%,the,2.22%
back,cup,25.44%,to,16.89%,and,5.26%
without,a,6.69%,any,4.89%,having,4.38%
what,is,10.61%,a,5.09%,was,4.97%
his,companions,4.78%,eyes,2.63%,head,2.02%
he,was,12.08%,had,10.71%,would,4.27%
