word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,1.64%,followed,1.23%,accompanied,1.2%
dick,replied,8.46%,mr,3.09%,and,2.95%
sand,dick,90.26%,the,4.22%,captain,1.31%
or,two,2.76%,five,2.4%,one,1.77%
a,of,7.43%,in,6.19%,with,4.32%
captain,the,24.58%,and,5.31%,replied,5.16%
at,and,2.28%,was,2.18%,arrived,2.16%
the,of,15.69%,in,6.24%,to,5.61%
of,one,2.23%,part,1.36%,out,1.26%
was,it,19.28%,he,8.02%,there,5.84%
first,the,55.75%,at,9.08%,his,3.08%
in,and,2.82%,was,1.96%,it,1.32%
is,it,25.54%,that,8.41%,there,6.16%
from,miles,2.57%,and,1.74%,away,1.5%
that,and,4.34%,of,2.5%,at,1.95%
for,as,2.48%,and,1.39%,him,1.12%
were,they,16.92%,we,7.06%,there,5.53%
and,hundred,1.24%,it,1.14%,him,0.91%
hundred,a,26.57%,two,15.35%,one,10.73%
on,and,2.06%,was,1.63%,went,1.22%
under,and,3.84%,disappeared,1.44%,them,1.28%
sea,the,58.54%,at,5.57%,to,4.7%
island,the,45.14%,lincoln,16.2%,tabor,12.1%
new,the,20.14%,a,18.1%,of,7.47%
i,and,7.46%,that,3.96%,but,3.01%
which,of,9.13%,in,5.98%,and,2.63%
to,as,2.33%,able,1.76%,going,1.5%
do,to,23.44%,i,12.59%,what,5.66%
way,the,20.18%,this,7.24%,their,6.36%
miles,hundred,17.74%,five,7.6%,three,7.37%
their,of,11.7%,in,7.76%,to,6.27%
some,of,6.06%,for,5.97%,in,4.04%
great,the,34.01%,a,16.06%,of,6.8%
day,the,17.99%,next,11.95%,one,9.44%
where,place,5.32%,but,3.16%,and,2.5%
may,it,15.07%,we,11.19%,i,7.99%
this,of,11.61%,in,7.45%,at,5.66%
out,set,4.59%,find,2.95%,look,2.51%
who,those,6.54%,man,4.74%,and,3.13%
had,he,12.98%,they,6.96%,i,4.8%
it,and,4.36%,that,3.67%,if,2.42%
one,no,7.53%,in,3.42%,of,3.03%
but,it,1.74%,nothing,1.51%,him,1.22%
not,did,14.06%,could,11.03%,was,9.63%
only,was,9.67%,the,7.11%,not,6.26%
as,so,4.14%,and,4.03%,far,2.72%
she,that,7.15%,and,4.68%,which,4.03%
her,of,8.09%,and,5.84%,in,5.67%
very,a,11.93%,the,10.03%,was,9.08%
with,and,2.96%,him,1.52%,it,1.52%
few,a,87.5%,the,2.46%,these,1.43%
how,know,7.98%,and,7.41%,but,6.84%
himself,to,9.86%,found,5.02%,asked,2.77%
those,of,25.66%,to,5.13%,all,4.35%
during,that,4.58%,and,2.61%,it,1.31%
good,a,29.15%,very,5.96%,the,4.04%
much,so,14.96%,as,13.54%,very,9.26%
than,more,28.52%,less,11.68%,better,3.09%
they,that,6.67%,and,5.29%,which,4.54%
there,and,6.22%,if,3.38%,was,3.33%
them,of,9.21%,to,6.17%,with,3.59%
going,was,24.18%,are,10.8%,were,8.22%
most,the,65.62%,a,4.36%,at,2.66%
are,we,17.7%,you,12.41%,they,10.12%
well,as,13.52%,very,9.21%,was,3.23%
up,give,3.49%,shut,3.07%,it,2.65%
more,no,8.6%,and,5.14%,once,4.52%
did,he,14.19%,they,7.42%,i,5.02%
all,of,7.33%,at,6.14%,and,4.63%
be,to,25.99%,would,14.6%,will,8.69%
over,passed,3.39%,was,3.39%,leaning,2.58%
should,i,18.89%,we,16.19%,they,6.07%
again,it,4.35%,them,2.96%,up,2.77%
even,not,14.87%,and,10.92%,or,3.96%
been,had,40.17%,have,30.0%,has,7.89%
back,of,10.5%,come,4.16%,drew,3.72%
without,not,6.32%,and,6.32%,it,2.37%
what,but,5.98%,and,5.29%,of,3.49%
his,of,11.31%,and,8.04%,in,7.21%
he,that,7.02%,which,4.58%,and,4.54%
if,as,13.47%,and,9.11%,but,4.58%
when,and,5.79%,moment,4.5%,that,2.02%
time,the,13.36%,this,12.47%,same,6.29%
him,to,12.8%,with,4.28%,for,3.48%
an,of,9.01%,in,4.76%,for,4.3%
then,and,9.96%,was,6.31%,but,2.19%
two,the,20.15%,of,5.6%,these,3.92%
never,had,10.28%,he,6.07%,have,6.07%
so,and,4.47%,was,3.6%,do,3.32%
other,the,40.4%,each,16.46%,and,6.25%
made,had,6.87%,have,5.99%,he,5.7%
could,he,10.6%,i,10.29%,they,9.98%
mrs,replied,8.76%,asked,5.84%,said,5.84%
about,was,9.02%,of,3.43%,were,2.67%
three,the,13.35%,or,7.89%,of,7.52%
little,a,25.96%,the,16.34%,her,3.03%
long,a,20.51%,the,7.44%,feet,6.17%
now,and,9.8%,was,9.24%,is,2.56%
would,it,12.13%,he,8.85%,they,5.65%
into,it,2.55%,put,1.7%,came,1.48%
asked,he,8.56%,i,8.56%,it,2.93%
take,to,45.52%,would,7.99%,will,7.02%
still,was,13.77%,is,6.98%,were,5.55%
might,it,12.05%,he,9.29%,which,8.26%
last,at,34.51%,the,29.41%,a,4.51%
these,of,19.09%,in,4.64%,all,4.38%
go,to,31.48%,the,9.03%,us,6.25%
nothing,was,9.94%,is,4.81%,have,3.57%
being,of,13.3%,not,5.65%,without,5.28%
said,he,6.8%,i,4.84%,then,3.18%
man,a,28.67%,the,11.86%,of,6.9%
have,would,17.67%,i,13.34%,we,8.12%
like,you,4.03%,looked,2.64%,was,1.95%
no,was,10.05%,is,4.91%,had,4.59%
seemed,it,23.56%,which,8.17%,he,5.05%
must,we,19.23%,it,10.69%,he,8.42%
such,of,7.39%,in,7.39%,with,5.84%
mr,said,4.46%,and,3.77%,to,3.21%
here,and,3.9%,but,2.81%,from,2.38%
we,that,6.89%,and,5.9%,if,4.99%
know,i,18.66%,to,16.23%,you,14.2%
yes,yes,4.33%,it,1.65%,cried,1.65%
earth,the,81.27%,of,3.65%,on,2.19%
its,of,11.16%,in,8.06%,with,5.17%
us,let,20.71%,to,6.0%,for,4.47%
will,it,12.24%,i,11.47%,you,10.34%
any,at,11.95%,in,6.27%,without,5.54%
you,do,8.41%,if,4.32%,and,4.08%
your,of,7.55%,to,5.49%,at,4.81%
me,to,19.06%,for,4.31%,upon,2.9%
my,of,7.64%,in,5.56%,to,5.22%
replied,yes,4.88%,no,4.01%,so,2.6%
after,and,5.13%,days,3.79%,hour,3.05%
has,he,13.79%,it,10.23%,which,6.54%
am,i,90.62%,what,1.48%,where,1.23%
can,i,17.33%,we,11.78%,you,6.89%
place,the,20.19%,took,7.54%,take,5.35%
before,night,3.03%,and,2.58%,day,2.28%
night,the,43.67%,at,7.69%,of,4.98%
upon,fell,2.34%,down,2.34%,agreed,2.09%
left,the,14.74%,had,9.75%,have,6.58%
feet,hundred,20.65%,thousand,7.96%,six,5.81%
soon,as,20.65%,would,8.21%,was,7.46%
