word type,number
everything,39540
adult,0
hate,0
function,23202
normal,number
the,3005
and,1671
to,1117
of,849
a,807
i,596
was,504
you,489
in,483
he,453
it,421
her,410
they,403
she,398
that,389
dorothy,347
said,332
as,329
for,328
so,307
but,302
with,275
had,263
is,260
at,253
all,247
not,237
them,237
scarecrow,219
his,216
were,214
me,197
my,189
him,183
be,177
woodman,176
lion,173
oz,165
have,162
when,158
on,158
will,158
we,149
this,148
great,142
tin,140
little,139
if,138
are,137
do,130
there,128
then,127
one,126
witch,125
from,124
could,120
who,115
asked,114
would,113
no,112
out,109
up,106
green,104
came,104
good,101
their,100
back,98
see,95
by,93
down,93
girl,93
over,91
toto,90
head,90
again,89
am,89
made,88
what,87
upon,85
get,85
very,85
now,83
where,83
city,82
shall,82
did,80
into,79
answered,78
how,75
must,75
can,75
wicked,74
man,74
go,72
after,72
before,70
country,69
your,69
away,68
come,67
which,67
heart,67
well,66
us,65
long,64
way,64
like,64
looked,61
been,61
emerald,60
room,60
until,60
through,59
never,59
people,59
saw,58
should,56
brains,56
know,55
once,54
thought,53
kansas,51
replied,51
than,50
only,50
eyes,50
many,49
big,49
first,49
other,48
make,48
forest,47
found,47
road,46
about,46
walked,46
time,45
ever,45
monkeys,44
any,44
soon,44
while,44
much,44
just,44
went,43
why,43
or,42
around,42
here,41
give,41
wizard,40
has,40
more,39
an,39
these,39
oh,39
think,39
day,38
beautiful,38
cannot,38
help,38
old,37
trees,36
land,36
arms,36
air,36
off,36
some,36
stood,35
quite,35
winged,34
voice,34
put,34
house,33
last,33
woman,33
shoes,33
yellow,33
friends,33
mice,32
its,32
find,32
don't,32
journey,31
carried,31
too,31
gave,31
took,31
cap,31
straw,31
next,31
throne,31
wish,30
left,30
nothing,30
also,30
our,30
terrible,29
tree,29
morning,29
along,29
afraid,29
tell,29
knew,29
i'm,29
golden,29
aunt,28
three,28
pretty,28
carry,28
silver,28
cried,28
began,28
stuffed,28
axe,28
together,27
another,27
sat,27
set,27
himself,27
sure,27
courage,27
balloon,26
every,26
small,26
door,26
side,26
even,26
told,26
going,26
fell,26
seemed,26
west,26
let,26
keep,26
flew,26
king,25
being,25
thing,25
face,25
indeed,25
ask,25
wonderful,24
cowardly,24
em,24
far,24
lay,24
beside,24
end,24
basket,24
travelers,24
soldier,24
sun,23
hard,23
night,23
fast,23
hurt,23
feet,23
water,23
take,23
beast,23
queen,22
may,22
bed,22
nor,22
heard,22
ran,22
toward,22
started,22
flowers,22
bye,22
place,22
course,22
right,22
palace,22
castle,22
munchkins,21
beasts,21
mind,21
called,21
live,21
work,21
two,21
blue,21
returned,21
river,21
home,20
each,20
grass,20
everything,20
still,20
times,20
near,20
might,20
always,20
east,20
because,20
legs,20
body,20
really,20
china,19
lived,19
same,19
strange,19
passed,19
became,19
lovely,19
done,19
herself,19
such,19
behind,19
glad,19
four,18
anything,18
dog,18
although,18
most,18
killed,18
kind,18
carefully,18
walking,18
south,17
those,17
reached,17
seen,17
look,17
lost,17
white,17
life,17
yes,17
cut,17
world,17
greatly,17
new,17
send,17
want,17
full,17
gate,17
cyclone,16
followed,16
having,16
looking,16
dark,16
running,16
painted,16
top,16
few,16
got,16
asleep,16
heads,16
myself,16
rest,16
brick,16
branches,16
short,16
own,16
say,16
pole,16
call,16
oil,16
neck,16
wall,16
guardian,15
gates,15
child,15
uncle,15
middle,15
gray,15
low,15
sharp,15
turned,15
i'll,15
nearly,15
dressed,15
cross,15
surprise,15
things,15
certainly,15
kill,15
happy,15
others,15
silk,15
wonder,14
floor,14
ground,14
enough,14
color,14
kept,14
caught,14
felt,14
lying,14
among,14
farther,14
dear,14
hands,14
inquired,14
charm,14
desert,14
use,14
moment,14
sorry,14
pleased,14
try,14
sleep,14
joints,14
suppose,14
poor,14
fire,14
power,14
field,13
henry,13
corner,13
led,13
spoke,13
north,13
close,13
under,13
frightened,13
easily,13
opened,13
years,13
continued,13
munchkin,13
friend,13
powerful,13
witches,13
