word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
the,scarecrow,7.02%,lion,4.76%,tin,4.15%
of,the,39.67%,them,4.01%,a,3.31%
oz,the,11.73%,was,6.17%,i,5.56%
by,the,36.56%,a,16.13%,their,4.3%
with,a,13.45%,the,9.09%,straw,4.36%
how,to,13.33%,can,8.0%,do,8.0%
dorothy,and,8.65%,was,4.9%,who,2.88%
through,the,76.27%,a,5.08%,and,5.08%
tin,woodman,81.43%,and,2.14%,woodman's,2.14%
to,the,16.59%,be,4.22%,see,3.77%
great,oz,13.38%,wizard,9.15%,and,5.63%
emerald,city,95.0%,green,3.33%,throne,1.67%
city,and,18.52%,of,9.88%,to,6.17%
for,the,17.07%,a,6.4%,i,6.4%
wicked,witch,81.08%,and,4.05%,creature,2.7%
was,a,10.76%,the,5.58%,not,4.18%
away,from,14.71%,and,11.76%,the,10.29%
lion,and,12.79%,i,4.65%,was,3.49%
country,of,25.0%,and,10.29%,that,5.88%
good,bye,21.78%,witch,7.92%,as,5.94%
witch,of,24.39%,and,8.13%,was,6.5%
again,and,9.09%,i,5.68%,he,5.68%
and,the,9.94%,i,3.23%,then,2.22%
have,been,8.02%,to,6.79%,no,6.17%
a,great,6.57%,little,4.21%,heart,2.97%
all,the,18.62%,her,4.45%,were,2.83%
now,that,10.84%,the,8.43%,asked,6.02%
be,a,9.6%,the,5.65%,done,4.52%
as,the,8.26%,they,7.34%,he,7.34%
in,the,30.56%,a,13.31%,her,4.57%
come,to,23.88%,back,10.45%,in,8.96%
which,was,14.93%,he,14.93%,the,10.45%
are,you,16.79%,the,5.84%,all,5.11%
their,journey,9.0%,heads,8.0%,arms,7.0%
this,is,7.43%,country,7.43%,was,5.41%
thought,i,13.21%,she,11.32%,of,9.43%
it,was,16.47%,is,10.02%,and,4.3%
out,of,35.78%,and,7.34%,the,6.42%
who,was,20.0%,had,12.17%,are,11.3%
had,been,11.03%,a,5.32%,to,3.42%
there,were,22.66%,was,20.31%,is,15.62%
were,all,5.61%,so,3.74%,the,3.27%
made,of,20.45%,a,11.36%,the,10.23%
one,of,24.6%,is,4.76%,day,3.17%
room,and,25.0%,he,8.33%,of,6.67%
little,girl,22.3%,man,8.63%,old,5.76%
no,one,18.75%,heart,10.71%,brains,5.36%
at,the,23.51%,once,12.75%,last,9.16%
where,the,30.49%,he,9.76%,dorothy,8.54%
could,not,22.5%,see,13.33%,do,4.17%
go,to,23.61%,with,9.72%,back,8.33%
from,the,32.52%,her,8.94%,his,5.69%
down,and,15.05%,to,15.05%,on,7.53%
into,the,60.26%,a,12.82%,his,7.69%
when,the,16.03%,they,14.1%,he,14.1%
looked,at,36.07%,down,6.56%,about,4.92%
she,was,11.56%,had,8.29%,said,4.27%
see,the,15.96%,him,8.51%,what,6.38%
but,the,17.55%,i,9.6%,he,4.64%
on,the,32.69%,her,7.69%,his,7.05%
not,know,7.17%,be,5.49%,to,5.49%
that,the,9.07%,is,8.29%,he,5.7%
green,girl,7.69%,whiskers,7.69%,silk,6.73%
long,as,15.62%,journey,9.38%,and,4.69%
until,they,35.0%,he,10.0%,the,10.0%
they,were,13.65%,had,7.44%,came,5.46%
once,more,16.98%,and,13.21%,the,11.32%
been,made,6.56%,thinking,4.92%,painted,3.28%
came,to,43.69%,from,6.8%,out,5.83%
her,and,4.16%,arms,3.18%,to,2.93%
them,and,8.47%,to,7.63%,all,3.81%
never,have,10.17%,been,8.47%,get,6.78%
so,that,9.12%,they,7.82%,the,7.49%
would,be,16.81%,not,12.39%,have,5.31%
upon,the,29.41%,her,14.12%,their,10.59%
heart,and,10.45%,said,10.45%,i,5.97%
girl,and,10.75%,who,8.6%,anxiously,4.3%
he,was,10.38%,said,8.39%,had,6.62%
did,not,63.75%,you,11.25%,it,3.75%
know,what,16.36%,of,9.09%,it,7.27%
what,is,11.49%,shall,9.2%,they,8.05%
his,head,9.72%,axe,7.41%,friends,4.17%
toto,and,14.44%,in,6.67%,had,6.67%
him,and,12.57%,to,9.29%,but,5.46%
before,the,20.29%,them,20.29%,her,7.25%
way,to,28.12%,and,7.81%,they,4.69%
saw,the,17.54%,that,10.53%,a,8.77%
up,and,18.87%,to,16.98%,in,9.43%
after,the,18.06%,a,13.89%,which,6.94%
then,the,15.75%,she,12.6%,he,11.02%
get,back,18.82%,to,10.59%,my,8.24%
if,you,28.26%,i,15.22%,he,10.87%
is,a,10.42%,the,8.88%,my,3.47%
very,well,17.65%,kind,7.06%,unhappy,5.88%
you,are,7.36%,will,6.95%,have,6.34%
like,a,23.44%,to,17.19%,it,4.69%
over,the,39.56%,it,7.69%,and,7.69%
people,who,8.47%,were,6.78%,so,5.08%
well,as,13.64%,said,10.61%,answered,6.06%
said,the,46.48%,dorothy,11.93%,to,7.65%
we,must,13.42%,are,10.07%,can,9.4%
must,be,18.67%,go,12.0%,have,6.67%
i,am,14.09%,have,7.38%,will,7.38%
your,head,7.25%,forehead,4.35%,house,2.9%
shall,be,17.07%,we,15.85%,have,9.76%
do,you,21.54%,not,12.31%,for,4.62%
asked,the,42.98%,dorothy,23.68%,in,3.51%
answered,the,52.63%,oz,10.53%,dorothy,6.58%
am,sure,12.36%,a,8.99%,going,6.74%
me,and,10.15%,to,8.63%,a,7.11%
should,be,16.07%,like,12.5%,have,8.93%
my,dear,5.29%,head,5.29%,life,5.29%
head,and,13.33%,was,4.44%,to,4.44%
us,all,7.69%,and,6.15%,i,6.15%
back,to,58.16%,and,4.08%,into,4.08%
will,be,13.29%,not,7.59%,go,5.06%
can,i,10.67%,do,9.33%,we,5.33%
man,i,6.76%,as,5.41%,and,5.41%
scarecrow,and,13.82%,but,4.15%,i,3.69%
brains,and,12.5%,i,8.93%,in,7.14%
woodman,and,14.86%,i,4.57%,had,3.43%
