word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
of,out,4.59%,one,3.65%,witch,3.53%
oz,of,16.36%,great,11.52%,said,5.45%
by,carried,3.23%,ruled,3.23%,near,3.23%
with,stuffed,5.09%,soldier,2.91%,and,2.55%
the,of,11.34%,to,6.25%,and,5.6%
dorothy,said,11.24%,and,9.51%,asked,7.78%
scarecrow,the,94.98%,a,2.28%,poor,1.83%
through,passed,8.47%,away,5.08%,walked,5.08%
tin,the,87.86%,of,8.57%,with,0.71%
woodman,tin,64.77%,the,31.82%,a,1.14%
lion,the,81.5%,cowardly,12.72%,great,2.31%
to,back,5.11%,came,4.04%,said,2.24%
great,the,44.37%,a,37.32%,this,1.41%
emerald,the,91.67%,of,3.33%,lovely,1.67%
city,emerald,69.51%,the,17.07%,this,2.44%
for,you,1.84%,this,1.84%,as,1.84%
wicked,the,82.43%,one,2.7%,is,2.7%
witch,wicked,48.0%,the,37.6%,good,6.4%
was,it,13.72%,he,9.34%,she,9.15%
country,the,37.68%,this,15.94%,beautiful,5.8%
good,a,18.81%,the,12.87%,as,7.92%
again,home,6.82%,and,4.55%,back,4.55%
and,dorothy,1.81%,scarecrow,1.81%,woodman,1.56%
have,i,27.16%,you,19.14%,to,6.79%
a,in,7.94%,was,6.7%,with,4.59%
all,they,8.91%,at,8.5%,and,5.67%
now,and,9.76%,but,7.32%,do,4.88%
be,to,26.55%,will,11.86%,would,10.73%
as,and,5.18%,soon,5.18%,just,3.96%
in,up,2.07%,dressed,2.07%,lived,1.66%
come,to,17.91%,have,10.45%,you,5.97%
which,in,11.94%,after,7.46%,of,5.97%
are,you,26.47%,we,11.03%,who,9.56%
their,in,11.0%,to,10.0%,upon,9.0%
this,in,8.84%,at,7.48%,to,4.76%
thought,i,26.42%,she,11.32%,dorothy,5.66%
it,for,4.51%,and,4.04%,that,3.56%
out,came,5.5%,found,3.67%,come,3.67%
kansas,to,66.67%,in,11.76%,about,3.92%
who,dorothy,8.93%,girl,7.14%,scarecrow,6.25%
had,she,12.55%,they,11.41%,he,11.41%
there,and,7.03%,her,3.12%,for,3.12%
were,they,26.32%,there,13.88%,all,3.35%
made,and,10.34%,he,6.9%,had,5.75%
one,no,16.67%,only,5.56%,in,4.76%
room,throne,37.93%,the,24.14%,a,6.9%
little,the,42.45%,a,24.46%,his,2.88%
no,have,8.93%,had,8.04%,was,6.25%
at,looked,8.7%,and,5.14%,look,2.37%
where,castle,7.23%,place,6.02%,house,4.82%
could,he,16.67%,they,15.83%,i,12.5%
go,to,22.22%,must,12.5%,will,11.11%
from,away,8.06%,came,5.65%,come,4.03%
down,sat,16.13%,lay,12.9%,it,4.3%
into,flew,5.06%,back,5.06%,him,3.8%
when,and,12.03%,but,6.33%,scarecrow,3.16%
looked,and,32.79%,they,16.39%,dorothy,9.84%
she,and,7.07%,so,5.05%,as,5.05%
see,to,44.21%,could,16.84%,you,10.53%
but,him,3.32%,it,2.99%,scarecrow,2.99%
on,down,4.43%,put,3.16%,it,3.16%
not,did,21.52%,could,11.39%,was,8.86%
that,so,7.2%,and,5.91%,now,2.31%
green,the,26.92%,a,12.5%,of,6.73%
long,a,26.56%,as,12.5%,so,10.94%
until,trees,5.0%,soundly,5.0%,again,5.0%
they,and,8.44%,as,5.96%,so,5.96%
once,at,59.26%,journey,3.7%,only,3.7%
been,had,47.54%,have,21.31%,never,8.2%
away,flew,9.09%,run,6.06%,keep,4.55%
came,they,21.36%,you,6.8%,she,5.83%
her,to,6.85%,in,5.38%,of,4.65%
them,of,14.35%,before,5.91%,to,4.64%
never,shall,13.56%,have,10.17%,i,8.47%
so,was,6.84%,and,5.21%,were,2.61%
would,she,11.5%,it,11.5%,they,10.62%
upon,stood,7.06%,down,5.88%,sat,4.71%
heart,a,35.82%,no,17.91%,my,14.93%
girl,the,49.46%,little,33.33%,green,8.6%
he,and,7.28%,as,5.3%,that,4.86%
did,he,12.5%,she,8.75%,and,6.25%
know,not,30.91%,i,18.18%,you,12.73%
what,know,10.34%,see,6.9%,but,4.6%
his,of,9.26%,to,8.33%,in,7.41%
toto,and,22.22%,with,8.89%,little,3.33%
him,at,5.46%,with,4.37%,see,4.37%
before,just,5.71%,saw,4.29%,that,4.29%
way,a,12.5%,the,9.38%,that,7.81%
saw,they,21.05%,she,21.05%,and,17.54%
up,him,8.49%,picked,7.55%,made,6.6%
after,and,13.89%,soon,6.94%,forest,2.78%
then,and,29.37%,dorothy,3.17%,just,3.17%
get,to,35.29%,shall,7.06%,and,7.06%
if,as,13.97%,and,8.09%,but,7.35%
is,it,16.28%,that,12.4%,he,9.3%
very,a,15.29%,was,8.24%,be,5.88%
you,if,7.98%,do,5.73%,are,4.7%
like,not,14.06%,should,10.94%,you,4.69%
over,rule,8.79%,it,6.59%,and,5.49%
people,the,44.07%,these,6.78%,my,5.08%
well,very,22.73%,as,15.15%,and,6.06%
said,he,11.59%,and,7.93%,she,5.18%
we,shall,8.72%,and,8.05%,but,6.04%
must,you,32.0%,we,26.67%,i,10.67%
i,and,9.08%,but,4.87%,that,3.7%
your,in,10.29%,of,7.35%,is,5.88%
replied,she,11.76%,you,9.8%,he,5.88%
shall,i,54.32%,we,13.58%,what,9.88%
do,to,20.0%,i,10.77%,we,8.46%
asked,she,8.93%,he,8.04%,and,5.36%
answered,he,11.69%,she,10.39%,well,5.19%
am,i,94.38%,how,2.25%,certainly,1.12%
me,give,12.69%,to,9.64%,with,5.08%
should,i,58.93%,why,7.14%,they,5.36%
my,for,6.35%,is,4.76%,of,4.76%
head,his,23.33%,my,11.11%,the,10.0%
us,of,12.31%,let,12.31%,to,9.23%
back,get,16.33%,went,9.18%,me,9.18%
will,i,28.03%,you,21.66%,he,7.01%
can,we,18.67%,oil,13.33%,i,13.33%
man,the,25.68%,a,17.57%,little,16.22%
how,and,5.63%,oz,4.23%,see,4.23%
brains,no,10.71%,me,10.71%,my,10.71%
