word type,number
everything,41941
adult,3
hate,0
function,23473
normal,number
the,1616
and,1378
i,1181
to,972
a,884
you,849
of,811
she,608
it,569
her,567
in,507
was,501
is,450
that,443
margaret,415
said,338
with,334
he,310
have,297
not,286
for,280
as,276
but,267
this,251
my,249
be,249
all,248
me,248
at,234
had,222
on,196
what,192
so,187
one,186
do,176
there,176
peggy,166
hugh,165
no,165
his,163
are,161
if,160
know,156
see,148
they,146
about,140
montfort,133
oh,132
now,132
uncle,131
am,129
dear,126
them,124
grace,123
will,122
would,122
or,122
up,119
when,118
don't,118
well,116
like,116
john,113
were,112
we,110
from,110
here,109
how,108
out,107
mr,106
very,105
never,103
by,101
an,100
think,100
did,99
been,94
has,94
little,92
come,92
your,91
then,90
time,89
miss,89
only,88
him,87
good,84
some,79
eyes,77
mrs,75
should,75
just,74
their,73
more,72
could,72
tell,72
who,71
over,70
go,69
say,69
too,67
must,67
jean,67
house,66
great,64
yes,64
came,63
down,63
again,63
can,63
peyton,63
looked,62
something,62
why,61
things,61
much,61
day,60
other,60
which,59
before,59
look,58
into,57
away,55
back,55
thought,55
gerald,55
ever,54
going,53
any,53
may,51
let,50
than,50
always,49
hand,49
shall,48
after,47
first,47
cried,47
moment,44
seemed,44
young,44
voice,44
own,44
way,44
old,43
want,43
went,42
where,42
get,42
two,41
told,41
thing,41
herself,41
anything,41
nothing,40
still,40
room,40
long,40
enough,40
us,40
frances,40
these,40
saw,39
most,39
our,38
take,38
life,38
girl,38
best,37
last,36
sure,36
every,36
poor,35
really,35
though,35
once,35
mean,35
such,35
heard,35
yet,34
door,34
world,33
child,33
make,33
hear,33
course,32
right,32
isn't,32
half,31
man,31
might,31
summer,30
without,30
find,30
night,30
took,29
woman,29
suppose,29
head,29
many,29
off,29
it's,29
face,29
used,29
even,28
elizabeth,28
people,28
asked,28
mind,28
years,28
days,28
hands,28
girls,27
children,27
gone,27
looking,27
put,27
while,27
person,27
myself,27
light,27
remember,26
made,26
seen,26
beautiful,26
wanted,26
please,26
found,26
home,25
garden,25
place,25
because,25
got,25
whole,25
lovely,25
indeed,25
under,25
silver,25
upon,24
boys,24
another,24
rose,24
didn't,24
knew,24
rita,23
ran,23
word,23
coming,23
box,23
try,23
next,23
hair,23
love,23
else,23
round,23
kind,23
open,23
pretty,23
better,23
figure,22
cousin,22
till,22
side,22
rather,22
new,21
call,21
heart,21
together,21
turned,21
chapter,20
full,20
green,20
care,20
perhaps,20
dogs,20
lady,20
does,20
each,20
through,20
help,20
three,19
feet,19
arms,19
seems,19
afraid,19
ask,19
run,19
since,19
friends,19
peggy's,19
himself,19
window,19
same,18
father,18
glad,18
being,18
give,18
year,18
keep,18
wonderful,18
sweet,18
everything,18
fire,17
blue,17
left,17
pleasant,17
certainly,17
puppies,17
yourself,17
stairs,17
i'll,17
rope,17
fell,17
quiet,17
laughed,17
sound,17
leave,17
sir,17
end,17
stood,17
strong,16
says,16
smoke,16
joy,16
thinking,16
white,16
smile,16
sit,16
cannot,16
read,16
speaking,16
its,16
jack,16
alone,16
wish,16
jewels,15
polly,15
hardly,15
suddenly,15
knows,15
except,15
sat,15
can't,15
deal,15
called,15
wonder,15
speak,15
few,15
ah,15
thank,15
wall,15
feeling,14
