word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,a,14.0%,the,12.0%,all,4.0%
and,i,5.41%,the,4.97%,she,3.0%
the,world,1.88%,other,1.56%,way,1.38%
house,and,9.38%,now,6.25%,by,3.12%
for,a,13.67%,the,13.67%,me,6.12%
margaret,i,8.23%,and,4.84%,montfort,2.66%
montfort,and,6.2%,i,6.2%,the,3.88%
peggy,and,11.52%,i,5.45%,was,4.24%
hugh,and,9.2%,montfort,7.98%,was,4.29%
all,the,14.17%,about,7.69%,right,6.07%
of,the,18.88%,her,5.48%,course,3.83%
her,to,3.0%,and,3.0%,eyes,2.65%
were,a,4.46%,in,3.57%,you,3.57%
i,am,10.65%,have,8.6%,was,4.34%
a,little,3.86%,great,2.16%,good,2.16%
an,hour,6.0%,instant,5.0%,unusual,3.0%
uncle,john,67.97%,john's,5.47%,and,4.69%
more,than,13.89%,of,4.17%,like,4.17%
about,it,15.33%,the,12.41%,her,9.49%
in,the,28.88%,a,6.97%,her,5.98%
did,not,25.25%,you,14.14%,i,8.08%
very,much,6.67%,well,5.71%,very,4.76%
at,the,20.0%,her,9.09%,this,7.73%
this,is,6.0%,time,5.2%,moment,4.8%
she,was,11.51%,said,9.7%,is,8.39%
was,a,11.62%,the,3.81%,not,3.21%
with,a,17.96%,the,11.98%,her,4.79%
looked,up,17.74%,at,16.13%,about,6.45%
up,and,16.81%,the,10.08%,in,8.4%
grace,i,9.01%,and,4.5%,she,3.6%
on,the,34.87%,her,7.18%,a,6.15%
they,are,11.64%,were,10.27%,had,5.48%
to,be,6.65%,the,4.57%,see,4.05%
into,the,38.18%,a,20.0%,her,5.45%
that,i,8.64%,is,8.18%,she,6.14%
my,dear,20.56%,own,3.63%,life,2.82%
well,i,11.3%,as,10.43%,and,4.35%
john,and,10.81%,i,9.91%,montfort,7.21%
not,a,4.91%,be,4.56%,have,3.16%
as,if,9.82%,she,9.45%,i,7.64%
you,are,7.55%,know,5.78%,and,3.54%
are,not,8.12%,you,8.12%,the,6.88%
know,what,10.32%,i,7.74%,you,7.1%
it,is,15.81%,was,12.61%,and,3.02%
so,i,9.14%,much,6.99%,it,3.76%
why,i,13.11%,should,8.2%,she,6.56%
should,be,13.33%,think,8.0%,i,6.67%
be,a,6.45%,the,2.82%,so,2.42%
your,own,7.78%,aunt,5.56%,father,4.44%
dear,little,5.6%,peggy,4.8%,i,4.8%
will,be,22.31%,have,9.09%,you,9.09%
have,been,11.45%,a,6.06%,you,5.39%
time,and,8.99%,to,6.74%,you,6.74%
is,a,8.93%,the,8.48%,it,3.35%
go,to,11.59%,away,10.14%,on,8.7%
their,feet,5.48%,hands,4.11%,own,4.11%
when,i,27.97%,you,12.71%,the,10.17%
he,was,12.94%,said,11.65%,had,8.74%
them,and,5.69%,with,4.88%,for,4.07%
mr,montfort,91.14%,hugh,3.8%,peter,1.27%
his,eyes,6.13%,life,4.91%,own,4.91%
oh,i,10.61%,uncle,9.85%,how,4.55%
we,are,10.0%,were,7.27%,have,6.36%
only,one,4.55%,we,3.41%,thing,3.41%
do,you,36.36%,not,6.82%,it,4.55%
miss,margaret,24.59%,montfort,22.95%,fox,11.48%
don't,know,23.28%,you,8.62%,be,7.76%
think,of,18.18%,i,9.09%,it,8.08%
said,margaret,15.06%,mr,8.43%,hugh,7.23%
there,is,23.56%,was,15.52%,are,10.92%
no,one,10.3%,no,4.85%,i,4.85%
had,been,9.46%,a,7.21%,never,4.05%
been,a,5.32%,there,4.26%,so,3.19%
which,i,11.86%,he,6.78%,is,6.78%
over,the,30.0%,her,8.57%,to,5.71%
great,deal,10.94%,nursery,3.12%,many,3.12%
but,i,10.94%,she,6.42%,you,6.04%
away,and,9.09%,i,7.27%,now,7.27%
things,i,6.56%,that,4.92%,to,4.92%
back,to,16.36%,the,7.27%,in,7.27%
too,much,8.96%,and,4.48%,if,4.48%
came,back,11.11%,to,6.35%,up,6.35%
here,and,11.01%,is,7.34%,i,6.42%
eyes,and,13.16%,the,7.89%,i,5.26%
from,the,20.18%,her,12.84%,that,3.67%
how,to,12.96%,can,6.48%,much,6.48%
could,not,25.35%,she,4.23%,be,4.23%
like,to,16.67%,a,14.04%,that,7.02%
out,of,28.04%,and,8.41%,in,7.48%
day,he,6.9%,it,5.17%,when,5.17%
would,be,23.77%,have,11.48%,not,10.66%
what,is,10.0%,do,7.37%,a,7.37%
if,you,26.88%,i,18.75%,she,8.12%
