word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,good,10.0%,and,5.0%,house,2.0%
and,you,2.21%,up,1.47%,margaret,1.47%
the,of,9.24%,in,9.05%,and,4.24%
at,look,5.19%,looked,4.33%,looking,3.03%
for,enough,2.87%,them,1.79%,her,1.79%
montfort,mr,55.38%,miss,10.77%,hugh,10.0%
peggy,said,10.0%,and,6.25%,dear,3.75%
hugh,said,14.63%,and,6.71%,that,3.05%
margaret,said,12.29%,and,5.9%,cried,4.42%
all,is,5.26%,of,5.26%,and,4.86%
of,out,3.7%,one,2.47%,think,2.22%
her,of,7.61%,to,6.02%,in,5.31%
were,they,13.39%,you,12.5%,we,7.14%
i,and,6.35%,that,3.26%,margaret,2.92%
a,with,6.83%,was,6.6%,is,4.55%
mrs,said,8.22%,dear,6.85%,is,4.11%
an,with,12.0%,was,8.0%,and,6.0%
uncle,oh,10.0%,her,8.46%,and,6.15%
more,any,11.11%,much,8.33%,no,5.56%
about,all,13.57%,know,3.57%,something,2.86%
in,was,2.57%,her,2.18%,up,1.98%
did,i,23.47%,she,10.2%,margaret,6.12%
very,the,11.43%,is,10.48%,a,8.57%
this,at,6.8%,in,6.4%,is,5.2%
was,it,14.37%,she,14.17%,i,10.32%
with,her,3.0%,him,2.7%,margaret,1.8%
eyes,her,21.74%,his,14.49%,blue,7.25%
looked,and,21.31%,she,18.03%,margaret,14.75%
up,looked,9.24%,get,5.88%,ran,3.36%
grace,said,12.3%,dear,3.28%,and,3.28%
on,went,5.13%,sitting,3.08%,go,3.08%
they,as,6.9%,that,5.52%,and,4.14%
to,going,4.03%,used,2.79%,seemed,2.38%
into,fell,8.77%,out,7.02%,tottered,5.26%
day,to,30.0%,the,16.67%,some,8.33%
my,of,9.68%,in,4.03%,to,4.03%
john,uncle,76.99%,you,5.31%,but,1.77%
well,as,13.91%,very,5.22%,margaret,3.48%
not,did,8.74%,could,6.29%,was,5.59%
as,well,4.46%,and,4.09%,much,3.35%
you,do,7.57%,if,5.09%,tell,3.43%
are,you,40.0%,there,11.88%,they,10.62%
know,you,31.41%,i,17.31%,don't,17.31%
it,of,3.9%,about,3.72%,is,2.66%
so,am,5.35%,was,3.74%,and,3.74%
why,reason,6.56%,is,4.92%,know,4.92%
should,i,37.33%,why,6.67%,you,6.67%
be,to,25.81%,would,11.69%,will,10.89%
your,in,10.11%,and,3.37%,of,3.37%
dear,my,41.13%,you,4.84%,oh,3.23%
will,you,22.5%,i,20.0%,she,9.17%
have,i,34.01%,to,12.12%,you,9.76%
time,the,14.61%,this,14.61%,some,6.74%
is,it,20.09%,she,11.51%,there,9.26%
that,and,2.99%,of,2.99%,say,2.3%
go,to,22.06%,must,8.82%,will,7.35%
their,in,13.7%,to,9.59%,of,6.85%
when,and,7.69%,margaret,4.27%,it,3.42%
he,that,4.23%,and,3.91%,as,3.26%
them,of,8.06%,see,5.65%,for,4.84%
mr,said,26.92%,for,3.85%,and,3.85%
his,in,14.2%,of,8.02%,to,4.94%
oh,and,5.56%,margaret,2.38%,peggy,2.38%
we,and,10.09%,shall,3.67%,suppose,3.67%
only,the,11.36%,not,4.55%,but,4.55%
do,i,15.61%,to,12.14%,what,8.09%
miss,a,3.37%,said,3.37%,now,3.37%
don't,i,39.13%,you,8.7%,please,4.35%
think,i,37.37%,you,22.22%,to,8.08%
house,the,40.74%,summer,20.37%,this,5.56%
said,she,17.61%,he,10.75%,i,2.99%
there,and,10.92%,but,4.02%,is,4.02%
no,is,6.75%,was,6.75%,have,5.52%
she,and,6.82%,that,4.49%,as,4.33%
had,she,15.91%,he,12.27%,i,8.64%
been,have,36.17%,had,22.34%,has,14.89%
which,in,10.17%,of,6.78%,on,5.08%
over,go,4.29%,and,4.29%,hand,4.29%
great,a,29.69%,the,29.69%,of,4.69%
but,it,3.07%,you,1.53%,margaret,1.53%
away,go,12.73%,run,7.27%,going,5.45%
things,of,9.84%,the,8.2%,these,8.2%
back,came,12.96%,the,11.11%,come,9.26%
too,was,6.15%,were,4.62%,is,3.08%
came,you,13.33%,he,11.67%,i,10.0%
here,and,4.59%,be,3.67%,was,3.67%
from,away,3.7%,up,2.78%,out,2.78%
how,and,11.11%,know,9.26%,see,5.56%
could,i,16.9%,you,14.08%,how,8.45%
like,you,7.76%,would,6.9%,i,5.17%
out,got,4.67%,it,3.74%,find,3.74%
would,you,14.88%,she,11.57%,it,10.74%
what,know,8.47%,margaret,5.29%,is,3.7%
if,as,17.2%,and,5.1%,but,1.91%
never,i,22.33%,had,8.74%,you,8.74%
who,person,9.09%,jean,6.06%,margaret,6.06%
or,fox,3.33%,peggy,3.33%,two,2.5%
little,a,37.36%,the,9.89%,dear,7.69%
good,a,22.62%,the,8.33%,be,4.76%
me,to,7.66%,let,7.26%,for,6.85%
say,to,25.37%,you,16.42%,i,16.42%
tell,to,21.13%,i,15.49%,not,7.04%
am,i,96.9%,thereof,0.78%,and,0.78%
yes,oh,4.92%,be,3.28%,know,3.28%
going,am,24.53%,was,24.53%,not,11.32%
see,to,26.53%,you,15.65%,and,10.2%
something,or,6.45%,is,4.84%,saying,3.23%
thought,i,35.19%,have,7.41%,and,7.41%
just,is,6.85%,it,5.48%,had,4.11%
has,she,29.35%,it,5.43%,he,5.43%
some,of,12.82%,upon,3.85%,with,3.85%
one,no,9.14%,some,8.6%,any,6.99%
now,and,10.69%,but,3.82%,away,3.05%
must,i,29.85%,you,22.39%,we,5.97%
come,to,15.22%,will,6.52%,has,5.43%
much,so,21.31%,as,18.03%,how,11.48%
any,of,5.77%,see,5.77%,without,5.77%
ever,you,20.37%,i,9.26%,had,9.26%
