word type,number
everything,43073
adult,0
hate,3
function,23596
normal,number
the,2537
and,2202
a,1106
to,857
of,678
i,611
was,584
he,554
in,537
it,502
you,459
she,436
that,394
with,364
her,359
his,347
little,339
but,338
for,310
said,298
all,297
they,278
on,269
not,263
is,254
so,254
had,249
as,239
at,226
be,219
my,211
we,196
were,190
up,189
one,176
then,168
there,162
what,161
when,156
very,155
him,152
out,148
them,142
this,140
have,139
are,132
me,130
do,129
by,123
now,123
if,123
oh,121
will,121
would,119
your,116
like,115
came,109
about,108
boy,106
down,106
see,104
good,101
day,99
no,97
went,97
could,97
did,96
who,90
old,89
just,89
which,86
from,84
know,82
cried,82
great,80
go,79
two,79
their,79
mamma,79
too,78
eyes,75
dear,74
into,73
how,72
over,72
or,70
new,69
some,69
never,69
away,69
long,67
well,67
am,67
come,67
time,66
can,66
an,65
green,64
only,64
tell,64
get,64
mother,63
again,62
looked,62
us,61
man,60
poor,60
year,59
here,58
made,57
thought,57
off,57
should,57
must,57
saw,56
took,56
any,55
think,55
children,54
things,54
more,53
christmas,53
hand,53
big,53
look,53
why,53
has,52
put,51
head,50
make,50
till,50
girl,50
take,49
been,48
white,48
child,47
other,47
before,47
miss,46
home,46
sat,46
illustration,45
gold,45
where,45
way,44
gentleman,42
give,42
back,42
round,41
because,41
than,41
through,40
upon,40
tail,40
going,40
himself,40
still,40
shall,40
first,39
pretty,39
baby,39
say,38
red,38
best,38
fish,38
every,38
may,38
our,38
bobby,37
sure,37
while,36
papa,36
though,35
merry,35
young,35
heard,35
got,35
told,34
ever,34
blue,34
money,34
house,34
looking,34
right,34
asked,33
might,33
room,32
bright,32
much,32
another,32
after,32
sea,32
name,31
cat,31
three,31
hands,31
fred,31
story,30
each,30
happy,30
lucy,30
king,30
thing,30
gave,30
john,29
let,29
last,29
bed,29
enough,29
many,28
dog,28
chair,28
play,28
heart,28
face,28
under,28
found,28
nothing,28
jack,28
five,27
such,27
tree,27
called,27
moment,27
world,26
birds,26
glad,26
door,26
quite,26
feet,26
yes,26
soon,26
once,25
these,25
lovely,25
people,25
course,25
knew,25
own,24
mrs,24
full,24
gray,24
kind,24
snow,24
fine,24
ran,24
seen,24
father,23
mary,23
mr,23
gone,23
danced,23
person,22
woman,22
half,22
cow,22
brown,22
indeed,22
brought,22
whole,22
always,22
something,22
window,22
want,22
thinking,22
anything,22
next,22
life,21
nurse,21
sweet,21
top,21
hen,21
chicken,21
stood,21
golden,21
makes,21
wood,21
lay,21
set,21
run,21
water,21
work,20
book,20
betty,20
queen,20
cheese,20
beautiful,20
turned,20
wait,20
please,20
better,20
night,20
boys,20
eggs,20
its,19
shoes,19
leaves,19
lady,19
keep,19
laugh,19
says,19
began,19
soft,19
arms,19
bring,19
shook,19
black,19
buy,19
song,18
sister,18
funny,18
left,18
master,18
mean,18
eat,18
end,18
fat,18
laughed,18
dinner,18
table,18
else,18
minutes,18
ask,18
roger,18
cloth,17
same,17
small,17
morning,17
billy,17
alone,17
years,17
yellow,17
call,17
four,17
flowers,17
perhaps,17
air,17
mouth,17
fell,17
grass,17
uncle,17
minute,16
most,16
field,16
few,16
pippin,16
bit,16
beside,16
trees,16
tall,16
replied,16
wish,16
find,16
along,16
egg,16
together,16
ready,16
clothes,16
box,16
aunt,16
sun,16
suppose,16
six,16
standing,16
ho,16
true,15
light,15
bonny,15
sit,15
hold,15
floor,15
dark,15
rose,15
rather,15
smile,15
cannot,15
without,15
tried,15
done,15
sitting,15
paper,15
strange,15
behind,15
really,15
even,15
against,15
hear,15
shut,15
bell,15
dogs,15
sophia,15
fido,15
pee,15
wife,14
herself,14
afternoon,14
hour,14
duck,14
hard,14
crimson,14
ducks,14
love,14
beau,14
laughing,14
stopped,14
fire,14
waiting,14
fly,14
hair,14
both,14
fast,14
yet,14
deep,14
land,14
kitten,14
mind,14
frog,14
stories,13
laura,13
e,13
valentine,13
does,13
broken,13
joy,13
side,13
kept,13
care,13
legs,13
clear,13
live,13
wanted,13
since,13
followed,13
themselves,13
ground,13
smiled,13
sound,13
silver,13
wide,13
nice,13
filled,13
delight,13
feel,13
edith,13
illustrated,12
short,12
page,12
rubber,12
dance,12
lad,12
saint,12
maker,12
matter,12
caught,12
tea,12
cold,12
tiny,12
branches,12
men,12
nose,12
holding,12
mine,12
cause,12
horse,12
speak,12
buts,12
open,12
presently,12
voice,12
saying,12
sir,12
tired,12
fun,12
close,12
flew,12
third,12
felt,12
high,12
large,12
arm,12
ha,12
warm,11
girls,11
harry,11
lesson,11
robin,11
pleasant,11
walk,11
tails,11
shop,11
parson,11
fellow,11
snowball,11
grew,11
ye,11
ought,11
meant,11
sometimes,11
straight,11
place,11
rest,11
lived,11
drum,11
doctor,11
buttons,11
except,11
horrid,11
tis,11
lily,11
suddenly,11
basket,11
least,11
tight,11
nearly,11
o,11
fair,11
sleep,11
seat,11
geography,11
stay,11
amy,11
monkey,11
charming,10
times,10
cents,10
clever,10
etc,10
lilies,10
quacky,10
purple,10
coming,10
meet,10
proud,10
buttercups,10
wore,10
hat,10
corner,10
tears,10
nobody,10
far,10
taken,10
tied,10
foot,10
words,10
word,10
ball,10
middle,10
near,10
huge,10
running,10
turkey,10
lawn,10
flying,10
johnny,10
taking,10
shining,10
ah,10
wind,10
lost,10
stairs,10
glorious,10
none,10
answered,10
waited,10
opening,10
spring,10
nest,10
spoke,10
those,10
brother,10
hungry,10
having,10
coat,10
tum,10
happened,10
bank,10
shawl,10
grandmamma,10
cheeses,10
daughter,9
england,9
being,9
whose,9
others,9
calls,9
study,9
growlery,9
ride,9
crab,9
riddle,9
corn,9
grow,9
frightened,9
roses,9
single,9
opened,9
sky,9
turn,9
wild,9
around,9
help,9
smiling,9
cannon,9
kissed,9
beat,9
passed,9
stop,9
softly,9
boat,9
asleep,9
meadow,9
sunshine,9
heavy,9
kitchen,9
earth,9
show,9
bow,9
pink,9
rosy,9
neck,9
wings,9
seemed,9
knee,9
spotted,9
laid,9
willy,9
hot,9
ogre,9
changed,9
making,9
supper,9
physical,9
bride,9
eldest,9
shell,8
delightful,8
rich,8
pictures,8
square,8
thoughts,8
somebody,8
naughty,8
pie,8
matilda,8
cats,8
seem,8
lifted,8
ten,8
calling,8
thank,8
myself,8
yesterday,8
days,8
smooth,8
bird,8
everybody,8
winter,8
noise,8
shoulder,8
hurt,8
crackers,8
forgot,8
dorothy,8
cap,8
kettle,8
splendid,8
soldiers,8
held,8
jumped,8
everything,8
doll,8
candy,8
need,8
afraid,8
hung,8
low,8
dollars,8
believe,8
pockets,8
broad,8
bless,8
ate,8
idea,8
welcome,8
climbed,8
longer,8
glee,8
woke,8
rolled,8
piece,8
kiss,8
early,8
sharp,8
enemy,8
marry,8
hundred,8
bonnet,8
mammy,8
wet,8
sent,8
frogs,8
books,7
howe,7
led,7
nonsense,7
rustic,7
stove,7
goosey,7
gown,7
cook,7
begin,7
philip,7
doorstep,7
whatever,7
hearts,7
knows,7
creature,7
doing,7
leaf,7
shoulders,7
school,7
bay,7
friend,7
dressed,7
dress,7
flag,7
frock,7
comes,7
dishes,7
anyhow,7
real,7
glass,7
cart,7
dears,7
read,7
beneath,7
silly,7
stayed,7
wee,7
liked,7
watch,7
fresh,7
blew,7
covered,7
pieces,7
possibly,7
burst,7
queer,7
singing,7
echo,7
forest,7
inside,7
maiden,7
dug,7
week,7
thin,7
calm,7
met,7
hill,7
sleigh,7
pecky,7
car,7
newspaper,7
weaver,7
appeared,7
use,7
ours,7
change,7
garden,7
lane,7
seized,7
birthday,7
drove,7
carriage,7
repeated,7
bad,7
nancy,7
gulls,7
hay,7
rock,7
rita,7
kitty,7
husband,7
allen,7
boston,6
interesting,6
companion,6
perfect,6
country,6
holiday,6
remarkable,6
author,6
gives,6
patient,6
lazy,6
practising,6
party,6
weathercock,6
jacket,6
hallelujah,6
steeple,6
spotty,6
wise,6
cups,6
goes,6
reeds,6
hardly,6
different,6
pleasure,6
street,6
save,6
speech,6
silent,6
sing,6
fear,6
showed,6
squirrels,6
peeped,6
giving,6
lives,6
broke,6
ago,6
either,6
also,6
less,6
reached,6
bang,6
