word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,24.56%,laura,10.53%,a,7.02%
and,the,6.35%,a,3.2%,he,2.83%
the,little,3.1%,old,1.26%,boy,1.06%
this,is,11.68%,time,8.76%,was,7.3%
was,a,11.87%,the,6.28%,very,3.66%
from,the,31.25%,his,10.0%,her,6.25%
made,a,27.27%,the,9.09%,him,9.09%
is,the,12.35%,a,8.76%,it,4.38%
with,a,15.77%,the,10.14%,his,6.2%
of,the,22.1%,a,4.12%,course,3.81%
it,was,20.78%,is,8.64%,and,6.58%
a,little,4.94%,great,3.11%,good,2.47%
long,afternoon,8.96%,long,5.97%,as,5.97%
for,the,11.48%,a,9.18%,you,6.56%
to,the,11.45%,be,8.26%,see,3.78%
who,was,17.05%,did,7.95%,had,7.95%
as,if,10.17%,the,9.75%,he,8.05%
her,and,5.22%,eyes,4.64%,mother,3.77%
in,the,32.64%,a,12.83%,his,7.17%
into,the,55.07%,a,11.59%,her,5.8%
his,head,3.83%,eyes,3.24%,mother,2.95%
great,deal,3.75%,day,2.5%,fight,2.5%
man,i,6.78%,and,5.08%,who,5.08%
go,to,19.74%,and,11.84%,there,6.58%
little,boy,10.53%,girl,9.6%,dog,6.19%
new,year,57.63%,england,6.78%,sister,3.39%
has,been,15.38%,a,11.54%,the,5.77%
some,of,13.24%,one,8.82%,money,4.41%
or,a,8.82%,else,5.88%,the,4.41%
more,than,13.21%,and,7.55%,to,5.66%
one,of,10.98%,day,8.09%,was,5.78%
they,were,15.58%,are,5.43%,went,4.35%
are,you,13.74%,not,7.63%,a,6.11%
had,a,14.98%,been,6.88%,to,4.86%
there,was,28.93%,were,13.84%,is,5.03%
never,a,10.29%,seen,8.82%,had,5.88%
would,not,16.95%,be,12.71%,like,5.08%
old,gentleman,20.0%,man,14.12%,and,5.88%
very,well,5.88%,much,5.88%,near,2.61%
so,that,7.69%,she,6.48%,the,4.86%
day,and,11.22%,in,5.1%,a,5.1%
when,the,28.29%,she,9.87%,you,8.55%
i,am,11.61%,will,5.24%,should,5.06%
your,life,3.64%,tail,3.64%,shell,2.73%
she,was,11.85%,had,10.66%,said,8.29%
us,that,8.2%,and,6.56%,away,6.56%
two,shoes,15.38%,little,8.97%,feet,5.13%
year,is,8.93%,song,7.14%,the,7.14%
what,a,10.46%,is,9.15%,was,8.5%
at,the,26.01%,all,10.76%,last,7.17%
then,she,12.12%,the,10.3%,i,7.27%
see,the,10.68%,what,8.74%,saw,4.85%
green,tail,6.35%,forest,6.35%,mantle,4.76%
on,the,40.23%,a,8.05%,her,5.75%
poor,little,21.43%,woman,14.29%,bonny,5.36%
did,not,44.79%,you,9.38%,and,3.12%
not,a,5.38%,be,5.0%,like,4.23%
like,a,16.67%,the,15.79%,to,14.91%
hand,and,21.15%,my,7.69%,up,7.69%
my,little,6.7%,dear,4.78%,name,3.35%
all,the,21.77%,about,4.42%,right,3.4%
