word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,5.98%,him,4.27%,good,3.42%
and,it,1.47%,eyes,1.2%,up,1.11%
the,in,7.04%,of,5.9%,and,5.57%
at,look,9.87%,looked,3.59%,and,2.69%
was,it,17.57%,he,10.96%,she,8.7%
from,and,3.66%,gold,3.66%,up,3.66%
made,and,10.53%,which,10.53%,they,8.77%
is,it,17.07%,this,6.5%,that,5.69%
this,all,6.72%,at,6.72%,of,3.73%
of,out,5.51%,one,2.83%,full,2.38%
with,play,3.67%,and,1.98%,filled,1.98%
it,and,5.54%,of,4.31%,about,3.9%
a,and,6.55%,in,6.46%,was,6.46%
long,a,24.62%,the,7.69%,long,6.15%
for,it,3.58%,waiting,2.61%,and,1.63%
to,going,3.18%,came,2.0%,like,2.0%
who,person,7.95%,and,3.41%,you,3.41%
as,just,4.66%,fast,3.39%,big,2.97%
her,to,5.59%,in,5.03%,on,4.19%
in,and,3.78%,up,3.21%,it,2.27%
into,came,5.56%,up,5.56%,burst,5.56%
his,in,11.05%,and,7.27%,with,6.4%
great,a,42.5%,the,26.25%,of,5.0%
man,old,20.0%,the,16.67%,little,13.33%
go,to,23.08%,we,8.97%,will,8.97%
children,the,38.89%,other,7.41%,my,5.56%
year,new,58.62%,the,12.07%,leap,5.17%
little,the,22.89%,a,16.27%,my,4.22%
new,the,22.22%,a,14.29%,happy,12.7%
some,and,10.14%,for,5.8%,with,5.8%
has,he,11.76%,she,9.8%,it,9.8%
more,any,19.23%,no,7.69%,and,5.77%
or,cat,5.88%,more,2.94%,somehow,2.94%
one,no,6.36%,in,4.05%,and,3.47%
are,you,23.48%,they,11.36%,we,7.58%
had,she,18.6%,he,18.6%,i,4.55%
there,and,19.11%,time,4.46%,go,3.18%
never,had,17.19%,i,9.38%,we,9.38%
would,it,14.29%,she,10.08%,what,7.56%
old,the,36.47%,years,12.94%,an,7.06%
very,was,13.82%,a,13.16%,the,9.87%
so,was,6.85%,and,5.24%,you,2.42%
