word type,number
everything,290986
adult,5
hate,4
function,162259
normal,number
the,13367
and,10848
to,6711
a,6527
i,6459
of,5504
you,4718
she,4489
her,4271
was,4073
it,3969
in,3875
that,3004
with,2444
he,2274
is,2254
but,2229
said,2078
for,1982
not,1877
had,1843
as,1827
my,1808
have,1682
at,1636
be,1625
on,1581
all,1527
margaret,1410
his,1373
so,1372
me,1330
this,1324
they,1283
what,1142
one,1120
were,1104
peggy,1077
do,1058
there,1042
no,1040
if,1010
are,965
little,964
we,962
would,903
them,894
now,880
up,875
will,850
out,850
when,830
from,791
know,789
him,772
see,762
by,752
your,750
then,746
oh,743
like,735
miss,721
could,719
about,697
dear,694
been,692
or,688
good,684
very,679
here,651
well,644
come,614
did,606
am,603
an,591
go,578
rita,574
never,574
don't,562
came,558
time,550
how,549
think,546
montfort,540
eyes,540
who,526
some,520
must,511
more,503
into,498
down,498
only,488
over,484
too,475
cried,473
just,470
which,461
their,459
looked,451
has,451
can,451
say,450
again,439
day,426
uncle,424
tell,419
john,417
two,413
went,406
old,400
should,397
look,388
any,383
thought,381
great,378
back,376
room,375
shall,374
other,370
before,366
hand,364
why,363
way,359
girl,359
mr,358
away,354
child,339
head,339
much,331
young,324
poor,322
house,320
going,318
own,316
girls,314
moment,310
things,306
yes,305
long,303
after,303
let,299
made,299
take,299
grace,298
something,295
us,293
where,291
herself,289
get,288
man,285
life,285
saw,283
first,283
face,283
make,281
still,280
might,280
may,274
than,269
always,266
nothing,265
door,264
ever,261
thing,254
cousin,252
anything,251
such,250
asked,248
home,245
off,245
every,242
last,240
white,240
these,239
pretty,237
through,236
once,233
seemed,231
told,230
heard,228
took,224
most,224
night,223
course,219
put,219
mother,219
new,217
mrs,216
enough,214
right,213
our,213
heart,211
want,210
knew,208
boy,207
half,204
children,203
hands,202
three,201
though,201
hugh,197
father,196
looking,196
another,195
till,191
sure,190
without,185
gone,185
while,185
seen,185
best,184
indeed,184
got,182
really,182
kind,182
even,181
yet,179
stood,179
give,178
upon,176
love,175
hear,174
better,170
turned,170
under,169
found,169
next,168
round,168
few,168
world,166
bed,166
help,166
window,164
mean,163
it's,163
place,162
find,162
green,158
sat,158
voice,157
lady,156
many,155
didn't,154
woman,153
word,151
perhaps,151
hair,150
brought,149
feel,148
coming,147
its,147
felt,147
left,146
call,146
years,145
i'm,145
each,145
blue,144
because,144
mind,144
black,144
both,143
isn't,142
whole,141
beautiful,140
story,140
done,139
suppose,139
please,139
myself,137
used,137
light,136
along,136
feet,134
mary,133
rose,133
open,132
i'll,131
full,130
elizabeth,130
side,129
himself,129
rather,128
don,128
since,126
does,126
ask,125
speak,125
those,124
days,124
lovely,124
year,123
care,121
people,121
soon,121
basil,120
susan,120
same,119
together,119
dark,119
fire,118
glad,118
arms,118
aunt,118
strong,117
keep,117
alone,117
school,116
being,116
person,116
sound,116
quite,116
morning,114
else,114
gerald,113
work,112
peggy's,112
bertha,112
called,111
held,111
gave,110
lay,110
peyton,110
cannot,110
name,109
red,108
try,108
can't,108
matter,108
stay,107
hour,107
ran,106
big,106
ah,105
marguerite,105
set,104
end,104
says,103
remember,103
almost,103
brother,103
shook,102
rest,102
russell,102
hope,101
wanted,101
quiet,101
floor,101
happy,100
words,99
frances,99
behind,99
boys,98
air,97
pleasant,97
far,97
tried,97
minutes,96
began,96
tears,96
opened,96
wish,96
against,96
box,95
part,95
thank,95
illustration,94
sit,94
spoke,94
that's,94
beside,93
certainly,93
around,93
brown,93
table,93
garden,92
chapter,91
laughed,91
gold,91
hardly,90
run,90
forward,90
read,90
jack,90
ought,89
breath,88
fell,88
leave,88
thinking,87
quietly,87
bright,87
sweet,86
near,86
d,85
suddenly,85
fine,85
evening,85
play,85
sister,85
soft,84
afraid,84
laid,84
live,84
added,84
strange,84
bring,84
jean,84
others,84
arm,84
dress,84
already,83
least,83
stairs,83
mamma,83
believe,82
sight,82
everything,82
golden,82
followed,81
won't,81
tree,81
water,81
lobelia,81
figure,80
deal,80
sitting,79
small,79
instant,79
ready,79
friend,79
having,79
talk,79
leaves,78
rooms,78
standing,78
merton,78
saying,77
smile,77
silent,76
hat,76
laughing,76
general,76
wild,76
silver,76
sleep,76
viola,76
five,75
clothes,75
chair,75
sir,75
hold,75
save,74
turn,74
pleasure,74
true,74
high,73
need,73
grave,73
ago,73
use,73
cry,73
summer,72
understand,72
hard,72
yourself,72
sorry,72
nodded,72
book,72
clear,72
men,72
tall,71
doing,71
walk,71
