word type,number
everything,49272
adult,2
hate,0
function,27519
normal,number
the,1915
and,1659
i,1293
to,1199
a,1050
you,1012
of,898
she,770
her,720
in,677
was,666
it,625
margaret,567
that,521
he,424
with,377
but,369
is,366
my,352
said,350
not,345
for,341
have,340
be,318
had,305
as,276
at,273
me,273
so,260
his,247
on,232
all,231
this,217
no,209
do,203
montfort,198
if,194
uncle,186
john,186
dear,182
what,182
they,173
would,172
one,169
little,165
are,164
were,164
there,161
miss,159
very,152
now,152
know,151
will,151
them,149
mr,147
cousin,147
him,146
been,143
your,142
see,139
don't,138
am,137
when,134
up,133
like,130
out,129
good,129
could,127
oh,125
about,121
well,118
by,116
or,116
some,114
basil,113
must,112
think,111
from,109
never,109
did,109
here,108
go,105
we,105
say,99
time,98
how,98
susan,97
come,96
an,96
then,93
more,91
young,91
child,89
shall,89
always,89
can,89
just,87
over,87
children,85
into,85
yes,85
who,82
thought,80
tell,80
any,80
girl,78
merton,78
should,78
too,78
cried,77
down,76
d,74
much,73
came,71
which,70
why,70
only,70
again,70
look,68
day,67
their,67
has,66
away,65
elizabeth,65
eyes,64
love,63
house,63
herself,62
make,62
looked,62
head,61
old,60
two,60
room,59
frances,59
lady,59
great,58
own,58
such,58
before,57
after,56
went,56
gerald,56
take,55
let,55
way,55
once,55
hand,55
back,54
things,54
still,53
mrs,52
most,52
boy,52
life,51
get,51
something,51
pretty,50
these,50
ever,48
other,48
may,47
asked,47
peyton,47
bed,47
going,47
might,47
made,46
white,46
really,46
mean,46
long,45
moment,45
last,44
anything,44
knew,44
nothing,44
course,43
where,43
right,42
sure,42
man,41
perhaps,41
night,41
home,40
than,40
face,40
new,39
stood,38
indeed,38
felt,38
door,38
every,37
poor,37
didn't,37
feel,37
seen,37
off,37
told,36
i'll,36
first,35
hands,35
put,35
better,35
give,35
remember,35
sat,34
looking,34
gone,34
thing,34
want,34
heart,34
seemed,34
saw,34
voice,33
took,33
morning,33
kind,33
even,33
till,33
please,32
years,32
us,32
find,32
boys,32
half,31
thank,31
used,31
ask,31
heard,31
coming,31
three,30
read,30
i'm,30
wouldn't,30
another,30
world,29
pleasant,29
aunt,29
quite,29
does,29
rooms,28
enough,28
rather,28
says,28
dearest,28
window,28
blue,27
done,27
yet,27
clothes,27
suppose,27
upon,27
word,26
found,26
place,25
full,25
through,25
brought,25
round,25
while,25
many,25
care,25
hear,25
tried,25
without,25
being,25
sir,25
myself,24
won't,24
wish,24
evening,24
mother,24
table,24
almost,24
peggy,24
speak,24
pleasure,24
along,24
both,24
got,24
few,23
need,23
deal,23
isn't,23
hair,23
since,23
those,23
hour,23
run,23
tea,23
floor,23
noise,23
held,22
keep,22
silence,22
woman,22
try,22
mind,22
hope,22
father,22
himself,22
next,22
least,22
that's,22
stairs,22
certainly,22
light,22
cannot,22
help,21
alone,21
happy,21
though,21
person,21
ah,21
shook,21
duty,21
quiet,21
its,20
each,20
black,20
cheerful,20
rest,20
gave,20
beautiful,20
breath,20
rita,20
best,20
air,20
call,20
story,19
sleep,19
glad,19
can't,19
ought,19
arms,19
turned,19
having,19
bog,19
feeling,18
chapter,18
garden,18
understand,18
quietly,18
walk,18
because,18
leave,18
wanted,18
soon,18
frightened,18
afraid,18
feet,18
days,18
strange,18
opened,18
ran,18
same,17
small,17
girls,17
matter,17
age,17
letter,17
believe,17
minutes,17
together,17
called,17
it's,17
he's,17
laid,17
standing,17
suddenly,17
sorry,17
lay,17
cloth,16
bring,16
ghost,16
whom,16
soft,16
bit,16
under,16
else,16
near,16
hardly,16
open,16
end,16
against,16
william,16
slowly,16
wrong,16
sit,15
seems,15
ago,15
faith,15
fellow,15
lovely,15
doubt,15
delightful,15
began,15
saying,15
instant,15
side,15
surely,15
taking,15
sound,15
towards,15
figure,15
peace,14
save,14
verandah,14
yourself,14
reading,14
part,14
use,14
school,14
perfectly,14
trying,14
between,14
tears,14
loved,14
rose,14
talk,14
work,14
stopped,14
simply,14
left,14
ready,14
wall,14
turning,14
people,14
dark,14
master,14
sweet,13
short,13
book,13
nodded,13
assure,13
comes,13
books,13
everything,13
live,13
stay,13
clear,13
she's,13
pleased,13
entirely,13
turn,13
beg,13
smile,13
explained,13
sister,13
silent,13
further,13
wondering,13
play,13
summer,13
minute,12
sitting,12
bright,12
lost,12
friend,12
beauty,12
doing,12
our,12
darling,12
straight,12
cook,12
doesn't,12
laughing,12
listen,12
whole,12
passage,12
trouble,12
wonder,12
there's,12
aloud,12
hers,12
drawers,12
couldn't,12
nature,12
beside,12
bear,12
behind,12
already,12
making,12
bye,12
laughed,12
red,12
bad,12
sent,12
changed,12
stop,12
followed,12
series,11
tone,11
perfect,11
page,11
second,11
presently,11
set,11
guess,11
hold,11
change,11
low,11
i've,11
seeing,11
ways,11
hot,11
gentleman,11
pardon,11
shoulder,11
wind,11
tired,11
ho,11
important,11
glance,11
however,11
deep,11
close,11
eye,11
water,11
study,11
legs,11
cents,10
companion,10
met,10
asleep,10
roses,10
nice,10
week,10
death,10
year,10
hard,10
self,10
getting,10
wild,10
meant,10
brother,10
marguerite,10
generally,10
walked,10
ten,10
whether,10
green,10
above,10
seem,10
chair,10
dinner,10
expected,10
looks,10
thinking,10
em,10
silver,10
replied,10
you'll,10
forward,10
haven't,10
grave,10
added,10
several,10
breakfast,10
gently,10
strong,10
far,10
brown,10
answer,10
declared,10
lightly,10
puzzled,10
drew,10
likely,10
running,10
bully,10
thunder,10
sympathy,9
illustration,9
illustrated,9
present,9
joy,9
trees,9
passed,9
one's,9
cap,9
emily,9
comfort,9
creature,9
tree,9
letters,9
times,9
lots,9
except,9
morrow,9
often,9
kindly,9
wonderful,9
i'd,9
expect,9
step,9
angry,9
send,9
sense,9
words,9
fell,9
interest,9
sudden,9
early,9
sigh,9
uncle's,9
family,9
cheerfully,9
slightly,9
bent,9
warm,9
caught,9
softly,9
shoes,9
papers,9
anthony,9
cause,9
bound,8
volume,8
lesson,8
big,8
singing,8
dropped,8
ha,8
smiling,8
possibly,8
wasn't,8
write,8
history,8
supper,8
soul,8
cool,8
married,8
consider,8
laugh,8
sewing,8
gold,8
notice,8
needed,8
quick,8
taken,8
fond,8
able,8
positively,8
holding,8
fit,8
usual,8
point,8
chance,8
alarmed,8
high,8
sugar,8
closet,8
eat,8
colour,8
collar,8
telling,8
arm,8
liked,8
finally,8
ill,8
either,8
kept,8
across,8
hall,8
shriek,8
trick,8
nursery,8
boy's,8
roof,8
darkness,8
square,8
charming,7
others,7
stories,7
cover,7
tall,7
top,7
desert,7
exactly,7
yours,7
reason,7
town,7
jacket,7
lace,7
extremely,7
murmured,7
buttonholes,7
afternoon,7
lot,7
glass,7
sometimes,7
name,7
learned,7
learn,7
younger,7
gentle,7
fine,7
spirit,7
perfection,7
strength,7
trunk,7
less,7
month,7
tenderly,7
experience,7
flew,7
fast,7
maybe,7
you're,7
fled,7
twenty,7
order,7
dead,7
endure,7
smooth,7
four,7
necessary,7
hungry,7
means,7
dreadful,7
surprised,7
easy,7
servants,7
attention,7
kitchen,7
amazement,7
trunks,7
thin,7
crimson,7
chest,7
paused,7
shake,7
hermit,7
died,7
sofa,7
became,7
wait,7
speaking,7
fear,7
john's,7
matters,7
known,7
precious,7
closed,7
cry,7
clutched,7
grow,7
threw,7
cousins,7
length,7
sight,7
carefully,7
note,7
firm,7
shut,7
instead,7
kissed,7
child's,7
around,7
teach,7
whispered,7
raised,7
apparently,7
upper,7
manage,7
past,7
crying,7
e,6
thirty,6
