word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,17.43%,a,7.34%,laura,4.59%
and,i,5.03%,the,3.27%,then,2.36%
the,children,2.16%,house,2.05%,child,1.84%
margaret,i,6.19%,was,4.07%,had,3.36%
has,been,20.0%,not,7.69%,had,6.15%
for,the,12.31%,a,10.51%,you,5.71%
herself,to,11.29%,and,8.06%,she,6.45%
a,little,5.57%,good,2.98%,great,2.4%
little,girl,18.4%,and,1.84%,boy,1.84%
in,the,27.83%,a,11.01%,her,6.99%
from,the,28.44%,her,7.34%,one,4.59%
her,uncle,5.14%,own,3.61%,head,3.47%
of,the,17.83%,a,4.8%,course,4.69%
been,a,8.45%,in,6.34%,very,2.82%
very,well,9.21%,much,5.26%,good,3.29%
one,of,19.53%,to,6.51%,and,4.14%
it,is,13.34%,was,12.86%,and,3.86%
is,a,7.67%,the,6.03%,it,3.84%
so,much,8.66%,i,4.33%,she,3.15%
to,be,8.19%,the,5.32%,have,4.31%
day,i,11.94%,and,7.46%,it,4.48%
with,a,15.43%,her,8.24%,the,7.18%
had,been,14.43%,a,6.23%,never,5.9%
there,was,30.0%,is,11.25%,are,6.25%
never,seen,5.5%,saw,5.5%,had,4.59%
would,be,19.88%,not,10.53%,have,7.02%
take,a,9.09%,her,7.27%,the,7.27%
old,house,5.45%,lady,5.45%,fashioned,3.64%
who,had,13.41%,was,8.54%,is,7.32%
are,you,12.27%,the,7.36%,not,7.36%
on,the,36.8%,her,9.52%,his,5.19%
more,than,12.09%,and,5.49%,i,4.4%
or,two,6.19%,something,4.42%,three,4.42%
they,were,17.34%,are,10.4%,had,6.94%
most,of,11.54%,likely,7.69%,graceful,3.85%
some,of,13.16%,one,8.77%,day,7.89%
say,to,8.16%,that,7.14%,you,6.12%
children,were,11.9%,i,5.95%,are,4.76%
that,she,7.13%,is,5.97%,i,4.62%
montfort,i,5.18%,said,3.63%,is,2.59%
which,was,12.86%,he,11.43%,she,7.14%
was,a,9.39%,the,4.24%,not,3.94%
as,if,11.23%,she,10.51%,he,8.33%
love,you,15.87%,i,9.52%,me,9.52%
i,am,10.27%,have,7.39%,shall,4.12%
must,be,18.02%,have,13.51%,go,12.61%
did,not,35.19%,you,20.37%,i,4.63%
she,was,11.98%,had,9.38%,said,7.94%
out,of,31.25%,and,7.81%,into,4.69%
into,the,45.88%,a,9.41%,her,4.71%
you,are,6.39%,know,5.49%,see,3.8%
me,to,7.89%,i,7.14%,and,5.64%
girl,and,9.09%,he,7.79%,i,6.49%
but,i,12.6%,the,5.75%,she,5.21%
up,the,10.61%,in,8.33%,to,8.33%
at,the,20.93%,her,7.36%,all,6.59%
merton,was,12.99%,and,6.49%,had,6.49%
come,in,12.63%,to,12.63%,here,7.37%
shall,be,15.73%,i,8.99%,have,6.74%
be,a,6.31%,very,3.79%,the,3.47%
my,dear,27.71%,love,7.71%,duty,3.43%
dear,john,8.33%,i,6.67%,child,6.67%
said,margaret,17.43%,mr,11.71%,the,8.29%
mr,montfort,96.49%,john,2.63%,peyton,0.88%
have,been,12.43%,a,6.51%,no,5.62%
no,one,11.48%,doubt,6.22%,more,6.22%
thought,she,10.0%,of,7.5%,you,7.5%
your,uncle,6.38%,own,5.67%,pardon,4.96%
why,i,7.14%,it,5.71%,did,5.71%
should,be,20.51%,not,10.26%,have,8.97%
not,to,5.23%,a,4.65%,be,3.78%
room,and,6.78%,the,5.08%,that,5.08%
uncle,john,56.76%,john's,3.78%,and,2.7%
he,was,12.35%,said,9.74%,had,5.23%
before,the,12.5%,she,10.71%,you,8.93%
don't,you,21.9%,know,10.22%,mean,5.84%
them,in,8.72%,and,5.37%,at,4.03%
think,of,13.64%,i,12.73%,you,10.0%
just,now,11.63%,as,10.47%,to,4.65%
go,to,16.35%,and,8.65%,on,7.69%
about,the,16.67%,it,15.83%,her,4.17%
if,you,29.69%,she,15.1%,i,11.46%
now,and,15.13%,i,7.89%,they,3.29%
always,say,11.24%,been,7.87%,think,6.74%
john,i,12.09%,montfort,8.24%,she,7.14%
his,head,4.45%,own,2.83%,face,2.83%
two,or,8.47%,of,5.08%,dollars,5.08%
were,in,5.49%,not,4.88%,a,3.05%
house,and,12.9%,like,4.84%,she,4.84%
only,one,7.14%,the,5.71%,she,5.71%
away,and,10.94%,with,9.38%,from,7.81%
all,the,16.96%,right,9.13%,that,5.22%
like,a,22.4%,to,16.8%,it,4.8%
him,and,9.66%,to,5.52%,with,4.83%
great,deal,21.05%,white,7.02%,many,3.51%
much,as,10.96%,more,5.48%,of,4.11%
time,and,10.2%,to,8.16%,i,8.16%
what,i,10.06%,a,8.94%,you,7.82%
too,much,11.54%,and,5.13%,but,5.13%
oh,yes,11.2%,uncle,8.8%,i,8.8%
make,a,14.52%,that,8.06%,it,4.84%
good,night,10.85%,bye,9.3%,deal,8.53%
back,to,20.37%,in,9.26%,and,9.26%
let,me,32.73%,us,12.73%,you,7.27%
see,i,8.09%,her,7.35%,you,6.62%
after,all,17.86%,you,8.93%,the,8.93%
went,on,25.0%,away,10.71%,to,7.14%
then,i,14.13%,she,7.61%,he,6.52%
how,i,8.16%,could,7.14%,do,6.12%
know,i,7.43%,what,6.76%,how,6.76%
when,she,26.12%,i,14.93%,he,8.96%
could,not,32.28%,be,7.87%,she,7.09%
this,is,7.37%,time,6.45%,morning,4.15%
tell,me,32.5%,you,20.0%,her,17.5%
an,hour,14.58%,instant,10.42%,air,4.17%
yes,i,16.47%,uncle,8.24%,my,4.71%
way,i,11.11%,to,7.41%,of,5.56%
things,in,11.11%,you,5.56%,and,5.56%
child,i,5.75%,you,4.6%,was,4.6%
am,sure,13.97%,going,8.09%,afraid,6.62%
can,you,10.11%,i,7.87%,be,5.62%
do,you,26.63%,not,8.54%,it,6.03%
came,to,11.27%,in,9.86%,home,7.04%
well,i,10.34%,and,7.76%,my,6.9%
will,be,17.22%,you,11.92%,not,9.27%
here,i,7.55%,to,5.66%,is,4.72%
get,on,9.8%,your,7.84%,a,7.84%
any,one,16.46%,more,10.13%,rate,5.06%
look,at,19.12%,of,13.24%,up,5.88%
frances,and,16.95%,i,10.17%,could,5.08%
something,of,9.8%,like,7.84%,that,7.84%
again,in,5.71%,and,5.71%,i,4.29%
miss,montfort,40.0%,margaret,29.33%,frances,2.67%
over,the,22.35%,her,16.47%,and,15.29%
we,will,10.68%,shall,7.77%,are,7.77%
elizabeth,and,9.23%,she,6.15%,i,4.62%
own,room,10.34%,cousin,6.9%,age,6.9%
cried,margaret,18.18%,the,18.18%,basil,11.69%
susan,d,79.35%,dear,3.26%,i,2.17%
eyes,were,14.06%,and,9.38%,she,7.81%
