word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,7.08%,drawings,1.77%,montfort,1.77%
and,you,1.47%,it,1.47%,now,1.41%
the,in,9.88%,of,8.25%,on,4.49%
at,look,4.87%,looked,3.75%,up,2.62%
montfort,mr,58.51%,miss,15.96%,margaret,7.98%
for,time,2.07%,and,2.07%,care,1.48%
herself,to,16.13%,of,8.06%,for,3.23%
a,in,7.09%,was,5.94%,with,5.56%
little,a,35.15%,the,18.18%,dear,4.24%
in,was,2.54%,them,1.94%,come,1.79%
from,away,4.63%,her,3.7%,pictures,1.85%
her,to,7.1%,in,6.55%,of,5.01%
of,out,4.48%,one,3.7%,full,1.79%
life,her,13.73%,of,7.84%,quiet,5.88%
has,he,16.13%,she,14.52%,who,8.06%
been,had,30.77%,have,29.37%,has,9.09%
very,a,7.89%,be,7.89%,was,6.58%
one,no,14.29%,any,7.74%,some,5.95%
it,of,3.37%,about,3.05%,and,2.57%
is,it,23.38%,that,8.73%,she,7.61%
so,and,11.63%,was,3.88%,ever,3.88%
to,going,2.85%,used,2.18%,me,1.76%
day,to,23.88%,some,13.43%,all,11.94%
child,the,39.33%,dear,13.48%,my,11.24%
had,she,24.16%,he,7.38%,margaret,6.38%
there,and,8.81%,but,5.66%,it,3.77%
never,i,17.43%,had,16.51%,have,4.59%
would,she,15.38%,it,11.83%,you,11.24%
take,to,33.96%,and,7.55%,would,5.66%
old,the,30.0%,years,6.67%,horrid,6.67%
with,and,2.73%,margaret,2.19%,her,1.91%
who,margaret,8.75%,one,8.75%,man,5.0%
are,you,39.26%,they,11.04%,there,6.13%
on,went,6.09%,go,3.48%,so,2.61%
more,no,14.29%,once,12.09%,any,8.79%
or,two,4.46%,day,2.68%,once,2.68%
most,the,27.45%,is,5.88%,but,5.88%
some,for,9.65%,had,5.26%,that,3.51%
say,to,21.65%,i,18.56%,you,16.49%
children,the,49.4%,these,4.82%,for,3.61%
that,and,4.09%,her,2.53%,all,2.33%
which,of,8.57%,rooms,2.86%,in,2.86%
as,just,3.27%,much,2.91%,well,2.55%
margaret,said,10.93%,cousin,7.17%,miss,3.94%
i,and,6.52%,but,3.61%,margaret,2.75%
must,i,23.42%,you,22.52%,she,13.51%
did,i,11.21%,he,9.35%,she,8.41%
she,that,4.9%,when,4.64%,and,4.24%
out,come,5.47%,held,4.69%,find,3.91%
into,out,7.06%,went,4.71%,came,3.53%
you,if,5.69%,do,5.29%,don't,2.99%
me,to,12.13%,tell,9.56%,let,6.62%
girl,little,38.46%,the,21.79%,a,10.26%
but,her,3.08%,margaret,2.24%,it,1.68%
up,come,4.58%,looked,3.82%,came,3.82%
was,she,14.29%,it,12.42%,he,8.07%
come,to,12.77%,you,11.7%,had,6.38%
shall,i,60.23%,you,10.23%,we,9.09%
be,to,30.7%,would,10.76%,will,8.23%
my,of,5.43%,you,3.43%,in,3.14%
dear,my,53.59%,you,4.97%,the,3.87%
said,she,17.99%,he,12.09%,you,3.54%
mr,said,28.28%,john,2.76%,with,2.76%
have,i,27.94%,to,15.0%,you,8.82%
no,have,9.27%,was,9.27%,but,3.41%
thought,i,18.99%,margaret,11.39%,she,8.86%
your,in,7.09%,beg,4.96%,of,4.96%
why,reason,5.8%,and,5.8%,why,4.35%
should,i,46.15%,she,7.69%,you,6.41%
not,could,11.92%,did,11.05%,was,7.56%
room,the,22.41%,blue,15.52%,own,10.34%
uncle,her,20.11%,oh,5.98%,your,4.89%
he,as,5.58%,and,5.34%,that,3.88%
before,night,5.36%,and,3.57%,room,3.57%
don't,i,32.35%,you,8.82%,and,3.68%
love,my,44.26%,of,9.84%,i,9.84%
them,of,13.42%,for,5.37%,in,4.03%
think,i,36.94%,you,21.62%,to,9.91%
just,is,6.98%,was,5.81%,be,3.49%
go,to,18.1%,must,13.33%,and,6.67%
about,all,7.44%,was,4.13%,anything,4.13%
if,as,16.15%,and,6.25%,you,2.6%
now,and,12.16%,just,6.76%,but,4.73%
always,i,25.84%,was,6.74%,have,6.74%
john,uncle,56.45%,dear,8.06%,dearest,7.53%
his,in,6.48%,of,6.48%,with,5.26%
two,the,21.67%,or,11.67%,in,5.0%
were,they,18.4%,you,14.11%,children,6.13%
only,the,11.59%,was,5.8%,i,4.35%
away,went,9.23%,run,7.69%,go,6.15%
all,at,7.36%,and,6.06%,after,4.33%
house,the,67.24%,summer,13.79%,old,5.17%
like,you,12.4%,would,7.75%,i,5.43%
him,to,6.85%,with,6.16%,at,6.16%
they,that,10.47%,and,8.14%,if,5.23%
great,a,43.1%,the,34.48%,with,3.45%
much,so,30.14%,too,12.33%,very,10.96%
time,this,14.29%,the,12.24%,any,4.08%
what,and,6.18%,know,5.62%,see,3.93%
too,was,8.97%,not,6.41%,seemed,3.85%
oh,margaret,5.74%,oh,5.74%,him,3.28%
make,to,37.7%,will,8.2%,and,8.2%
good,a,24.22%,very,3.91%,so,3.91%
back,come,7.41%,came,7.41%,the,7.41%
let,and,9.62%,don't,7.69%,not,5.77%
see,to,36.69%,you,27.34%,and,8.63%
after,and,5.45%,looking,3.64%,tired,3.64%
went,and,20.37%,margaret,20.37%,she,12.96%
then,and,42.39%,moment,2.17%,what,2.17%
how,know,10.42%,and,8.33%,see,7.29%
know,you,36.42%,i,21.19%,don't,9.27%
when,and,4.55%,but,3.79%,it,3.03%
could,she,28.8%,i,14.4%,margaret,6.4%
this,in,8.29%,of,4.61%,and,4.61%
tell,to,21.25%,and,8.75%,i,7.5%
an,with,14.58%,in,11.46%,of,9.38%
yes,oh,17.72%,montfort,3.8%,margaret,3.8%
way,the,24.07%,that,9.26%,her,7.41%
things,the,12.96%,of,7.41%,other,5.56%
am,i,96.35%,john,0.73%,repeated,0.73%
can,you,21.59%,i,19.32%,we,7.95%
do,to,15.0%,i,12.5%,you,11.0%
came,i,13.64%,it,9.09%,you,6.06%
well,very,12.28%,as,10.53%,pretty,3.51%
will,i,24.0%,you,15.33%,we,7.33%
here,come,6.48%,stay,5.56%,but,5.56%
get,to,21.57%,and,13.73%,you,9.8%
any,of,10.0%,had,8.75%,at,7.5%
look,to,25.0%,you,7.35%,a,4.41%
frances,and,11.86%,said,8.47%,miss,3.39%
something,or,9.8%,have,5.88%,find,3.92%
again,and,5.8%,it,5.8%,up,4.35%
miss,said,5.13%,cried,3.21%,i,2.56%
over,all,4.6%,it,4.6%,go,3.45%
we,that,6.86%,and,6.86%,shall,5.88%
elizabeth,said,9.23%,and,7.69%,to,4.62%
own,her,45.61%,my,17.54%,your,14.04%
cried,she,19.72%,he,7.04%,john,4.23%
susan,and,11.46%,said,8.33%,me,3.12%
eyes,her,34.43%,his,9.84%,gray,6.56%
such,no,5.17%,and,5.17%,with,5.17%
young,the,26.37%,a,10.99%,dear,7.69%
once,at,23.64%,for,10.91%,that,3.64%
head,her,40.98%,his,18.03%,my,9.84%
still,but,11.76%,was,7.84%,stood,7.84%
down,sat,14.47%,laid,5.26%,and,5.26%
lady,the,57.63%,young,6.78%,strange,5.08%
looked,margaret,18.33%,she,15.0%,and,15.0%
their,of,13.43%,to,7.46%,and,5.97%
hand,her,32.73%,his,10.91%,in,9.09%
cousin,her,8.39%,your,4.2%,and,3.5%
boy,the,30.77%,a,19.23%,dear,7.69%
basil,said,12.73%,cried,8.18%,oh,5.45%
merton,master,12.16%,said,6.76%,cried,4.05%
d,susan,98.65%,s,1.35%
gerald,said,24.07%,and,7.41%,but,5.56%
