word type,number
everything,52334
adult,0
hate,0
function,29205
normal,number
the,2373
and,1948
to,1212
i,1077
she,1069
a,1055
of,981
her,975
you,946
it,821
was,819
in,658
peggy,577
that,517
with,459
said,396
but,394
had,359
as,349
for,348
is,328
on,319
have,302
not,292
all,291
at,290
miss,290
so,283
this,258
be,257
one,247
they,234
what,219
my,217
were,217
do,213
we,200
are,200
know,197
there,195
if,192
no,190
oh,188
me,187
up,184
would,174
out,171
don't,170
them,168
now,165
grace,162
come,150
from,147
or,143
could,142
girls,141
well,140
when,139
been,137
then,136
came,132
by,127
room,126
did,125
see,122
here,120
go,119
like,115
bertha,112
little,111
never,111
your,110
eyes,109
about,107
just,107
time,107
an,106
who,106
more,105
will,105
dear,105
how,105
good,104
very,103
cried,103
too,102
over,101
think,100
looked,95
he,95
down,94
why,94
two,93
russell,92
into,92
other,91
only,91
look,90
am,90
any,90
say,88
girl,88
again,87
some,82
went,82
lobelia,81
must,81
going,81
can,79
hand,77
tell,77
which,76
viola,76
way,75
has,74
anything,72
get,72
herself,71
montfort,71
head,71
before,68
back,67
shall,65
moment,65
much,64
own,64
should,64
their,63
seemed,63
ever,62
i'm,61
door,61
school,60
poor,59
thing,59
let,59
snowy,59
things,58
it's,58
face,58
course,58
away,58
thought,56
want,56
take,55
first,55
after,55
day,54
isn't,54
where,54
saw,54
great,53
yes,53
window,52
made,51
peggy's,51
still,51
rose,50
through,49
every,48
kind,48
make,47
though,47
asked,47
half,46
such,46
can't,45
didn't,45
whole,45
something,45
pretty,45
us,45
help,45
nothing,45
might,45
both,44
than,44
long,44
life,43
night,43
along,43
last,43
gertrude,43
i'll,42
corridor,41
fluffy,41
gone,41
his,41
owls,40
knew,40
around,40
most,39
next,39
took,39
yet,39
right,39
another,38
got,38
even,38
because,38
him,38
margaret,37
put,37
off,36
heard,36
heart,36
sure,36
without,36
enough,36
better,36
world,35
hear,35
once,35
left,35
three,34
upon,34
indeed,34
really,34
won't,34
child,33
that's,33
felt,33
place,32
looking,32
home,32
coming,32
our,32
feel,32
mind,31
told,31
goat,31
found,31
same,30
v,30
against,30
blue,30
stay,30
trouble,30
used,30
innocent,30
love,29
box,29
matter,29
sat,29
floor,29
side,29
stood,29
always,29
simply,29
give,29
owl,29
its,28
parkins,28
suppose,28
mean,28
please,28
till,28
brought,28
tears,28
may,28
study,28
care,28
being,28
blanche,28
open,27
turned,27
man,26
best,26
class,26
awfully,26
done,26
arm,26
while,26
almost,26
lovely,26
part,26
others,25
principal,25
bed,25
hair,25
try,25
call,25
perfectly,25
set,25
ask,25
each,24
old,24
far,24
together,24
voice,24
talk,24
doing,23
hands,23
else,23
held,23
perhaps,23
rather,22
young,22
hardly,22
few,22
added,22
she's,22
under,22
haven't,22
quietly,22
strong,22
spoke,22
new,21
full,21
fire,21
work,21
use,21
white,21
sit,21
wanted,21
breath,21
forward,21
seen,21
beautiful,21
i've,21
scapegoat,20
feet,20
round,20
morning,20
however,20
myself,20
hard,20
find,20
couldn't,20
hope,20
speak,20
vincent,20
those,20
stop,20
crying,20
soon,20
ready,20
story,19
chapter,19
alone,19
sound,19
fell,19
quiet,19
books,19
called,19
freshman,19
friend,19
rest,19
afraid,19
hour,19
sweet,18
small,18
name,18
behind,18
word,18
deal,18
everything,18
figure,18
corner,18
many,18
repeated,18
shook,18
standing,18
doesn't,18
cry,18
wild,18
certainly,18
sorry,18
five,17
nest,17
table,17
year,17
these,17
lay,17
quite,17
high,17
silent,17
creature,17
leave,17
seem,17
rope,17
end,16
cold,16
live,16
hung,16
laid,16
gave,16
