word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,20.33%,a,5.69%,that,3.25%
and,the,6.0%,she,3.72%,i,3.31%
the,other,2.42%,snowy,1.78%,room,1.61%
has,been,26.03%,happened,6.85%,fainted,5.48%
for,the,14.83%,a,14.83%,her,6.4%
herself,and,12.68%,up,5.63%,in,5.63%
a,little,4.37%,moment,3.99%,good,3.23%
little,thing,5.41%,and,2.7%,but,2.7%
in,the,24.96%,a,10.72%,her,9.49%
from,the,31.21%,her,11.35%,it,2.84%
her,head,3.91%,eyes,3.91%,own,3.81%
of,the,19.5%,course,5.78%,her,5.68%
been,the,3.68%,a,2.94%,at,2.94%
very,much,6.8%,well,4.85%,best,3.88%
one,of,15.85%,else,3.66%,could,2.85%
it,was,19.32%,is,9.9%,and,3.06%
is,the,8.41%,a,6.54%,it,4.98%
so,much,6.01%,that,4.95%,she,4.59%
to,the,9.62%,be,5.72%,her,5.31%
day,and,18.52%,after,9.26%,she,5.56%
with,a,19.56%,the,12.09%,her,9.67%
had,been,16.53%,a,4.76%,never,2.8%
there,was,28.72%,were,9.23%,is,6.67%
never,saw,7.27%,was,6.36%,mind,6.36%
would,be,21.51%,have,13.37%,not,6.4%
take,the,14.55%,care,14.55%,a,10.91%
first,time,10.91%,place,9.09%,came,5.45%
more,than,6.67%,to,3.81%,about,3.81%
or,the,6.99%,i,4.9%,something,3.5%
some,of,12.2%,one,12.2%,reason,3.66%
say,anything,8.14%,it,6.98%,i,5.81%
girls,in,6.47%,and,4.32%,had,3.6%
that,she,8.72%,was,6.2%,is,5.43%
montfort,i,9.86%,in,5.63%,and,5.63%
which,was,13.16%,she,7.89%,they,5.26%
was,a,8.0%,the,4.8%,not,4.43%
as,she,16.23%,if,8.99%,i,6.67%
peggy,montfort,6.08%,was,5.38%,and,4.69%
have,been,9.27%,a,9.27%,to,7.62%
on,the,32.91%,her,10.44%,a,4.11%
i,am,8.04%,don't,6.45%,have,5.05%
other,girls,13.19%,two,5.49%,things,4.4%
an,instant,9.43%,hour,5.66%,effort,3.77%
