word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,terror,2.4%,side,2.4%,followed,2.4%
and,her,1.56%,peggy,1.41%,it,1.3%
the,of,8.02%,in,6.92%,and,4.92%
at,look,6.92%,looked,5.54%,and,3.11%
made,had,13.73%,and,11.76%,that,7.84%
for,out,2.6%,as,2.02%,waiting,1.73%
herself,to,12.86%,found,8.57%,for,2.86%
a,with,8.48%,in,6.67%,was,6.2%
little,a,41.44%,poor,16.22%,the,6.31%
in,up,2.61%,come,2.46%,was,2.46%
from,away,6.8%,come,4.76%,it,3.4%
her,to,6.59%,in,6.39%,of,5.66%
of,out,5.33%,one,4.0%,kind,1.74%
has,she,31.94%,it,12.5%,what,5.56%
been,had,43.07%,have,20.44%,has,13.87%
very,was,13.86%,a,9.9%,the,7.92%
one,any,7.72%,no,7.72%,some,4.07%
it,of,5.02%,but,2.21%,isn't,2.21%
is,it,25.47%,that,8.81%,this,7.86%
so,was,8.54%,and,7.83%,not,3.2%
to,going,4.07%,want,2.82%,seemed,2.57%
day,to,18.52%,the,16.67%,all,11.11%
had,she,22.97%,i,7.85%,peggy,6.4%
there,and,6.84%,but,4.74%,that,3.68%
never,i,25.69%,you,9.17%,had,9.17%
would,it,13.95%,you,13.95%,she,12.21%
take,to,27.27%,here,10.91%,don't,7.27%
first,the,42.59%,my,9.26%,at,9.26%
more,once,9.52%,any,8.57%,and,6.67%
or,two,3.55%,six,2.13%,her,2.13%
with,her,3.15%,it,1.8%,and,1.8%
some,have,12.2%,with,7.32%,of,6.1%
say,to,31.03%,i,8.05%,you,6.9%
girls,the,25.53%,two,8.51%,other,8.51%
that,and,3.31%,so,2.72%,but,2.53%
montfort,peggy,49.3%,miss,39.44%,margaret,2.82%
which,of,5.33%,on,5.33%,foot,2.67%
as,just,5.49%,well,3.18%,much,2.89%
have,i,18.06%,you,13.38%,to,12.71%
on,went,6.92%,hand,3.14%,go,2.83%
peggy,said,10.88%,cried,4.39%,and,4.39%
i,and,6.05%,but,3.31%,if,3.21%
other,the,63.33%,any,6.67%,each,6.67%
things,the,12.28%,other,7.02%,and,5.26%
an,with,9.43%,in,9.43%,for,8.49%
what,know,12.21%,see,5.63%,and,3.76%
was,it,19.73%,she,14.86%,there,6.99%
lobelia,said,4.94%,you,4.94%,but,4.94%
be,to,26.95%,would,14.45%,must,7.81%
