word type,number
everything,36596
adult,0
hate,0
function,20545
normal,number
the,1848
and,1069
to,926
a,908
of,898
i,832
you,541
in,524
her,471
was,464
it,456
she,443
my,369
that,366
is,351
he,351
with,334
for,285
his,280
but,262
rita,241
as,239
not,229
at,225
me,219
had,219
have,218
said,197
be,196
on,189
this,186
they,169
all,158
will,154
no,146
from,133
him,132
are,128
what,128
if,124
them,117
good,116
now,113
would,113
your,112
we,112
one,110
here,110
were,108
do,107
there,106
so,100
little,95
by,94
don,92
then,89
when,87
montfort,86
see,85
could,84
their,82
well,81
been,79
an,78
like,76
more,76
am,75
or,72
go,71
eyes,70
must,69
up,69
come,68
can,66
out,65
know,63
some,63
life,61
these,60
into,59
dear,59
who,59
young,58
time,57
child,55
poor,54
how,54
did,54
man,53
only,52
has,52
cried,52
general,52
may,51
old,51
hand,51
camp,50
back,49
about,49
our,49
say,49
us,49
which,48
again,48
before,48
very,48
heart,47
shall,47
never,47
where,47
came,47
too,46
captain,45
face,45
tell,45
over,45
few,44
under,44
first,44
house,43
head,43
moment,43
way,42
looked,42
marguerite,42
night,41
jack,41
two,41
away,41
thought,41
make,40
take,39
think,39
miss,39
should,38
made,38
oh,38
look,37
long,37
own,37
marm,37
still,36
brother,36
let,36
indeed,36
prudence,36
herself,35
white,35
nothing,35
day,34
might,34
road,34
such,33
cuba,33
woman,33
than,33
without,33
cousin,33
find,32
heard,32
last,32
going,32
any,31
through,31
most,31
even,31
things,31
once,31
seen,30
hands,30
cuban,30
enough,30
saw,30
help,30
turned,30
down,29
best,29
asked,29
after,29
another,28
since,28
place,28
other,28
fire,28
brought,28
yet,28
much,28
half,28
beside,27
great,27
men,27
don't,27
home,26
while,26
its,26
why,26
stood,26
jim,26
among,25
girl,25
upon,25
speak,25
country,25
ah,25
yes,25
horse,25
lady,24
every,24
though,24
pretty,24
off,24
it's,24
words,23
side,23
myself,23
hear,23
thing,23
does,23
grass,23
three,22
already,22
word,22
feet,22
call,22
just,22
give,22
mother,22
beautiful,21
went,21
sound,21
soldiers,21
himself,21
instant,21
door,20
till,20
black,20
those,20
soul,20
kind,20
uncle,20
told,20
right,20
took,20
seemed,20
rest,20
many,19
stay,19
daughter,19
full,19
soon,19
spaniards,19
hour,19
tears,19
something,19
want,19
brown,19
aquila,19
margarita,18
convent,18
sister,18
sleep,18
light,18
behind,18
round,18
wife,18
lay,18
done,18
gone,18
spoke,18
anything,18
looking,18
together,18
new,18
work,18
days,17
course,17
bed,17
evening,17
left,17
next,17
dolores,17
get,17
i'm,17
spanish,16
chapter,16
hat,16
ever,16
across,16
laid,16
world,16
quietly,16
along,16
noble,16
better,16
rough,16
war,15
ask,15
forget,15
alone,15
feel,15
whole,15
put,15
always,15
arms,15
leave,15
blood,15
perhaps,15
found,15
around,15
thus,15
glad,15
verandah,15
water,15
tent,15
wounded,15
quiet,15
girls,14
margaret,14
death,14
dead,14
ago,14
die,14
terrible,14
room,14
matter,14
tree,14
used,14
love,14
bird,14
mind,14
being,14
safe,14
rock,14
short,14
bring,14
sight,14
others,14
knew,14
leaves,14
gringos,14
i'll,14
drew,13
garden,13
open,13
ride,13
parrot,13
cry,13
honoured,13
years,13
also,13
live,13
both,13
often,13
trees,13
dark,13
real,13
fear,13
shook,13
low,13
ragged,13
valdez,13
soldier,13
hair,13
pablo,13
horses,13
mean,13
donna,13
peggy,12
sit,12
john,12
husband,12
person,12
says,12
save,12
happy,12
mine,12
arm,12
lost,12
rose,12
far,12
coming,12
wild,12
true,12
set,12
turn,12
bent,12
pedro,12
passed,12
least,12
hut,12
red,12
voice,12
moon,12
hills,11
scene,11
de,11
father,11
holy,11
earth,11
grave,11
palms,11
appeared,11
between,11
held,11
happened,11
cannot,11
hope,11
friend,11
gave,11
followed,11
air,11
else,11
doubt,11
meet,11
suddenly,11
women,11
near,11
forward,11
felt,11
thank,11
brave,11
got,11
son,11
try,11
blue,11
delicate,10
illustrious,10
each,10
nature,10
sisters,10
peace,10
dearest,10
understand,10
pleasure,10
beloved,10
green,10
lips,10
marble,10
close,10
bit,10
silent,10
name,10
listen,10
yourself,10
figure,10
end,10
eager,10
foot,10
bag,10
glance,10
met,10
nearer,10
running,10
quick,10
keep,10
soft,10
behold,10
given,10
please,10
breath,10
fine,10
quickly,10
ten,10
that's,10
riding,10
juan,10
illustration,9
page,9
letter,9
havana,9
cries,9
impossible,9
believe,9
alive,9
pardon,9
table,9
gold,9
paper,9
morrow,9
minutes,9
known,9
wish,9
send,9
knows,9
yours,9
longer,9
heaven,9
charming,9
high,9
added,9
second,9
rugged,9
hill,9
saints,9
search,9
silence,9
carried,9
return,9
joy,9
bright,9
nodded,9
broken,9
hungry,9
rather,9
really,9
repeated,9
direction,9
fellow,9
ground,9
fever,9
began,9
lifted,9
same,9
whom,9
comfortable,9
touch,9
clear,9
dropped,9
part,9
certainly,9
small,9
family,9
hero,9
hold,9
shot,9
scout,9
big,9
troop,9
riders,9
seem,8
hiding,8
opportunity,8
hush,8
yesterday,8
alas,8
position,8
gracious,8
free,8
spring,8
pray,8
reason,8
shoulders,8
thousand,8
burning,8
hardly,8
morning,8
silver,8
stand,8
necessary,8
widow,8
tender,8
julio,8
less,8
fell,8
maid,8
having,8
hasten,8
desire,8
possible,8
age,8
duty,8
lovely,8
trouble,8
stretched,8
tall,8
use,8
sitting,8
case,8
question,8
ones,8
pale,8
voices,8
care,8
glass,8
seeing,8
different,8
lean,8
doctor,8
cup,8
almost,8
creature,8
field,8
ready,8
guess,8
isn't,8
what's,8
carbine,8
mr,8
i've,8
diego,8
las,8
story,7
american,7
mouth,7
remain,7
fortune,7
command,7
attend,7
until,7
spirit,7
servant,7
eye,7
drop,7
cold,7
pleased,7
simple,7
palm,7
goes,7
food,7
