word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,26.09%,a,7.61%,his,4.35%
and,the,5.98%,i,2.75%,she,2.47%
the,road,1.71%,camp,1.54%,general,1.43%
rita,had,5.46%,was,4.62%,and,4.62%
for,the,14.49%,a,10.6%,you,7.07%
montfort,i,8.64%,was,6.17%,he,6.17%
her,eyes,4.09%,head,2.8%,life,2.15%
of,the,17.73%,my,5.49%,a,5.49%
to,the,10.58%,be,5.29%,her,3.42%
i,am,8.36%,have,7.52%,will,3.52%
know,it,11.11%,that,9.52%,i,9.52%
in,the,27.47%,a,11.03%,his,4.64%
if,you,11.48%,he,9.84%,i,9.84%
this,is,7.57%,moment,5.41%,young,3.24%
my,dear,5.03%,heart,4.19%,best,3.07%
can,i,10.61%,be,10.61%,you,7.58%
them,and,7.21%,to,5.41%,the,5.41%
some,one,14.29%,of,6.35%,day,3.17%
one,of,11.93%,side,3.67%,and,2.75%
they,were,15.98%,are,9.47%,had,7.69%
will,be,13.73%,you,7.19%,not,6.54%
that,i,9.22%,she,8.66%,the,5.03%
were,here,4.63%,in,3.7%,all,3.7%
like,a,18.92%,to,16.22%,you,5.41%
on,the,28.26%,her,9.24%,his,5.98%
a,little,4.09%,few,3.98%,good,3.1%
child,looked,5.45%,he,5.45%,that,3.64%
from,the,35.38%,a,7.69%,his,6.92%
said,the,17.54%,rita,9.36%,i,5.26%
young,lady,21.05%,man,17.54%,person,8.77%
was,a,12.15%,in,2.82%,the,2.82%
now,i,10.91%,she,6.36%,the,5.45%
it,is,16.89%,was,16.67%,would,2.67%
there,was,23.81%,is,14.29%,a,5.71%
are,you,5.51%,the,4.72%,in,3.94%
you,are,6.03%,will,4.9%,have,4.33%
your,brother,4.55%,rita,4.55%,life,3.64%
at,the,26.85%,her,4.63%,this,3.7%
as,if,9.87%,she,9.87%,a,5.15%
his,head,5.4%,eyes,3.96%,wife,2.16%
me,to,9.35%,a,5.61%,and,3.74%
these,things,8.33%,good,5.0%,are,3.33%
is,a,10.79%,the,6.71%,it,4.96%
see,the,10.98%,i,9.76%,it,6.1%
when,i,17.86%,she,9.52%,the,9.52%
go,to,24.29%,with,7.14%,on,5.71%
what,i,9.38%,was,7.03%,is,7.03%
do,you,23.36%,not,12.15%,it,4.67%
she,was,10.41%,said,9.5%,had,9.05%
more,than,13.33%,and,9.33%,of,8.0%
we,are,11.61%,have,8.04%,shall,6.25%
all,the,14.19%,is,4.52%,i,3.87%
time,to,8.77%,and,7.02%,the,5.26%
here,and,12.26%,in,11.32%,i,4.72%
so,i,6.0%,long,4.0%,far,3.0%
into,the,42.37%,a,13.56%,her,8.47%
their,horses,4.88%,eyes,3.66%,way,3.66%
with,a,12.84%,the,10.09%,me,5.2%
or,three,4.17%,so,4.17%,the,2.78%
would,have,17.7%,be,15.93%,not,10.62%
have,been,10.6%,you,5.53%,no,5.07%
not,a,4.41%,be,3.52%,to,3.52%
must,be,21.74%,go,11.59%,have,8.7%
but,i,8.7%,a,6.32%,what,4.74%
be,a,6.15%,well,4.62%,the,4.1%
no,more,7.8%,i,4.26%,longer,3.55%
who,had,16.95%,was,8.47%,could,5.08%
life,i,10.17%,for,8.47%,and,6.78%
out,of,12.5%,in,9.38%,the,7.81%
little,one,4.26%,girl,4.26%,peggy,3.19%
how,to,9.26%,is,5.56%,then,5.56%
good,night,4.55%,general,4.55%,woman,4.55%
then,i,5.0%,turned,5.0%,the,3.75%
am,a,9.33%,not,8.0%,going,8.0%
could,not,33.73%,see,6.02%,be,4.82%
an,hour,15.38%,old,7.69%,angel,5.13%
he,was,12.25%,said,11.4%,is,8.55%
him,and,6.15%,to,5.38%,that,5.38%
come,to,21.54%,from,7.69%,back,6.15%
man,of,9.8%,and,7.84%,the,3.92%
well,as,7.69%,i,6.41%,with,6.41%
had,been,14.29%,no,3.69%,had,3.69%
been,in,5.19%,a,3.9%,spent,3.9%
hand,on,13.73%,and,9.8%,to,5.88%
up,the,13.43%,and,7.46%,with,7.46%
eyes,and,8.57%,but,4.29%,were,4.29%
did,not,34.62%,you,21.15%,the,3.85%
