word type,number
everything,26576
adult,0
hate,1
function,14619
normal,number
the,1265
and,1017
i,679
a,626
to,579
of,446
in,395
it,393
was,381
her,380
she,359
you,309
that,266
he,246
said,227
with,222
but,198
as,190
at,180
had,175
is,174
on,161
for,160
his,158
my,156
not,144
be,142
all,132
have,124
me,117
there,115
no,114
him,109
what,106
out,102
mary,102
this,98
from,97
so,97
they,97
were,92
one,91
up,87
about,84
do,80
we,78
if,78
father,76
when,75
now,75
by,74
mother,74
little,73
then,72
looked,71
like,70
will,70
are,67
them,67
see,66
go,66
or,66
old,65
maine,64
good,64
could,64
your,63
came,61
into,60
something,58
miss,57
know,57
don't,56
would,54
come,54
well,54
been,54
again,53
eyes,53
time,52
went,52
golden,52
house,51
day,50
an,50
who,49
down,49
say,49
which,49
child,48
massachusetts,48
thought,47
face,47
think,47
some,47
back,47
dear,46
more,46
did,45
never,45
mr,45
has,44
only,44
room,44
over,44
might,43
girl,43
door,42
two,42
just,41
after,41
their,40
way,39
too,39
moment,38
man,38
oh,38
must,37
here,37
every,37
got,37
great,36
saw,36
nothing,36
any,35
knew,35
head,35
own,35
before,35
home,35
girls,34
don,34
can,34
lena,34
made,33
turned,33
thing,32
let,32
told,32
last,32
very,32
away,31
hand,31
tell,31
should,30
shall,30
other,30
it's,29
cried,29
off,29
going,29
didn't,29
through,28
how,28
heard,28
round,28
joe,28
yes,27
dress,27
am,27
enough,27
get,27
take,27
where,27
leaves,26
next,26
few,26
seemed,26
hands,26
snow,26
first,25
put,25
looking,25
once,25
us,25
look,25
those,25
adam,25
may,24
gregory,24
asked,24
young,23
left,23
found,23
anything,23
keep,23
new,23
white,22
much,22
pretty,22
always,22
than,22
window,22
things,22
why,22
stood,21
make,21
opened,21
life,21
took,21
without,21
poor,21
long,20
ever,20
myself,20
i'm,20
right,20
wayland,20
green,19
such,19
while,19
hair,19
sound,19
night,19
most,19
mill,19
i'll,19
mrs,19
better,19
boy,19
gown,18
hear,18
though,18
nodded,18
mind,18
dark,18
he's,18
want,18
still,18
call,18
evening,17
our,17
place,17
kind,17
coming,17
bed,17
course,17
open,17
feel,17
gone,17
joseph,17
children,17
bowles,17
word,16
seen,16
black,16
its,16
half,16
almost,16
same,16
days,16
rags,16
close,16
light,16
another,16
ruth,16
shed,15
held,15
le,15
madam,15
name,15
sat,15
paper,15
yellow,15
herself,15
till,15
heart,15
done,15
deacon,15
tennessee,15
three,14
persis,14
story,14
quite,14
baron,14
help,14
felt,14
tried,14
cry,14
give,14
minutes,14
woman,14
scarlet,13
says,13
years,13
even,13
forward,13
i'd,13
can't,13
suppose,13
laughed,13
mean,13
ye,13
grave,13
against,13
benny,13
shoes,13
satin,12
blue,12
benjamin,12
sent,12
feet,12
shook,12
stairs,12
find,12
words,12
else,12
these,12
under,12
beside,12
hope,12
does,12
men,12
folks,12
corner,12
glass,12
strong,12
that's,12
there's,12
baby,12
basket,11
crying,11
alone,11
speak,11
breath,11
soft,11
air,11
voice,11
sure,11
expect,11
followed,11
fell,11
behind,11
care,11
sir,11
likely,11
stay,11
mother's,11
work,11
along,11
ran,11
hard,11
brooch,11
himself,11
part,11
windows,11
chicago,11
chamber,10
kept,10
indeed,10
tall,10
end,10
figure,10
spoke,10
quickly,10
thinking,10
morning,10
world,10
quietly,10
soon,10
red,10
sight,10
costume,10
neck,10
arms,10
running,10
saying,10
rather,10
box,10
ten,10
rest,10
please,10
laughing,10
ought,10
nor,10
flower,10
real,10
near,10
james,10
i've,10
caught,10
she's,10
school,10
york,10
storm,10
inside,9
strange,9
since,9
called,9
cannot,9
best,9
matter,9
pocket,9
brought,9
quiet,9
gay,9
beautiful,9
distress,9
brown,9
wall,9
faint,9
waist,9
slipped,9
yet,9
really,9
set,9
need,9
bag,9
isn't,9
ask,9
far,9
floor,9
cut,9
each,9
glad,9
minute,9
wrong,9
added,9
whole,9
em,9
wanted,9
yesterday,9
virginia,9
egyptians,8
drift,8
lady,8
appeared,8
excitement,8
lighted,8
question,8
supper,8
save,8
silver,8
met,8
shining,8
suddenly,8
presently,8
carefully,8
year,8
guess,8
rag,8
desk,8
you're,8
couldn't,8
use,8
trying,8
ain't,8
doctor,8
because,8
boys,8
big,8
wish,8
wind,8
fire,7
warm,7
perhaps,7
dead,7
together,7
meant,7
hat,7
front,7
idea,7
hung,7
wood,7
silk,7
person,7
plenty,7
pleasant,7
turning,7
different,7
pale,7
lovely,7
bring,7
dressed,7
hardly,7
high,7
low,7
lay,7
glanced,7
touch,7
pleasure,7
gave,7
case,7
full,7
love,7
sorry,7
sitting,7
reason,7
everything,7
try,7
village,7
notice,7
taking,7
shawl,7
people,7
telling,7
show,7
you've,7
anxious,7
afraid,7
hold,7
dancing,7
what's,7
wasn't,7
hour,7
gate,7
taken,7
awful,7
known,7
clothes,7
comes,7
hurt,7
moved,7
daughter,7
broke,7
brother,7
shoulders,7
burglars,7
tree,7
cent,7
twine,7
dogwood,7
sit,6
seventeen,6
mine,6
liked,6
friend,6
gray,6
winter,6
happened,6
step,6
cheeks,6
family,6
slender,6
smiled,6
party,6
however,6
smile,6
wonderful,6
silent,6
portrait,6
glance,6
beaming,6
yourself,6
read,6
sick,6
straight,6
both,6
sweet,6
faces,6
struck,6
picture,6
tied,6
perfect,6
entered,6
fingers,6
among,6
heavy,6
nice,6
poison,6
whether,6
already,6
buttons,6
believe,6
jacket,6
stuff,6
stones,6
sun,6
holding,6
garden,6
simply,6
boston,6
run,6
you'll,6
money,6
dollars,6
standing,6
twas,6
started,6
usual,6
wild,6
george,6
repeated,6
thank,6
ears,6
five,6
certainly,6
cat,6
teeth,6
week,6
seeing,6
bible,6
names,6
kitchen,6
sleep,6
instant,6
apple,6
lord,5
top,5
upon,5
making,5
age,5
walk,5
failed,5
stone,5
state,5
six,5
pink,5
bad,5
maid,5
lost,5
clear,5
note,5
doubt,5
probably,5
empty,5
send,5
listening,5
fairy,5
walked,5
sad,5
fashion,5
deep,5
true,5
uncle,5
helped,5
many,5
sense,5
kindness,5
pay,5
being,5
pin,5
died,5
wonder,5
arm,5
amazement,5
table,5
showed,5
fastened,5
brothers,5
play,5
sometimes,5
between,5
ready,5
machine,5
passed,5
kindly,5
cheerful,5
slowly,5
illustration,5
women,5
office,5
waved,5
times,5
bright,5
spite,5
o,5
susan,5
somehow,5
feeling,5
eyed,5
yard,5
color,5
seems,5
speaking,5
fine,5
cheerfully,5
son,5
exclaimed,5
talk,5
milk,5
child's,5
rosy,5
grown,5
sister,5
wished,5
live,5
remember,5
mis,5
pleased,5
shut,5
singing,5
strength,5
darkness,5
branch,5
road,5
snake,5
october,5
cold,5
trunk,5
annie,5
class,5
missionary,5
fund,5
ball,5
committee,5
codfish,5
b,4
friday,4
hailed,4
friends,4
street,4
received,4
tone,4
gazed,4
feather,4
returned,4
news,4
neither,4
rustle,4
quaint,4
arranged,4
rose,4
instead,4
small,4
fill,4
hearing,4
fact,4
o'clock,4
tea,4
fancy,4
turn,4
youth,4
softly,4
large,4
yours,4
briefly,4
slippers,4
ill,4
shame,4
proportion,4
side,4
whom,4
began,4
glancing,4
pair,4
necklace,4
foot,4
foolish,4
kissed,4
gold,4
looks,4
harm,4
whistle,4
dinner,4
sorting,4
mouth,4
defiant,4
bit,4
putting,4
he'll,4
across,4
sea,4
quick,4
garment,4
edge,4
thoughts,4
effect,4
ashamed,4
belonged,4
lining,4
laid,4
drew,4
lips,4
worth,4
easy,4
spring,4
sickly,4
paste,4
morrow,4
they're,4
diamonds,4
born,4
eagerly,4
stole,4
clever,4
haven't,4
wife,4
fur,4
ugly,4
won't,4
none,4
pure,4
truth,4
fear,4
honest,4
smallpox,4
silence,4
terror,4
surely,4
clutching,4
strict,4
danger,4
cottage,4
dared,4
spots,4
jar,4
summer,4
answer,4
grew,4
book,4
toward,4
blanket,4
leave,4
knee,4
continued,4
youngest,4
settled,4
christian,4
busy,4
trouble,4
playing,4
used,4
beginning,4
safe,4
ago,4
longer,4
serious,4
parents,4
except,4
begin,4
broken,4
beat,4
living,4
stirring,4
noise,4
nervous,4
brave,4
touched,4
listened,4
blackness,4
fast,4
smallest,4
body,4
barbara,4
bread,4
tired,4
girl's,4
moonlight,4
cedar,4
snowing,4
algebra,4
trees,4
handle,4
indian,4
sled,4
dance,4
jersey,4
cheek,4
harvest,4
pine,4
mosquito,4
mademoiselle,4
queen,3
etc,3
polished,3
sleeve,3
wore,3
muslin,3
visit,3
stately,3
itself,3
height,3
pride,3
exactly,3
clad,3
fan,3
chair,3
nearest,3
present,3
flew,3
hurry,3
matters,3
explained,3
burning,3
parlor,3
further,3
fashioned,3
general,3
having,3
crown,3
hastened,3
lived,3
hungry,3
meeting,3
frank,3
necessary,3
eight,3
decidedly,3
bringing,3
wear,3
prettier,3
lifted,3
wearing,3
sleeves,3
tight,3
huge,3
handsome,3
sharp,3
amused,3
die,3
easily,3
flung,3
horror,3
ladies,3
happy,3
fair,3
comb,3
third,3
silently,3
graceful,3
birthday,3
singular,3
shoulder,3
sigh,3
placid,3
leather,3
tears,3
sheer,3
surprise,3
often,3
wouldn't,3
hurried,3
talked,3
fresh,3
cap,3
hiding,3
careless,3
handkerchief,3
hadn't,3
mistake,3
aren't,3
wait,3
finish,3
afternoon,3
bent,3
cloth,3
knife,3
usually,3
following,3
pass,3
bundle,3
apart,3
pulled,3
examining,3
jessie,3
law,3
setting,3
broad,3
became,3
approval,3
finishing,3
hoped,3
perfection,3
bank,3
friendly,3
sudden,3
faced,3
flushed,3
growed,3
ah,3
you'd,3
eye,3
suspense,3
jeweller,3
dropped,3
key,3
calm,3
thinks,3
mark,3
least,3
clerk,3
smiling,3
late,3
bodice,3
anxiously,3
triumphantly,3
leaving,3
outside,3
hearty,3
unless,3
thanked,3
murmured,3
inquiry,3
human,3
letter,3
besides,3
heavily,3
fatal,3
cases,3
talking,3
seem,3
gasped,3
able,3
duty,3
line,3
thin,3
learned,3
raising,3
terrible,3
lightly,3
change,3
stop,3
reached,3
ice,3
growl,3
happiness,3
forgotten,3
business,3
either,3
ones,3
wants,3
cries,3
turns,3
responsibility,3
watched,3
hush,3
precious,3
richard,3
months,3
anyway,3
troubles,3
start,3
understand,3
whose,3
absurd,3
comfortable,3
organ,3
stranger,3
princes,3
sounding,3
lad,3
knows,3
apparently,3
doorway,3
waiting,3
paused,3
surprised,3
loved,3
decide,3
blood,3
nowhere,3
dirty,3
rising,3
closed,3
language,3
boy's,3
slept,3
eat,3
eating,3
chest,3
hidden,3
twice,3
lamp,3
paint,3
glimmering,3
flowers,3
steady,3
upper,3
thick,3
deeper,3
lock,3
neighbors,3
within,3
skeleton,3
shadow,3
shouted,3
sounds,3
fled,3
voices,3
hers,3
candle,3
answered,3
nonsense,3
pick,3
train,3
nodding,3
finger,3
noon,3
butter,3
water,3
bare,3
trunks,3
evil,3
brett,3
hurrah,3
glorious,3
sky,3
slang,3
furious,3
square,3
milkman,3
church,3
roof,3
direction,3
wail,3
louder,3
whoop,3
withers,3
meat,3
mutton,3
price,3
chestnut,3
cram,3
brilliantly,3
prince,2
laura,2
e,2
january,2
rescue,2
list,2
titter,2
veins,2
conference,2
staying,2
difference,2
daily,2
seldom,2
event,2
point,2
lives,2
wears,2
sounded,2
magnificent,2
breathless,2
emotion,2
begged,2
explain,2
speech,2
haste,2
gesture,2
appearance,2
fortunately,2
cool,2
dimly,2
ourselves,2
smell,2
puff,2
handles,2
trust,2
particular,2
oblige,2
main,2
twenty,2
rooms,2
remained,2
middle,2
accustomed,2
learning,2
spend,2
guests,2
impressed,2
expected,2
mortification,2
suitable,2
attend,2
tale,2
cake,2
tray,2
wondering,2
fix,2
bearing,2
parcel,2
fold,2
expecting,2
lace,2
finished,2
ruffle,2
rounded,2
ruff,2
jest,2
considered,2
compassion,2
suffered,2
disappointment,2
downward,2
sides,2
fancied,2
aloud,2
neatly,2
knot,2
style,2
ribbons,2
tortoise,2
shell,2
wanting,2
jack,2
disappeared,2
trampled,2
morocco,2
clasped,2
past,2
chrysoprase,2
wrought,2
describe,2
opinion,2
afterward,2
dim,2
remembered,2
john,2
laugh,2
weeks,2
death,2
pieces,2
sprang,2
partly,2
closing,2
planning,2
nearly,2
blown,2
lingered,2
conversation,2
material,2
fitting,2
dust,2
locks,2
escaped,2
dusty,2
showing,2
lying,2
thrown,2
somebody,2
steadily,2
plain,2
band,2
stuck,2
rich,2
hateful,2
outer,2
cook,2
shutting,2
promise,2
piled,2
iron,2
sieve,2
cotton,2
aside,2
woollen,2
refuse,2
seat,2
unlike,2
hooks,2
keen,2
sisters,2
habit,2
clung,2
sixteen,2
homeward,2
forbidden,2
distance,2
button,2
delighted,2
fairly,2
fortune,2
property,2
cutting,2
examined,2
working,2
tenders,2
leisurely,2
machines,2
ceased,2
return,2
modest,2
greeting,2
gal,2
stool,2
beating,2
gene,2
points,2
roared,2
explosion,2
them's,2
clothe,2
rent,2
stopped,2
bewildered,2
abruptly,2
sell,2
snakes,2
flesh,2
alacrity,2
eagerness,2
dragging,2
clerks,2
stared,2
mouthed,2
instantly,2
article,2
stirred,2
polishing,2
gregory's,2
length,2
faltered,2
value,2
possible,2
positively,2
diamond,2
features,2
dumb,2
sadly,2
dashed,2
disappointed,2
glue,2
forty,2
cloak,2
parts,2
warmly,2
cordially,2
compliments,2
fooled,2
horse,2
whispering,2
striped,2
pressing,2
skin,2
sparkling,2
affected,2
distressed,2
fool,2
less,2
fretting,2
bet,2
we're,2
so's,2
linen,2
whiter,2
sweeter,2
england,2
wash,2
buzz,2
favorite,2
spoken,2
loves,2
shortly,2
efforts,2
increased,2
disturbed,2
senior,2
troubled,2
keeping,2
locked,2
raise,2
panic,2
precaution,2
rattled,2
throat,2
quarantine,2
infected,2
disinfected,2
piece,2
self,2
heaven,2
disease,2
planned,2
weeping,2
drawn,2
eager,2
fright,2
common,2
nine,2
dreadful,2
spirits,2
sharply,2
actual,2
presence,2
hurrying,2
ways,2
doing,2
anybody,2
benefit,2
order,2
sum,2
managed,2
short,2
ruler,2
kitty,2
somewhere,2
scared,2
flash,2
reprovingly,2
protested,2
creature,2
pressed,2
curls,2
move,2
sister's,2
delight,2
baby's,2
slip,2
flannel,2
folded,2
waif,2
christ's,2
beauty,2
mistaken,2
places,2
foundlings,2
twelve,2
we'd,2
spoon,2
process,2
chuckle,2
hasn't,2
meekly,2
sunflower,2
mild,2
forth,2
spell,2
teething,2
stomach,2
food,2
homes,2
maybe,2
clamored,2
supposing,2
objection,2
fixed,2
above,2
solid,2
chairs,2
breast,2
goo,2
announced,2
shouldn't,2
chorus,2
named,2
sensitive,2
king,2
zebulun,2
bless,2
amen,2
eldest,2
mischief,2
rubbed,2
rover,2
tricks,2
catch,2
creatures,2
kid,2
getting,2
early,2
message,2
trick,2
sons,2
daughters,2
complaints,2
earnest,2
doesn't,2
naturally,2
god,2
college,2
approve,2
rate,2
treated,2
mischievous,2
share,2
goes,2
hid,2
clamor,2
sending,2
ben,2
kitty's,2
excited,2
tease,2
moving,2
tune,2
dig,2
pronounced,2
forget,2
fly,2
hide,2
sooner,2
mortified,2
reaching,2
pills,2
noticed,2
cranky,2
ground,2
bedroom,2
books,2
chemicals,2
canary,2
cautiously,2
hunchback,2
given,2
hero,2
growing,2
deeply,2
carrots,2
fall,2
cruel,2
married,2
lately,2
prettiest,2
shaking,2
coat,2
also,2
beneath,2
cupboard,2
willow,2
comfortably,2
motherly,2
hastily,2
strangers,2
joe's,2
scare,2
knowing,2
daylight,2
pants,2
she'd,2
aid,2
forgot,2
watching,2
saint,2
muttered,2
patience,2
frighten,2
carry,2
bodily,2
corners,2
luminous,2
crept,2
fellow,2
twig,2
peering,2
bushes,2
hark,2
nearer,2
whisper,2
hiss,2
second,2
tossed,2
tool,2
bar,2
stepped,2
bony,2
frightful,2
stooping,2
hideous,2
shake,2
knees,2
shrieked,2
uttering,2
stand,2
curling,2
loose,2
sensible,2
piteous,2
painted,2
triumphant,2
fourth,2
cup,2
especially,2
apples,2
whistled,2
shy,2
invalid,2
pain,2
shoe,2
saucy,2
mold,2
toast,2
drop,2
later,2
older,2
ham,2
covered,2
doors,2
wardrobe,2
explore,2
double,2
cared,2
deal,2
charge,2
cocoa,2
hot,2
steps,2
pushing,2
pouring,2
shone,2
crouching,2
walls,2
man's,2
measured,2
cover,2
stout,2
flying,2
blowing,2
below,2
sobbed,2
gleam,2
shine,2
dry,2
tie,2
others,2
island,2
fields,2
glory,2
fish,2
dignity,2
personal,2
row,2
threw,2
