word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,26.03%,a,8.22%,and,4.11%
and,the,5.27%,i,5.17%,she,3.18%
the,door,2.39%,house,2.07%,child,1.83%
to,the,9.79%,be,6.29%,see,4.72%
of,the,23.46%,a,4.56%,it,4.1%
maine,is,7.94%,hailed,4.76%,was,4.76%
this,time,7.14%,was,6.12%,is,6.12%
is,the,8.09%,a,6.36%,it,5.2%
little,benjamin,13.7%,sigh,2.74%,hands,2.74%
a,little,3.52%,few,3.36%,good,3.2%
in,the,24.62%,a,11.54%,her,8.21%
my,dear,14.74%,own,7.05%,heart,3.21%
that,i,6.9%,he,4.21%,she,3.83%
me,and,7.76%,to,7.76%,i,6.03%
all,the,17.42%,about,6.06%,over,5.3%
it,was,14.58%,is,7.81%,and,3.91%
on,the,26.42%,his,7.55%,her,5.66%
his,eyes,5.77%,hand,4.49%,own,3.21%
up,and,11.49%,with,8.05%,in,8.05%
again,and,19.23%,a,5.77%,the,5.77%
with,a,13.57%,the,10.86%,me,4.98%
something,white,8.62%,like,5.17%,else,5.17%
father,golden,37.84%,said,5.41%,says,4.05%
you,are,7.17%,know,4.89%,have,3.58%
he,was,10.16%,said,8.94%,had,6.5%
him,and,6.48%,from,4.63%,in,4.63%
from,the,31.91%,her,12.77%,a,6.38%
i,was,5.94%,had,4.75%,don't,4.46%
time,he,7.69%,i,7.69%,in,5.77%
would,be,16.67%,have,7.41%,like,5.56%
like,a,39.13%,to,10.14%,the,4.35%
about,the,20.24%,it,10.71%,that,9.52%
your,mother,9.68%,mother's,6.45%,own,6.45%
then,she,13.89%,he,9.72%,i,8.33%
be,a,9.15%,done,3.52%,like,2.11%
was,a,11.55%,the,5.25%,no,3.15%
when,i,21.33%,she,14.67%,he,14.67%
old,man,20.31%,new,10.94%,story,6.25%
now,i,9.33%,and,5.33%,in,5.33%
have,been,9.68%,it,6.45%,a,6.45%
her,head,3.16%,face,3.16%,to,3.16%
but,i,15.9%,the,9.23%,it,3.08%
looked,at,22.54%,up,14.08%,after,8.45%
at,the,28.65%,home,7.3%,me,4.49%
we,have,7.69%,are,6.41%,were,3.85%
were,not,5.43%,the,4.35%,all,3.26%
for,the,16.25%,a,11.88%,her,7.5%
she,said,12.26%,was,9.19%,had,6.13%
went,on,19.23%,out,11.54%,to,11.54%
see,him,12.12%,it,10.61%,you,9.09%
good,to,6.25%,as,4.69%,day,4.69%
out,of,28.43%,and,10.78%,into,4.9%
there,was,24.78%,is,15.93%,were,8.85%
as,i,8.99%,if,8.47%,she,8.47%
no,one,14.04%,i,5.26%,more,5.26%
what,is,12.38%,i,7.62%,do,7.62%
house,i,9.8%,and,7.84%,in,3.92%
so,much,7.37%,on,5.26%,i,5.26%
come,and,16.67%,to,14.81%,out,11.11%
could,not,18.75%,i,6.25%,only,4.69%
not,a,7.04%,to,6.34%,have,4.23%
one,of,21.35%,cent,6.74%,to,5.62%
had,been,12.0%,a,4.0%,no,3.43%
if,i,24.68%,she,15.58%,you,12.99%
said,father,8.14%,i,6.79%,mother,5.43%
will,be,22.86%,not,14.29%,do,7.14%
well,i,12.96%,she,5.56%,and,5.56%
into,the,41.38%,a,13.79%,her,12.07%
eyes,and,13.73%,to,7.84%,as,5.88%
are,you,5.97%,they,4.48%,going,4.48%
them,in,6.06%,and,4.55%,i,4.55%
mother,golden,29.17%,and,8.33%,said,5.56%
do,you,20.25%,it,12.66%,i,6.33%
been,a,7.41%,seen,3.7%,in,3.7%
go,to,7.58%,away,7.58%,and,7.58%
or,two,4.55%,else,3.03%,something,3.03%
came,to,11.48%,out,9.84%,and,6.56%
know,what,10.71%,that,8.93%,and,7.14%
golden,he,5.88%,i,3.92%,and,3.92%
they,were,26.32%,had,10.53%,are,8.42%
don't,know,25.0%,you,14.29%,be,7.14%
mary,he,5.81%,looked,4.65%,and,4.65%
