word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,close,4.05%,and,4.05%,gown,2.7%
and,it,1.5%,door,1.1%,out,1.1%
the,of,8.18%,in,7.63%,to,4.45%
of,out,6.52%,one,4.27%,thought,2.7%
this,in,10.2%,at,6.12%,all,4.08%
is,it,17.75%,there,10.65%,he,8.88%
little,a,30.56%,the,11.11%,was,4.17%
maine,said,18.03%,and,6.56%,cried,4.92%
to,going,3.15%,her,2.1%,tried,1.92%
a,in,7.26%,was,7.1%,with,4.84%
in,it,2.04%,up,1.78%,was,1.53%
my,in,7.1%,of,3.87%,you,3.87%
that,and,3.44%,about,3.05%,of,2.67%
me,to,13.68%,with,9.4%,at,6.84%
all,it,10.69%,and,6.11%,you,4.58%
it,of,4.62%,do,2.56%,about,2.31%
on,went,6.29%,it,4.4%,down,3.14%
his,in,8.97%,on,7.69%,of,4.49%
up,looked,11.63%,it,9.3%,looking,4.65%
again,up,7.55%,back,7.55%,out,7.55%
with,her,4.52%,up,3.17%,room,2.26%
something,with,5.17%,have,5.17%,of,5.17%
father,said,24.66%,his,6.85%,asked,4.11%
you,do,5.25%,if,3.28%,and,2.95%
he,and,8.64%,that,4.53%,when,4.53%
him,see,7.48%,to,5.61%,tell,4.67%
from,him,5.15%,different,4.12%,away,4.12%
i,and,7.76%,but,4.63%,if,2.84%
time,the,17.31%,this,13.46%,a,9.62%
would,she,12.96%,i,12.96%,you,11.11%
like,would,4.41%,be,4.41%,something,4.41%
about,all,9.64%,much,4.82%,you,2.41%
your,on,8.06%,to,6.45%,in,4.84%
then,and,20.83%,it,2.78%,him,2.78%
be,to,26.47%,must,11.76%,will,11.76%
was,it,15.18%,i,10.84%,she,8.94%
when,and,6.67%,but,5.33%,office,2.67%
old,the,21.54%,an,10.77%,years,7.69%
miss,to,7.02%,said,7.02%,dear,3.51%
now,and,14.86%,but,8.11%,is,4.05%
have,i,20.33%,to,10.57%,you,8.94%
her,in,8.44%,to,5.28%,and,3.96%
but,nothing,3.05%,me,2.03%,it,2.03%
looked,and,28.57%,she,11.43%,he,10.0%
at,looked,8.99%,look,4.49%,was,2.25%
we,and,7.69%,shall,6.41%,that,6.41%
were,they,27.17%,there,10.87%,it,4.35%
for,it,1.91%,cent,1.91%,in,1.91%
she,and,9.04%,as,4.52%,if,3.39%
see,to,40.91%,and,7.58%,i,6.06%
good,a,31.75%,the,9.52%,no,6.35%
out,come,5.88%,went,5.88%,came,5.88%
there,and,12.28%,but,3.51%,was,3.51%
as,was,2.69%,and,2.69%,just,2.69%
no,was,10.81%,had,5.41%,is,5.41%
what,knew,5.66%,know,5.66%,and,4.72%
so,and,7.45%,is,6.38%,of,4.26%
come,to,13.46%,not,7.69%,has,3.85%
could,i,23.81%,she,17.46%,he,7.94%
not,did,9.86%,could,8.45%,will,7.04%
one,no,17.58%,any,7.69%,every,6.59%
had,i,19.16%,she,13.17%,he,9.58%
if,as,21.33%,ask,4.0%,but,4.0%
said,she,19.64%,he,9.82%,and,3.12%
will,i,20.0%,you,12.86%,she,10.0%
well,very,9.43%,as,7.55%,yourself,3.77%
into,got,8.47%,out,8.47%,come,5.08%
eyes,her,18.87%,his,16.98%,my,7.55%
are,you,33.33%,they,12.12%,we,7.58%
them,of,10.45%,see,5.97%,get,5.97%
mother,said,16.22%,her,9.46%,your,8.11%
do,to,17.5%,i,17.5%,what,10.0%
been,had,38.89%,have,22.22%,has,9.26%
go,to,21.54%,you,9.23%,will,4.62%
or,glass,4.62%,two,3.08%,more,3.08%
came,she,10.0%,he,8.33%,who,6.67%
know,you,26.32%,don't,24.56%,i,21.05%
golden,father,53.85%,mother,40.38%,a,1.92%
they,and,9.28%,as,6.19%,that,4.12%
don't,i,54.55%,you,5.45%,we,5.45%
mary,said,10.1%,and,8.08%,but,3.03%
