word type,number
everything,41194
adult,0
hate,0
function,23302
normal,number
the,1813
and,1575
to,966
a,898
she,804
her,799
of,792
i,786
was,658
it,603
you,602
in,577
that,497
but,401
margaret,377
with,354
is,331
not,318
had,314
peggy,297
he,294
rita,275
said,272
have,262
for,258
as,258
my,254
be,244
were,221
on,215
at,208
so,191
they,186
this,174
all,170
we,161
me,156
what,154
do,150
would,149
one,141
if,139
been,137
his,137
could,133
out,128
there,127
them,127
will,127
when,121
now,120
no,119
by,117
your,116
are,113
like,113
from,111
here,109
him,108
dear,102
oh,101
or,99
then,98
see,98
an,96
think,94
up,94
eyes,92
never,90
little,89
about,88
must,88
come,87
good,86
how,84
very,84
know,83
cried,83
down,81
time,81
only,79
am,78
did,78
came,75
which,73
into,72
girls,70
who,69
has,69
go,69
well,68
old,68
other,66
some,66
too,65
over,65
john,64
day,62
back,62
room,60
great,60
way,60
more,60
say,58
looked,57
look,57
two,57
again,56
went,56
poor,56
their,55
should,55
shall,55
aunt,54
own,54
can,54
don't,53
montfort,52
white,52
before,52
young,51
three,51
herself,51
black,51
much,51
uncle,50
long,50
just,50
tell,50
head,50
life,50
house,49
moment,48
hand,48
made,48
might,47
strong,47
thought,45
after,43
door,43
through,43
marguerite,43
still,42
home,41
us,41
miss,41
always,40
asked,40
faith,40
any,39
than,39
first,38
something,38
let,38
why,37
girl,37
cousin,37
nothing,37
peggy's,37
story,37
face,36
word,36
man,36
told,36
take,36
going,36
seemed,35
may,35
away,35
these,35
thing,35
dark,34
pretty,34
really,34
father,34
mrs,34
saw,34
child,34
elizabeth,33
off,33
hair,33
where,33
each,32
such,32
anything,31
seen,31
many,31
heard,31
cannot,30
half,30
heart,30
night,29
rooms,29
hands,29
put,29
make,28
yet,28
both,28
most,28
perhaps,28
course,27
our,27
ever,27
once,27
fire,27
help,27
stood,27
years,27
another,27
looking,26
knew,26
while,26
right,26
took,26
felt,26
things,26
new,26
hear,25
green,25
gone,25
yes,25
best,25
without,25
love,25
