word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,25.45%,a,10.0%,her,6.36%
and,the,5.34%,she,4.05%,i,3.86%
the,other,2.0%,house,1.34%,girls,1.28%
john,strong,54.69%,montfort,9.38%,and,4.69%
young,ladies,17.65%,lady,11.76%,cubans,7.84%
for,a,13.23%,the,10.12%,her,7.39%
girls,and,7.14%,were,5.71%,to,4.29%
margaret,was,5.07%,and,4.53%,i,3.73%
montfort,i,7.84%,is,5.88%,she,3.92%
peggy,i,6.08%,was,5.74%,and,5.07%
of,the,20.62%,her,6.36%,a,5.06%
a,little,4.15%,moment,2.81%,good,2.69%
i,am,9.37%,have,7.06%,was,4.62%
white,eagle,9.62%,rooms,7.69%,lady,3.85%
day,and,8.2%,as,6.56%,before,6.56%
in,the,26.32%,a,11.4%,her,7.19%
aunt,faith,61.11%,phoebe,12.96%,penelope,7.41%
at,the,23.74%,her,13.13%,home,5.05%
there,was,22.4%,is,13.6%,were,8.8%
was,a,10.57%,in,3.83%,not,2.6%
it,was,17.76%,is,15.91%,and,4.19%
that,she,12.12%,was,5.66%,is,5.25%
on,the,33.97%,her,11.96%,a,5.74%
great,deal,10.17%,aunt,6.78%,chestnut,3.39%
as,if,13.73%,she,12.16%,i,7.84%
which,had,12.33%,she,10.96%,was,9.59%
but,i,9.07%,she,6.8%,the,6.55%
little,peggy,4.55%,girl,4.55%,tilted,2.27%
to,the,8.18%,be,7.65%,her,5.45%
her,eyes,4.79%,head,3.27%,own,2.77%
own,way,9.26%,self,5.56%,room,3.7%
an,hour,8.51%,old,8.51%,elegant,5.32%
back,to,12.9%,in,9.68%,and,8.06%
their,own,7.41%,breath,3.7%,uncle,3.7%
one,of,15.22%,day,5.8%,to,5.07%
so,much,12.04%,that,5.24%,good,3.14%
she,said,11.08%,was,10.46%,had,7.85%
what,a,10.39%,is,6.49%,i,5.84%
said,margaret,18.15%,peggy,12.96%,rita,7.41%
no,one,6.72%,doubt,6.72%,more,5.04%
then,he,11.34%,she,11.34%,i,4.12%
don't,you,20.75%,see,11.32%,think,9.43%
you,are,7.37%,have,6.37%,know,5.36%
think,of,21.98%,i,12.09%,he,7.69%
we,are,9.32%,have,9.32%,will,8.07%
are,you,5.36%,the,5.36%,all,4.46%
my,dear,18.25%,father,4.37%,own,3.57%
is,a,11.25%,not,6.08%,the,6.08%
from,the,22.43%,her,11.21%,one,6.54%
if,you,17.99%,i,17.27%,she,13.67%
be,a,8.64%,done,2.47%,sure,2.06%
only,a,13.92%,the,6.33%,one,3.8%
with,the,12.22%,a,11.36%,her,7.95%
how,it,4.82%,are,4.82%,to,4.82%
had,been,15.29%,not,5.73%,the,4.78%
were,not,6.79%,all,3.62%,in,3.17%
should,be,12.73%,have,12.73%,not,10.91%
all,the,14.12%,that,7.06%,she,3.53%
not,be,5.47%,to,4.5%,a,4.5%
shall,we,10.91%,be,9.09%,see,9.09%
say,that,7.02%,so,7.02%,to,7.02%
they,were,25.27%,are,9.14%,had,5.91%
do,you,28.19%,not,11.41%,it,6.04%
am,sure,15.79%,going,9.21%,very,6.58%
never,seen,7.78%,saw,6.67%,had,5.56%
rita,was,9.93%,had,4.78%,and,4.78%
about,the,23.86%,it,6.82%,them,4.55%
did,not,46.15%,she,6.41%,he,3.85%
oh,i,10.1%,yes,5.05%,dear,5.05%
know,what,10.84%,and,7.23%,it,7.23%
have,been,18.32%,you,4.96%,the,4.96%
