word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,surrounded,3.54%,on,2.65%,near,2.65%
and,it,1.62%,her,1.23%,margaret,1.1%
the,of,8.82%,in,8.32%,and,4.6%
at,looked,3.86%,look,3.38%,was,2.9%
john,uncle,25.4%,and,4.76%,but,4.76%
young,the,33.33%,other,5.88%,that,5.88%
for,necessary,2.33%,one,1.55%,care,1.55%
girls,the,32.86%,three,11.43%,both,8.57%
margaret,said,13.1%,cried,5.61%,and,4.28%
peggy,said,11.95%,but,5.8%,and,5.12%
rita,said,7.35%,but,6.25%,cried,5.88%
of,out,4.3%,one,2.66%,think,2.53%
a,was,7.72%,in,7.27%,with,4.47%
i,and,7.79%,but,4.68%,if,3.12%
white,the,21.57%,a,9.8%,and,3.92%
day,every,14.52%,to,14.52%,one,12.9%
in,was,4.38%,and,2.1%,been,1.58%
aunt,poor,9.26%,great,7.41%,and,5.56%
room,the,28.07%,her,14.04%,dining,7.02%
there,and,14.17%,but,5.51%,was,5.51%
was,it,16.46%,she,13.04%,he,6.06%
it,of,4.01%,and,3.51%,but,2.84%
that,and,5.47%,all,2.43%,of,2.23%
on,went,7.55%,hand,3.3%,up,2.36%
great,a,33.33%,the,30.0%,her,6.67%
as,and,3.53%,margaret,2.75%,long,2.75%
which,of,5.56%,with,5.56%,in,4.17%
to,going,2.18%,used,1.77%,come,1.66%
but,it,3.07%,again,2.56%,peggy,2.3%
little,a,41.57%,the,8.99%,her,4.49%
her,to,6.53%,of,6.16%,in,5.15%
own,her,40.74%,my,16.67%,your,14.81%
an,with,8.33%,of,8.33%,in,7.29%
back,the,6.45%,come,4.84%,her,4.84%
their,in,9.09%,and,7.27%,of,7.27%
one,that,5.67%,in,5.67%,any,5.67%
so,and,5.24%,was,4.71%,is,4.19%
she,and,7.97%,that,7.59%,as,3.92%
what,see,8.0%,know,6.0%,of,4.67%
said,she,33.46%,he,6.02%,and,4.14%
no,was,10.08%,is,8.4%,but,5.04%
then,and,28.87%,but,4.12%,him,3.09%
don't,i,45.28%,you,9.43%,margaret,3.77%
you,do,7.07%,if,4.21%,and,3.54%
think,i,39.13%,you,15.22%,to,8.7%
we,that,6.88%,and,6.25%,if,4.38%
are,you,39.64%,they,15.32%,we,13.51%
my,of,9.6%,in,4.0%,is,3.6%
is,it,29.05%,that,7.95%,this,7.03%
from,it,2.7%,miles,2.7%,looked,2.7%
if,as,25.55%,even,5.11%,and,5.11%
be,to,30.04%,would,11.93%,will,8.23%
only,was,10.13%,could,8.86%,the,6.33%
with,her,2.84%,and,2.27%,covered,1.7%
how,but,7.32%,margaret,7.32%,and,4.88%
had,she,20.26%,he,6.11%,and,4.5%
were,they,21.36%,eyes,5.91%,there,5.0%
should,i,36.36%,she,12.73%,he,7.27%
all,and,6.51%,after,5.92%,was,5.33%
not,could,13.1%,did,11.5%,is,6.39%
shall,i,35.19%,you,22.22%,we,11.11%
say,to,28.07%,you,12.28%,should,7.02%
they,and,12.57%,as,4.37%,when,4.37%
do,to,12.93%,i,11.56%,you,8.16%
am,i,93.59%,who,1.28%,papers,1.28%
never,i,18.89%,have,8.89%,had,8.89%
about,me,4.6%,was,4.6%,you,3.45%
did,she,15.58%,he,10.39%,why,6.49%
oh,oh,3.26%,it,3.26%,but,2.17%
know,you,38.55%,i,18.07%,to,13.25%
have,i,21.15%,you,14.62%,to,11.54%
been,have,35.29%,had,35.29%,has,11.76%
well,as,13.64%,very,9.09%,too,4.55%
your,of,7.89%,in,7.02%,with,4.39%
looked,she,24.56%,and,15.79%,margaret,10.53%
like,i,5.31%,look,4.42%,not,4.42%
this,but,6.32%,in,5.75%,of,4.02%
see,to,21.43%,you,17.35%,i,7.14%
cried,she,26.92%,and,5.13%,oh,5.13%
look,to,19.3%,and,7.02%,you,5.26%
out,go,4.69%,holding,3.91%,was,3.12%
here,come,5.66%,and,5.66%,came,5.66%
up,looked,8.51%,it,7.45%,brought,3.19%
before,day,7.69%,night,3.85%,was,3.85%
too,is,13.85%,was,10.77%,you,9.23%
two,the,38.6%,other,8.77%,or,5.26%
them,of,15.75%,with,5.51%,in,3.94%
came,they,9.46%,she,9.46%,he,6.76%
way,the,25.42%,this,10.17%,own,8.47%
must,you,21.59%,i,12.5%,we,11.36%
will,you,24.8%,i,18.4%,we,10.4%
or,once,3.03%,rita,2.02%,weeks,2.02%
herself,to,11.76%,rita,5.88%,thrown,3.92%
down,come,10.0%,down,8.75%,it,5.0%
very,a,13.1%,is,9.52%,was,5.95%
come,to,11.63%,would,6.98%,had,4.65%
me,with,8.97%,told,7.69%,for,7.69%
other,the,54.55%,each,24.24%,that,3.03%
who,margaret,7.46%,peggy,5.97%,and,5.97%
eyes,her,43.18%,dark,13.64%,blue,5.68%
black,the,35.29%,a,9.8%,in,7.84%
time,the,19.75%,this,12.35%,some,7.41%
now,and,15.83%,but,8.33%,was,5.0%
has,he,19.4%,she,13.43%,it,10.45%
again,said,7.14%,laughed,5.36%,table,3.57%
him,with,11.11%,to,7.41%,see,6.48%
