word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,21.5%,a,8.46%,laura,4.3%
and,the,5.35%,i,3.87%,she,2.86%
the,other,1.44%,door,1.26%,house,1.21%
for,the,13.16%,a,11.99%,you,5.2%
margaret,i,5.92%,and,3.92%,was,3.71%
montfort,i,6.86%,and,3.81%,was,3.24%
peggy,and,5.77%,was,5.12%,i,5.03%
all,the,17.13%,right,4.87%,about,3.89%
of,the,19.65%,her,4.69%,a,4.51%
her,eyes,3.7%,head,3.23%,own,2.85%
were,not,4.36%,all,3.27%,in,2.82%
i,am,9.05%,have,6.58%,was,3.75%
a,little,4.44%,good,2.82%,moment,2.19%
an,hour,10.02%,instant,6.28%,old,5.77%
uncle,john,54.83%,john's,5.56%,and,3.86%
more,than,11.98%,and,5.39%,of,2.99%
about,the,16.52%,it,13.77%,her,6.09%
in,the,27.54%,a,10.8%,her,6.6%
did,not,36.11%,you,13.81%,he,3.16%
very,well,7.09%,much,5.17%,good,2.81%
at,the,25.13%,her,7.82%,all,4.9%
this,is,8.74%,time,6.23%,was,5.02%
she,was,11.05%,said,9.93%,had,7.96%
was,a,10.45%,the,4.21%,not,3.22%
with,a,15.5%,the,10.66%,her,6.49%
looked,at,16.85%,up,12.64%,in,3.99%
up,the,11.09%,and,10.05%,in,7.97%
on,the,33.89%,her,8.68%,a,5.27%
they,were,17.67%,are,8.68%,had,6.18%
to,the,8.29%,be,6.89%,her,4.1%
old,man,10.34%,gentleman,5.17%,and,3.62%
into,the,39.14%,a,12.7%,her,9.84%
that,she,7.87%,i,5.48%,is,5.25%
my,dear,16.22%,own,3.31%,life,2.47%
well,i,9.22%,as,7.47%,and,4.77%
john,strong,9.88%,i,8.4%,and,7.9%
not,a,5.0%,to,4.62%,be,3.87%
as,she,11.0%,if,10.34%,i,6.25%
you,are,7.2%,know,5.44%,have,3.94%
are,you,9.58%,not,5.83%,the,5.62%
know,what,10.55%,i,6.69%,that,6.56%
it,was,16.51%,is,12.65%,and,3.7%
so,much,6.49%,i,4.5%,that,4.28%
why,i,11.4%,you,5.13%,it,4.56%
should,be,14.36%,have,10.83%,not,7.56%
be,a,7.08%,the,2.86%,so,2.23%
your,own,5.15%,pardon,3.39%,father,2.57%
dear,she,6.88%,i,5.38%,child,5.08%
will,be,17.24%,you,9.87%,not,7.37%
have,been,11.5%,a,6.2%,you,4.71%
time,and,8.2%,to,7.47%,i,5.83%
is,a,8.79%,the,7.85%,it,4.04%
go,to,14.49%,and,6.98%,on,5.58%
their,own,3.95%,heads,2.85%,feet,2.41%
when,i,16.42%,she,16.05%,the,12.75%
he,was,12.14%,said,9.03%,had,6.98%
them,and,7.48%,in,5.67%,to,4.2%
his,head,3.89%,eyes,3.67%,hand,2.79%
oh,i,9.34%,yes,4.81%,dear,3.71%
we,are,8.81%,have,6.92%,must,5.03%
shall,be,14.25%,we,8.87%,i,8.33%
only,a,8.04%,the,4.74%,one,4.12%
do,you,27.55%,not,7.34%,it,5.62%
miss,montfort,20.99%,russell,19.91%,margaret,8.99%
don't,know,17.17%,you,14.67%,think,4.83%
think,of,15.49%,i,12.13%,it,7.09%
two,girls,5.16%,or,4.91%,years,3.93%
said,the,9.37%,margaret,8.03%,peggy,5.6%
there,was,25.02%,is,12.61%,were,7.47%
no,one,9.67%,more,4.88%,i,3.71%
had,been,13.12%,a,6.21%,not,3.86%
been,a,5.68%,in,3.64%,so,2.62%
which,was,10.96%,she,7.68%,had,6.14%
over,the,29.08%,her,13.39%,and,8.37%
great,deal,9.57%,many,1.86%,white,1.86%
but,i,10.57%,the,6.73%,she,5.08%
away,and,10.26%,from,9.12%,with,5.7%
back,to,15.2%,and,9.07%,in,5.6%
too,much,8.47%,and,8.05%,i,3.6%
came,to,11.69%,in,5.58%,and,5.22%
went,on,20.8%,to,12.28%,the,5.51%
here,and,9.97%,i,6.23%,is,4.52%
eyes,and,15.67%,were,8.4%,she,3.17%
from,the,28.83%,her,9.87%,a,3.9%
how,to,7.3%,could,5.66%,do,5.11%
could,not,27.63%,be,5.47%,have,4.91%
like,a,22.11%,to,12.8%,the,7.37%
out,of,27.28%,and,8.42%,in,4.39%
day,and,10.0%,i,3.57%,the,3.57%
would,be,19.02%,not,10.79%,have,10.46%
what,is,8.19%,a,7.75%,i,7.3%
if,you,22.0%,i,16.2%,she,12.3%
never,saw,5.44%,seen,5.09%,mind,4.21%
who,had,13.79%,was,12.07%,is,5.36%
or,a,4.69%,the,4.4%,two,3.37%
little,girl,8.27%,boy,4.14%,dog,2.12%
good,deal,6.52%,bye,4.3%,to,4.0%
me,to,7.07%,and,5.92%,i,4.92%
