word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,3.68%,close,2.18%,good,1.91%
and,it,1.36%,her,1.13%,you,1.03%
the,in,8.01%,of,8.0%,and,4.35%
at,look,5.63%,looked,4.7%,and,1.92%
for,it,1.63%,and,1.37%,enough,1.27%
montfort,mr,41.0%,miss,19.6%,peggy,7.6%
peggy,said,10.67%,and,5.1%,cried,3.68%
rita,said,6.77%,cried,6.6%,and,4.46%
margaret,said,11.68%,and,4.54%,cried,3.89%
all,and,7.02%,at,5.1%,of,3.71%
of,out,4.2%,one,2.99%,think,1.52%
her,to,6.39%,in,5.94%,of,5.92%
were,they,20.6%,there,7.02%,you,6.56%
i,and,6.56%,but,3.65%,that,2.58%
a,was,6.55%,in,6.43%,with,5.82%
an,with,9.49%,in,6.95%,of,6.78%
uncle,her,14.96%,oh,5.7%,my,4.99%
more,no,9.96%,any,8.76%,once,7.77%
about,all,8.5%,was,3.03%,anything,2.59%
in,was,2.56%,up,1.8%,and,1.65%
did,i,12.5%,she,10.98%,he,6.93%
very,a,10.83%,was,8.9%,the,7.72%
this,in,6.63%,at,4.8%,of,4.8%
was,it,16.29%,she,12.44%,he,6.87%
with,her,2.55%,and,1.84%,up,1.42%
eyes,her,30.49%,his,9.71%,blue,7.57%
looked,and,18.76%,she,16.7%,he,6.18%
up,looked,6.56%,it,3.91%,come,2.3%
on,went,5.3%,down,2.49%,hand,2.11%
they,and,8.65%,that,5.71%,as,4.29%
to,going,3.05%,want,1.73%,seemed,1.67%
old,the,29.62%,an,8.61%,years,6.84%
into,out,5.65%,went,3.43%,burst,3.23%
room,the,26.59%,her,10.25%,my,5.54%
day,to,21.18%,the,12.47%,every,7.76%
my,of,7.52%,in,5.17%,to,3.09%
john,uncle,54.57%,dear,3.61%,dearest,3.37%
well,as,11.59%,very,7.62%,was,2.7%
not,did,11.71%,could,10.63%,was,7.02%
as,just,3.1%,well,2.61%,and,2.38%
you,do,6.24%,if,4.75%,and,3.09%
are,you,35.11%,they,11.6%,we,8.78%
know,you,32.61%,i,21.95%,don't,12.32%
it,of,4.18%,and,2.73%,about,2.42%
so,and,6.71%,was,5.38%,is,2.87%
why,and,5.04%,reason,3.36%,know,2.8%
should,i,41.58%,she,9.95%,he,5.36%
be,to,28.6%,would,10.7%,will,9.07%
your,in,6.23%,of,5.42%,to,4.61%
dear,my,42.44%,oh,3.96%,you,3.67%
will,i,19.78%,you,18.82%,it,6.59%
have,i,25.0%,to,12.41%,you,11.03%
time,the,14.94%,this,14.94%,a,6.38%
is,it,22.75%,that,7.16%,she,7.02%
that,and,3.88%,of,2.23%,so,1.96%
go,to,19.93%,must,8.39%,you,5.94%
their,of,9.17%,in,8.52%,to,5.46%
when,and,7.73%,but,4.29%,it,2.09%
he,and,7.34%,that,4.95%,as,3.92%
them,of,14.04%,with,3.48%,for,3.48%
mr,said,21.31%,and,3.41%,but,2.84%
his,in,9.9%,of,6.31%,on,4.92%
oh,oh,3.54%,and,2.26%,margaret,1.7%
we,and,8.32%,that,4.53%,if,3.58%
shall,i,40.16%,you,15.63%,we,10.51%
only,the,8.37%,was,7.53%,could,5.02%
do,to,14.99%,i,14.41%,what,6.72%
miss,said,5.77%,and,3.8%,to,2.54%
don't,i,39.75%,you,9.98%,and,3.09%
think,i,34.77%,you,19.25%,to,11.4%
two,the,27.18%,or,5.58%,and,4.13%
said,she,21.93%,he,10.02%,and,3.6%
there,and,11.46%,but,4.8%,that,2.94%
no,was,8.33%,have,5.29%,had,4.9%
she,and,7.0%,that,5.33%,as,4.54%
had,she,19.94%,he,8.8%,i,7.34%
been,had,35.13%,have,28.13%,has,11.95%
which,of,5.92%,in,4.39%,on,2.63%
over,all,5.8%,and,4.76%,bent,3.52%
great,a,37.3%,the,28.57%,of,2.65%
but,it,2.2%,her,1.38%,again,1.15%
away,go,7.06%,went,4.8%,run,4.24%
back,came,7.77%,come,7.51%,the,6.7%
too,was,7.91%,is,6.84%,you,2.99%
came,he,5.94%,i,5.94%,she,5.19%
