word type,number
everything,543823
adult,0
hate,0
function,311814
normal,number
the,34389
and,22090
to,16631
of,14877
a,10443
he,9809
in,8943
his,7965
that,7791
was,7327
with,5647
had,5354
it,5164
her,4697
not,4637
him,4571
at,4520
i,4106
but,4007
on,3985
as,3974
you,3573
for,3505
she,3403
is,3299
said,2834
all,2763
from,2685
by,2435
be,2432
were,2407
what,2315
they,2163
who,2113
one,2056
this,2056
which,2010
have,1972
so,1890
prince,1886
pierre,1784
an,1617
up,1575
or,1512
them,1512
when,1485
did,1478
been,1475
there,1456
their,1437
no,1393
would,1363
now,1303
only,1290
if,1281
me,1265
are,1258
out,1230
my,1220
could,1110
man,1064
will,1062
more,1055
andrew,1039
do,1034
himself,1011
about,1008
into,1003
how,991
we,947
then,934
time,923
princess,915
face,891
french,874
went,859
some,842
know,840
after,839
old,830
before,821
eyes,820
your,807
very,800
room,768
thought,764
men,760
go,752
like,741
well,733
chapter,732
see,727
began,714
moscow,707
again,703
has,702
down,699
came,681
come,678
still,672
asked,668
same,662
without,661
count,650
those,650
looked,647
army,641
say,637
first,630
felt,629
nicholas,626
our,620
mary,612
where,611
away,611
left,606
another,601
over,599
something,597
two,593
life,588
these,587
such,584
seemed,579
its,567
other,567
head,565
just,563
little,554
yes,550
day,546
am,545
long,543
hand,536
why,536
than,532
whole,531
emperor,522
people,521
should,518
back,515
even,502
own,498
heard,497
good,493
way,491
having,487
because,486
general,485
countess,485
here,475
look,475
must,472
napoleon,470
nothing,467
any,464
always,464
can,463
saw,462
being,461
made,459
russian,454
right,445
young,444
though,443
love,443
round,431
off,429
suddenly,428
voice,423
us,416
smile,415
looking,414
moment,413
officer,410
knew,409
told,409
never,408
everything,406
whom,399
while,396
took,396
much,393
words,391
too,390
house,390
turned,388
dear,385
through,376
let,376
tell,375
quite,374
under,365
get,356
think,356
once,356
battle,350
soldiers,350
take,349
evidently,347
understand,346
last,345
sat,344
yet,339
father,336
every,334
door,330
herself,328
already,325
most,322
feeling,319
going,318
oh,315
might,314
behind,311
place,309
stood,307
gave,303
replied,300
done,300
expression,299
side,297
order,295
others,295
war,294
anna,293
toward,292
position,292
anything,291
seen,288
horse,288
commander,287
new,286
three,276
give,276
may,274
make,274
put,270
also,266
front,265
god,263
great,262
ran,260
troops,260
hands,258
both,256
soon,252
talk,251
want,249
horses,247
shall,246
called,244
shouted,244
wife,243
petersburg,242
taken,242
between,240
chief,237
alone,236
saying,233
word,232
part,232
son,232
many,232
things,230
whether,230
letter,229
officers,229
mind,225
along,225
thing,224
during,224
sent,223
table,222
against,222
sitting,221
regiment,221
rode,221
found,220
everyone,218
night,218
entered,216
question,216
among,216
continued,214
evening,213
speak,213
drawing,213
moved,212
de,210
brought,210
cried,210
crowd,210
leave,209
added,208
morning,207
does,206
near,205
enemy,205
wounded,205
really,203
mother,203
power,203
got,202
taking,201
orders,201
road,201
ask,199
received,199
themselves,199
understood,198
white,197
fire,196
lay,195
days,194
happy,194
stopped,193
next,192
action,192
passed,191
wished,189
talking,189
since,188
rose,188
fellow,188
tried,188
movement,187
several,187
soldier,187
ah,186
wish,184
beside,184
end,184
each,182
turning,181
wanted,180
small,179
death,179
noticed,179
anyone,178
given,178
remained,178
longer,176
impossible,176
nor,175
arm,175
arms,175
heart,175
past,174
till,173
around,172
home,172
forward,172
thousand,171
woman,171
far,171
dinner,171
became,170
large,170
possible,170
few,170
seeing,169
matter,168
news,167
spoke,167
happened,167
half,166
tears,166
ready,164
trying,164
silent,164
friend,163
better,163
conversation,163
cannot,163
russia,162
find,161
gone,161
coming,160
sound,160
strange,159
adjutant,158
standing,158
world,157
itself,157
set,156
full,156
faces,156
honor,155
terrible,155
speaking,155
history,155
fact,154
met,154
answered,153
hair,153
almost,152
else,152
glanced,152
times,151
soul,151
light,151
smiled,150
kept,150
free,149
known,147
tone,147
reply,146
myself,146
above,146
smiling,145
village,145
returned,145
afraid,145
repeated,145
reached,145
cause,144
different,143
russians,143
field,143
ever,142
answer,142
less,142
voices,142
held,142
help,141
brother,141
mademoiselle,141
doing,140
hear,140
kind,140
often,139
women,139
lost,139
state,139
together,139
cold,138
self,138
quickly,138
necessary,137
steps,137
listened,136
red,136
certain,136
family,135
husband,135
sides,135
followed,135
air,135
twenty,134
staff,134
force,133
feel,133
bridge,133
used,132
later,132
black,132
sometimes,131
merely,131
please,131
society,130
immediately,130
command,130
girl,129
waiting,129
third,129
glad,129
important,129
read,129
boy,128
especially,127
killed,127
either,126
best,126
reason,126
service,126
happiness,126
high,125
daughter,125
contrary,125
present,125
fell,125
believe,124
money,124
remember,124
grew,124
smoke,124
someone,123
doctor,123
bad,123
excellency,123
become,122
open,122
pleasure,122
appeared,122
course,122
hundred,122
work,121
presence,121
second,120
true,120
says,120
usual,120
coat,120
holding,120
former,120
fine,120
clear,120
loved,120
kissed,119
camp,119
thinking,119
moving,119
pale,119
town,119
bed,118
strength,118
historians,118
yourself,117
frightened,117
years,117
short,117
name,117
attention,117
carriage,117
line,117
affairs,117
expressed,116
opened,116
law,116
across,116
events,116
peasants,116
perhaps,115
thoughts,115
military,115
alexander,115
prisoners,115
lips,113
ball,113
ordered,113
drew,112
feet,112
everybody,112
study,112
window,112
whose,111
freedom,111
besides,111
led,111
peace,110
show,110
fear,110
showed,110
four,108
close,108
handsome,108
making,108
human,108
rest,107
dark,107
company,107
shoulders,107
need,107
angry,107
able,107
giving,107
meet,106
asking,106
turn,106
beyond,106
activity,106
late,105
raised,105
silence,105
ground,105
hussars,105
year,104
dress,104
running,104
colonel,104
attack,103
considered,103
children,103
straight,103
remembered,103
shouting,103
captain,103
mamma,102
campaign,102
generals,102
legs,101
five,100
ten,100
decided,100
child,100
run,100
aim,100
ought,100
guns,100
thin,99
wait,99
body,99
however,99
business,99
galloped,99
country,98
struck,98
questions,98
closed,97
unable,97
tomorrow,97
neither,96
changed,96
fresh,96
carried,96
flank,96
return,95
case,95
talked,95
upon,95
meaning,95
frenchman,95
laughing,95
cry,95
rapidly,95
uniform,94
wrote,94
interrupted,94
blue,94
sister,93
opinion,93
meeting,93
arrived,93
remarked,92
call,91
guards,91
live,91
corner,91
berg,91
german,91
clearly,90
duty,90
sight,90
plan,90
occupied,90
hope,89
listen,89
expected,89
living,89
spent,89
master,89
rather,88
hardly,88
ladies,88
beginning,88
covered,88
pleased,87
gazed,87
porch,87
uncle,87
farther,87
water,87
laws,87
book,86
calm,86
pleasant,86
forces,86
particularly,86
experienced,86
sounds,86
eh,86
foot,86
event,86
cannon,86
gray,85
listening,85
seems,85
knowing,85
knows,85
surprise,85
deep,85
firing,85
retreat,85
least,84
today,84
lady,84
passing,84
sake,84
exclaimed,84
move,84
bring,83
subject,83
pass,83
difficult,83
middle,83
truth,83
hard,83
hill,83
victory,83
grown,82
cap,82
point,82
change,82
seem,82
reading,82
marry,82
gentlemen,82
within,82
meant,82
fixed,82
view,82
various,82
cossacks,82
instead,81
