word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
an,old,5.76%,officer,3.86%,hour,2.97%
and,the,6.9%,that,2.15%,he,2.09%
war,and,14.09%,was,6.19%,with,5.15%
peace,and,20.18%,of,8.26%,with,6.42%
by,the,33.08%,a,7.0%,his,5.97%
book,and,11.76%,with,3.53%,which,3.53%
chapter,i,4.65%,ii,4.65%,iii,4.65%
i,am,11.98%,have,9.8%,know,4.14%
first,time,12.64%,to,6.32%,of,3.89%
second,of,10.62%,time,7.96%,and,7.08%
well,and,7.55%,then,6.24%,as,5.81%
prince,andrew,70.72%,nicholas,1.88%,and,1.74%
so,that,6.26%,much,5.11%,on,3.57%
are,you,13.82%,not,4.45%,the,3.31%
now,he,4.25%,and,3.37%,at,3.05%
just,as,20.68%,then,5.88%,the,4.99%
family,and,14.5%,that,4.58%,but,3.82%
of,the,28.45%,his,5.66%,a,4.18%
but,the,6.81%,he,4.42%,i,4.34%
you,are,6.56%,know,6.56%,have,4.66%
if,he,12.41%,you,11.27%,the,6.97%
tell,you,27.47%,me,20.88%,him,9.62%
me,to,8.44%,and,6.37%,i,5.38%
that,the,9.13%,he,8.83%,it,3.61%
this,was,6.03%,is,5.78%,and,2.89%
means,of,23.88%,to,13.43%,that,11.94%
still,more,12.01%,the,4.65%,in,3.6%
try,to,63.24%,as,7.35%,it,2.94%
to,the,14.56%,be,4.87%,him,4.61%
the,same,1.87%,french,1.77%,emperor,1.45%
really,was,8.38%,i,3.14%,did,3.14%
believe,that,16.13%,it,16.13%,in,16.13%
he,had,12.42%,was,9.75%,said,3.72%
will,be,15.41%,of,7.33%,not,5.14%
have,been,12.26%,you,5.01%,a,4.96%
nothing,to,13.1%,but,10.26%,and,5.46%
more,than,14.08%,and,8.52%,to,2.59%
do,you,24.75%,not,12.48%,so,6.09%
with,a,17.47%,the,14.54%,his,8.71%
no,one,17.48%,longer,10.43%,more,3.45%
longer,in,6.9%,the,5.17%,there,4.02%
my,dear,19.69%,father,2.94%,life,2.68%
friend,and,9.4%,said,7.38%,of,6.71%
as,if,12.25%,he,11.48%,a,7.95%
call,him,17.24%,the,8.05%,for,6.9%
yourself,and,7.21%,but,6.31%,to,5.41%
how,to,7.73%,he,6.79%,is,4.81%
see,the,11.65%,him,8.49%,that,6.47%
down,the,15.99%,on,8.72%,and,7.12%
all,the,18.53%,that,7.02%,his,3.34%
news,of,33.12%,that,12.5%,was,5.62%
it,was,17.63%,is,10.27%,and,3.66%
was,a,4.88%,not,4.27%,the,4.16%
in,the,26.85%,a,8.58%,his,6.77%
known,to,15.97%,that,6.94%,in,5.56%
maid,who,15.79%,of,14.04%,was,5.26%
honor,of,17.45%,to,10.07%,and,6.04%
these,words,6.81%,men,5.58%,people,3.84%
words,of,9.81%,and,7.69%,to,6.9%
she,had,10.21%,was,9.68%,said,5.65%
