word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
and,him,2.53%,up,0.98%,her,0.98%
peace,of,11.54%,the,9.62%,in,8.65%
by,and,3.52%,him,2.6%,good,2.26%
book,a,19.05%,the,11.9%,exercise,9.52%
one,no,11.68%,to,4.61%,the,4.26%
i,and,5.86%,that,4.47%,but,4.22%
chapter,i,2.49%,ii,2.49%,iii,2.49%
two,the,14.6%,and,4.64%,these,2.92%
three,the,13.01%,for,5.95%,or,4.83%
four,the,7.62%,all,3.81%,twenty,3.81%
five,twenty,8.16%,some,5.1%,thirty,5.1%
six,with,6.67%,the,6.67%,of,5.0%
seven,the,19.35%,at,9.68%,and,4.84%
ten,at,9.09%,some,6.06%,about,6.06%
first,the,59.51%,at,9.11%,his,2.44%
second,the,49.57%,a,26.96%,my,2.61%
well,very,7.2%,as,7.06%,so,4.18%
prince,the,9.34%,said,6.79%,old,6.03%
so,and,12.86%,was,5.81%,do,3.36%
now,and,9.35%,was,6.39%,but,4.23%
just,had,9.73%,was,7.63%,but,4.01%
family,the,33.87%,his,13.71%,a,8.06%
of,one,2.53%,out,2.31%,and,1.12%
the,of,11.92%,to,6.84%,in,6.83%
you,do,7.42%,are,5.04%,if,4.1%
if,as,38.17%,that,5.85%,but,3.77%
me,to,14.86%,for,6.95%,tell,6.07%
that,and,5.99%,of,2.88%,all,2.48%
this,of,8.38%,in,6.63%,that,5.69%
means,it,12.86%,the,10.0%,by,8.57%
war,the,30.0%,of,24.14%,a,5.17%
still,was,13.55%,and,7.17%,but,5.76%
try,to,29.41%,and,5.88%,not,5.88%
to,up,2.3%,seemed,2.1%,him,1.86%
believe,not,20.54%,to,17.86%,i,12.5%
he,that,7.02%,as,4.71%,and,4.68%
is,it,16.29%,he,9.62%,that,6.76%
have,i,19.15%,would,11.02%,to,8.6%
nothing,was,7.0%,said,6.55%,is,4.29%
more,the,12.2%,and,10.76%,still,7.68%
do,to,25.41%,what,7.16%,i,6.95%
with,and,4.22%,him,2.6%,up,1.1%
are,you,17.84%,they,9.69%,we,9.12%
no,was,8.33%,had,5.93%,is,4.58%
longer,no,79.89%,any,7.47%,the,5.17%
my,of,6.36%,in,5.85%,and,3.39%
friend,his,17.83%,a,13.38%,dear,12.74%
