word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
in,a,26.29%,the,21.68%,her,4.07%
the,queen,4.04%,king,3.73%,mock,3.29%
i,think,5.57%,should,5.26%,shall,4.95%
down,the,10.78%,and,8.82%,on,6.86%
alice,and,5.45%,was,4.63%,thought,3.27%
was,a,8.68%,the,5.6%,not,3.36%
to,the,9.52%,be,7.17%,herself,6.21%
very,much,6.94%,soon,4.86%,curious,4.17%
of,the,25.98%,course,4.49%,a,3.91%
by,the,40.68%,this,11.86%,his,5.08%
her,head,8.13%,face,3.25%,sister,2.85%
on,the,18.28%,it,4.84%,their,4.3%
and,the,9.79%,she,6.32%,then,3.94%
do,you,21.52%,it,6.33%,said,6.33%
or,two,18.06%,not,5.56%,twice,4.17%
she,had,11.19%,was,10.26%,said,6.53%
had,been,10.11%,to,6.74%,not,6.18%
into,the,37.5%,a,23.44%,her,7.81%
but,she,14.65%,it,10.83%,i,8.92%
it,was,15.17%,and,5.19%,said,4.39%
no,use,10.71%,one,5.95%,idea,4.76%
what,a,10.16%,i,8.59%,is,5.47%
is,the,11.54%,it,8.65%,to,6.73%
a,little,9.41%,very,3.99%,large,3.19%
thought,alice,35.62%,it,10.96%,and,8.22%
so,she,19.59%,much,6.08%,they,5.41%
as,she,23.46%,well,8.08%,it,7.69%
well,as,17.86%,i,8.93%,say,7.14%
could,not,27.63%,see,7.89%,for,5.26%
for,the,11.84%,a,10.53%,some,7.89%
would,be,20.48%,not,14.46%,you,7.23%
be,a,9.59%,no,4.79%,said,3.42%
up,and,25.51%,to,7.14%,into,7.14%
when,she,26.03%,the,15.07%,i,15.07%
with,the,19.66%,a,15.73%,one,6.18%
there,was,47.95%,were,12.33%,seemed,5.48%
that,she,12.92%,it,8.49%,the,4.8%
did,not,45.16%,you,16.13%,they,8.06%
much,said,7.84%,as,5.88%,of,5.88%
out,of,34.78%,the,6.09%,to,5.22%
way,of,12.96%,to,7.41%,you,7.41%
have,been,10.0%,you,8.75%,to,7.5%
at,the,28.44%,all,11.85%,last,9.0%
this,time,13.43%,was,5.97%,she,5.97%
time,she,13.43%,to,10.45%,and,7.46%
all,the,14.44%,round,3.89%,her,3.33%
quite,a,12.73%,forgetting,5.45%,as,5.45%
its,head,10.53%,mouth,10.53%,eyes,10.53%
then,the,12.36%,she,10.11%,it,6.74%
just,as,26.92%,in,5.77%,begun,5.77%
see,it,10.77%,what,10.77%,if,7.69%
went,on,57.83%,to,8.43%,back,4.82%
how,she,8.82%,to,7.35%,the,5.88%
again,and,18.52%,the,7.41%,i,6.17%
like,a,20.48%,the,16.87%,to,12.05%
some,of,15.69%,time,13.73%,minutes,7.84%
not,a,6.34%,like,4.93%,the,4.23%
about,it,19.15%,the,8.51%,her,7.45%
herself,in,8.64%,and,7.41%,as,6.17%
they,were,16.1%,all,11.02%,had,7.63%
were,all,9.52%,the,3.57%,trying,3.57%
one,of,22.22%,side,5.05%,finger,4.04%
me,said,7.69%,see,6.15%,for,4.62%
if,you,26.19%,i,19.05%,it,11.9%
off,with,14.08%,the,9.86%,and,7.04%
an,old,8.77%,offended,7.02%,arm,5.26%
said,the,45.93%,alice,25.49%,to,8.57%
you,know,13.93%,are,4.64%,see,3.41%
began,to,14.04%,in,14.04%,again,5.26%
their,heads,13.73%,slates,11.76%,faces,7.84%
them,and,12.94%,with,4.71%,all,3.53%
know,what,13.75%,the,7.5%,said,6.25%
little,thing,6.35%,door,4.76%,golden,3.97%
my,dear,19.3%,life,7.02%,youth,5.26%
are,you,26.42%,old,11.32%,they,5.66%
who,was,14.75%,had,13.11%,seemed,6.56%
your,majesty,19.35%,pardon,8.06%,tongue,4.84%
now,and,14.81%,i,9.26%,the,5.56%
he,said,11.5%,was,7.08%,went,5.31%
his,head,10.42%,eyes,6.25%,voice,4.17%
queen,and,10.29%,said,7.35%,of,5.88%
hatter,and,9.62%,he,5.77%,you,5.77%
king,and,16.67%,said,15.0%,the,8.33%
mock,turtle,100.0%
turtle,said,7.02%,and,5.26%,in,5.26%
gryphon,and,15.38%,went,5.77%,said,3.85%
