word type,number
everything,26003
adult,0
hate,0
function,15137
normal,number
the,1644
and,872
to,729
a,632
she,541
it,530
of,515
said,462
i,408
alice,386
in,370
you,365
was,357
that,280
as,263
her,248
at,212
on,193
all,182
with,181
had,178
but,170
for,153
so,151
be,148
not,145
very,144
what,136
this,134
they,130
little,128
he,120
out,117
is,108
one,103
down,102
up,100
if,96
his,96
then,94
about,94
no,90
them,88
know,87
like,85
were,85
would,83
went,83
again,83
herself,83
do,81
have,80
when,79
or,77
could,77
there,75
thought,74
off,73
time,71
how,68
me,68
queen,68
into,67
see,67
well,63
did,63
your,62
who,61
king,61
now,60
by,59
began,58
my,58
its,57
an,57
turtle,57
way,56
mock,56
quite,55
hatter,55
gryphon,55
are,54
think,53
just,52
their,52
much,51
say,51
some,51
first,51
here,51
go,50
only,50
which,49
head,49
thing,49
more,49
never,48
voice,48
rabbit,47
get,46
come,46
oh,45
looked,45
got,45
must,44
after,43
mouse,43
him,43
such,41
round,41
over,40
why,40
came,40
other,40
two,40
tone,40
great,39
any,39
back,39
duchess,39
dormouse,39
before,38
been,38
from,36
cat,35
can,35
nothing,34
once,34
march,34
large,33
will,33
last,33
found,32
right,32
tell,32
long,32
looking,32
put,31
things,31
hare,31
made,30
white,30
next,30
door,30
heard,30
we,30
day,29
eyes,29
dear,29
moment,29
look,29
replied,29
might,28
three,28
seemed,27
going,27
make,27
good,27
should,27
poor,27
caterpillar,27
without,26
too,26
upon,26
course,26
shall,25
rather,25
soon,25
away,25
while,25
yet,25
took,24
than,24
same,24
sure,24
felt,23
half,23
added,23
getting,22
take,22
another,22
jury,22
words,21
wish,21
hand,21
ever,21
find,21
minute,21
till,21
anything,20
sort,20
however,20
cried,20
feet,19
tried,19
even,19
end,19
please,19
tea,19
curious,19
being,19
old,19
use,18
wonder,18
house,18
eat,18
table,18
enough,18
something,18
soup,18
court,18
let,17
spoke,17
perhaps,17
talking,17
question,17
side,17
sat,17
asked,17
ran,16
under,16
bit,16
turned,16
high,16
garden,16
indeed,16
hastily,16
seen,15
near,15
idea,15
air,15
saying,15
low,15
knew,15
because,15
face,15
gave,15
speak,15
am,15
done,15
called,15
arm,15
mad,15
beginning,14
hear,14
itself,14
ought,14
saw,14
through,14
remember,14
trying,14
certainly,14
left,14
anxiously,14
set,14
change,14
these,14
sea,14
suppose,14
talk,14
us,14
better,14
silence,14
both,14
baby,14
suddenly,13
close,13
still,13
yes,13
people,13
cats,13
behind,13
begin,13
really,13
size,13
grow,13
far,13
kept,13
used,13
always,13
dodo,13
whole,13
bill,13
where,13
room,13
gone,13
may,13
beautiful,13
footman,13
cook,13
dance,13
chapter,12
many,12
among,12
afraid,12
every,12
finished,12
best,12
game,12
hardly,12
life,12
deal,12
give,12
queer,12
everything,12
try,12
hands,12
turning,12
pigeon,12
majesty,12
book,11
mind,11
whether,11
hurried,11
though,11
glad,11
ask,11
else,11
hurry,11
read,11
waited,11
minutes,11
tears,11
child,11
makes,11
growing,11
pool,11
gloves,11
thinking,11
nearly,11
keep,11
turn,11
pig,11
sitting,10
having,10
own,10
either,10
lessons,10
heads,10
word,10
name,10
sight,10
walked,10
glass,10
small,10
opened,10
those,10
bottle,10
children,10
hold,10
box,10
foot,10
yourself,10
fan,10
mine,10
offended,10
birds,10
creatures,10
party,10
explain,10
rest,10
mean,10
mouth,10
repeated,10
remarked,10
remark,10
soldiers,10
witness,10
coming,9
answer,9
matter,9
hall,9
key,9
rate,9
few,9
waiting,9
leave,9
croquet,9
against,9
want,9
help,9
different,9
tail,9
conversation,9
continued,9
believe,9
call,9
angrily,9
shook,9
does,9
least,9
reason,9
together,9
shouted,9
timidly,9
serpent,9
puzzled,9
butter,9
interrupted,9
knave,9
join,9
adventures,8
sister,8
feel,8
making,8
watch,8
slowly,8
happen,8
noticed,8
top,8
four,8
opportunity,8
distance,8
seem,8
dry,8
bright,8
fact,8
followed,8
lying,8
work,8
ready,8
hard,8
changed,8
five,8
live,8
play,8
beg,8
our,8
eagerly,8
sit,8
meaning,8
running,8
everybody,8
exactly,8
story,8
nobody,8
window,8
place,8
appeared,8
wood,8
each,8
mushroom,8
most,8
nose,8
tree,8
pepper,8
fish,8
ground,8
asleep,8
hearts,8
twinkle,8
gardeners,8
moral,8
whiting,8
tired,7
hot,7
pocket,7
world,7
deep,7
somebody,7
fall,7
listen,7
fancy,7
manage,7
begun,7
dream,7
middle,7
wondering,7
golden,7
open,7
larger,7
happened,7
neck,7
drink,7
feeling,7
generally,7
eye,7
surprised,7
shoes,7
myself,7
kind,7
nonsense,7
sir,7
hair,7
goes,7
repeat,7
learn,7
frightened,7
chin,7
william,7
history,7
fetch,7
lory,7
important,7
has,7
trial,7
others,7
stood,7
grown,7
business,7
trees,7
draw,7
silent,7
cheshire,7
pleased,7
song,7
bread,7
treacle,7
hedgehog,7
lobster,7
lobsters,7
oop,7
tarts,7
slates,7
evidence,7
stupid,6
trouble,6
late,6
fell,6
nice,6
written,6
leaves,6
jumped,6
roof,6
inches,6
along,6
marked,6
forgotten,6
almost,6
ten,6
english,6
stop,6
himself,6
times,6
seven,6
grin,6
understand,6
sentence,6
pardon,6
trembling,6
subject,6
race,6
politely,6
melancholy,6
liked,6
chorus,6
piece,6
executed,6
broken,6
chimney,6
full,6
write,6
loud,6
sharp,6
guinea,6
pigs,6
puppy,6
arms,6
father,6
stand,6
youth,6
sleep,6
sneezing,6
between,6
told,6
ear,6
wow,6
dreadfully,6
writing,6
sing,6
exclaimed,6
school,6
e,6
hole,5
twice,5
sleepy,5
across,5
curiosity,5
passed,5
home,5
likely,5
aloud,5
walk,5
new,5
asking,5
night,5
sometimes,5
walking,5
ears,5
sadly,5
shut,5
simple,5
cut,5
finger,5
nervous,5
altogether,5
remembered,5
happens,5
pair,5
nine,5
until,5
kid,5
dropped,5
usual,5
morning,5
ah,5
wrong,5
sounded,5
strange,5
seems,5
stay,5
sudden,5
water,5
case,5
number,5
swam,5
nearer,5
speaking,5
shrill,5
angry,5
crowded,5
means,5
notice,5
prizes,5
dare,5
confusion,5
reply,5
finish,5
impatiently,5
sighed,5
temper,5
young,5
moved,5
swim,5
doing,5
direction,5
interesting,5
become,5
taking,5
shriek,5
drew,5
sky,5
instantly,5
surprise,5
lizard,5
height,5
quietly,5
hookah,5
man,5
often,5
eggs,5
meant,5
waving,5
faces,5
procession,5
rule,5
pack,5
knee,5
whispered,5
flamingo,5
executioner,5
tis,5
evening,5
unimportant,5
wonderland,4
pictures,4
worth,4
natural,4
sides,4
fear,4
managed,4
true,4
fallen,4
earth,4
several,4
sound,4
girl,4
miss,4
mice,4
catch,4
bats,4
