word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
in,it,3.0%,was,2.45%,alice,2.45%
the,said,12.97%,of,8.25%,and,5.09%
i,if,4.0%,but,3.5%,what,2.75%
down,sat,8.82%,looked,4.9%,down,3.92%
alice,said,30.13%,thought,6.75%,to,5.97%
was,it,21.35%,she,15.45%,there,9.83%
to,said,5.39%,seemed,2.76%,back,1.8%
very,a,18.66%,was,7.46%,so,4.48%
of,out,7.77%,one,4.27%,sort,2.91%
by,up,5.17%,close,3.45%,to,3.45%
her,to,11.29%,of,6.85%,in,6.05%
on,went,25.13%,go,5.76%,down,3.66%
and,it,3.02%,up,2.91%,alice,2.33%
do,to,25.97%,i,11.69%,you,5.19%
or,minute,15.79%,once,3.95%,eat,3.95%
she,as,11.42%,and,9.93%,that,6.55%
had,she,34.48%,it,9.77%,alice,6.32%
into,up,10.45%,get,4.48%,fallen,4.48%
but,it,3.64%,alice,3.03%,nothing,2.42%
it,that,4.38%,as,3.81%,of,3.43%
no,was,12.33%,be,9.59%,had,6.85%
what,know,8.33%,wonder,5.3%,see,5.3%
is,it,16.82%,that,9.35%,what,6.54%
a,in,16.17%,was,5.17%,with,4.67%
thought,she,24.66%,alice,16.44%,now,4.11%
so,was,4.83%,it,4.14%,and,3.45%
as,and,5.36%,just,5.36%,alice,4.21%
well,as,34.43%,caterpillar,6.56%,the,4.92%
could,she,40.26%,alice,14.29%,i,10.39%
for,looking,3.36%,could,2.68%,opportunity,2.68%
would,it,18.07%,she,8.43%,they,7.23%
be,to,42.28%,must,15.45%,would,13.82%
up,got,7.0%,looked,5.0%,getting,4.0%
when,and,11.69%,but,3.9%,it,2.6%
with,off,5.52%,begin,2.21%,them,2.21%
there,and,8.0%,as,6.67%,it,5.33%
that,was,3.97%,in,2.89%,of,2.89%
did,she,22.22%,alice,15.87%,he,7.94%
out,make,5.98%,called,5.98%,it,5.13%
way,the,26.79%,which,10.71%,her,5.36%
have,to,16.67%,must,15.15%,i,10.61%
at,looked,8.21%,look,3.86%,looking,3.38%
this,at,7.46%,of,7.46%,by,5.22%
time,this,25.71%,the,18.57%,some,10.0%
all,at,14.71%,they,7.65%,and,5.29%
its,of,14.04%,with,12.28%,into,8.77%
then,and,36.26%,but,5.49%,just,3.3%
see,to,37.7%,you,18.03%,could,9.84%
went,she,34.94%,and,13.25%,he,7.23%
how,and,11.94%,see,7.46%,herself,4.48%
again,out,6.02%,up,6.02%,it,4.82%
like,you,11.84%,not,9.21%,should,6.58%
some,for,23.53%,with,7.84%,and,5.88%
not,did,21.21%,could,15.91%,was,9.09%
about,talk,5.43%,her,4.35%,all,4.35%
herself,to,54.22%,found,7.23%,as,2.41%
they,and,8.46%,when,6.92%,that,6.15%
were,they,22.35%,there,10.59%,you,7.06%
one,with,10.89%,no,4.95%,on,4.95%
me,let,11.76%,tell,11.76%,to,8.82%
if,as,15.96%,that,5.32%,see,5.32%
off,left,8.22%,leave,5.48%,hurried,5.48%
an,in,19.23%,with,11.54%,was,9.62%
said,she,7.71%,it,4.85%,and,2.86%
you,if,6.3%,do,4.87%,are,4.01%
began,and,24.14%,she,22.41%,alice,12.07%
their,on,15.38%,in,9.62%,with,7.69%
them,of,19.32%,to,7.95%,at,4.55%
know,you,61.64%,i,17.81%,to,6.85%
little,a,46.46%,the,14.96%,poor,7.09%
are,you,27.78%,what,12.96%,who,7.41%
now,was,10.17%,every,6.78%,and,5.08%
my,in,15.79%,oh,10.53%,to,7.02%
who,alice,9.84%,queen,6.56%,mouse,3.28%
your,beg,9.84%,please,9.84%,of,6.56%
he,as,10.83%,and,9.17%,that,5.83%
his,with,9.38%,of,7.29%,in,5.21%
queen,the,95.59%,and,2.94%,savage,1.47%
hatter,the,92.73%,a,3.64%,wretched,1.82%
king,the,98.36%,a,1.64%
mock,the,94.64%,a,1.79%,thing,1.79%
turtle,mock,94.74%,real,1.75%,old,1.75%
gryphon,the,96.36%,a,3.64%
