word type,number
everything,97986
adult,0
hate,0
function,54849
normal,number
the,3925
and,3399
to,3046
i,2473
a,2227
of,1924
it,1789
in,1479
you,1446
she,1365
was,1358
her,1309
that,1279
anne,1108
but,849
be,820
as,791
with,790
had,771
for,734
said,640
so,635
at,615
on,576
have,566
all,543
is,539
me,534
when,466
up,465
if,455
not,435
he,430
mrs,406
my,396
out,390
diana,386
there,367
just,358
would,342
matthew,339
over,336
were,316
do,308
what,307
think,305
about,300
like,295
little,294
them,285
this,281
your,280
well,278
never,278
very,277
oh,275
they,271
one,265
been,259
know,254
from,245
by,242
are,242
we,242
now,236
good,234
did,232
go,231
an,228
going,227
could,221
no,221
down,219
his,216
into,210
much,209
can,198
such,198
then,185
any,181
time,178
him,174
who,172
see,172
girl,170
or,170
back,168
ever,165
more,164
too,164
say,161
came,155
went,153
after,153
will,153
school,152
must,151
thought,150
miss,148
because,146
things,145
home,144
how,143
white,142
get,139
eyes,139
green,136
before,136
only,136
than,134
mr,134
says,130
come,129
look,124
tell,121
got,121
right,121
through,119
night,118
made,118
barry,117
has,116
really,116
here,115
thing,115
hair,115
told,113
some,110
old,109
make,109
their,108
long,108
gilbert,108
other,107
which,107
always,106
felt,106
take,105
away,104
something,104
last,101
feel,100
girls,100
off,99
suppose,98
child,95
let,95
gables,94
anything,94
jane,93
room,92
even,91
people,91
herself,91
face,91
where,90
red,89
pretty,89
head,89
way,89
until,87
might,87
put,87
heart,87
want,87
day,86
looked,85
ruby,84
mind,83
life,82
course,82
again,82
two,81
big,81
being,80
chapter,78
own,78
should,78
evening,77
real,77
first,77
new,76
why,76
name,74
its,74
better,74
glad,74
morning,73
enough,73
every,73
allan,73
without,72
next,71
sure,71
saw,71
imagine,71
gone,70
us,70
love,70
josie,69
found,68
once,68
took,68
keep,68
those,67
bed,67
many,66
yes,65
believe,65
our,65
house,64
knew,64
lovely,64
nice,64
three,63
hard,63
while,63
best,62
nothing,62
mean,62
stay,62
asked,61
looking,61
shall,61
great,60
give,60
most,60
afternoon,59
tea,58
imagination,58
world,58
still,58
kind,57
hands,57
since,56
set,55
place,54
years,54
may,54
hand,54
window,53
coming,53
sorry,53
talk,52
used,52
myself,52
rather,51
am,51
shirley,51
road,50
heard,50
guess,50
dress,50
quite,50
another,50
hope,50
under,50
wanted,50
sunday,49
along,49
call,49
although,49
sitting,48
sat,48
boy,48
pye,48
class,47
door,47
called,47
half,47
word,47
gave,47
table,46
dark,46
done,46
seemed,46
splendid,46
far,45
tears,45
kitchen,44
whole,44
lane,44
left,44
read,44
beautiful,44
man,43
help,43
end,43
around,43
yourself,43
trees,42
please,42
everything,41
ought,41
year,41
seem,41
bad,41
spencer,41
having,41
hear,41
brook,40
work,40
find,40
cake,40
matter,40
ask,40
brought,40
blue,40
concert,39
afraid,39
young,39
does,39
moment,39
full,39
cry,39
perfectly,39
sweet,38
live,38
friend,38
orchard,37
among,37
getting,37
asylum,37
soon,37
use,37
across,37
same,37
minister,37
makes,36
yet,36
meant,36
dear,36
perhaps,36
gable,36
pink,36
lady,36
bright,35
behind,35
talking,35
book,35
run,34
children,34
part,34
mother,34
brooch,34
spirit,33
sit,33
woman,33
thinking,33
liked,33
wood,33
interesting,33
flowers,33
times,33
black,33
picnic,33
sleeves,32
story,32
least,32
small,32
bridge,32
shining,32
try,32
winter,31
anybody,31
ten,31
seems,31
friends,31
woods,30
east,30
turned,30
words,30
light,30
beyond,29
often,29
today,29
between,29
almost,29
sleep,29
week,29
expect,29
dinner,29
cold,29
church,28
town,28
father,28
seen,28
boys,28
mistake,28
summer,28
everybody,28
person,28
cried,28
hall,28
trying,28
learn,28
thomas,27
wild,27
spring,27
brown,27
able,27
wicked,27
dreadful,27
nobody,27
wish,27
ready,27
teacher,27
hill,26
taken,26
certainly,26
bit,26
air,26
feeling,26
trouble,26
indeed,26
garden,26
else,26
romantic,26
laughed,26
water,25
rose,25
apple,25
making,25
fun,25
bring,25
terrible,25
looks,25
anyhow,25
wonderful,25
kept,25
tired,25
each,25
sighed,25
alone,25
passed,24
plain,24
both,24
though,24
side,24
voice,24
talked,24
saying,24
somehow,24
walked,24
hat,24
held,24
clear,24
worse,24
pale,24
exactly,24
either,24
simply,24
sky,24
corner,24
minutes,24
temper,24
lessons,24
puffed,23
pass,23
dream,23
slope,23
field,23
orphan,23
breath,23
certain,23
walk,23
remember,23
eat,23
tomorrow,23
especially,23
aunt,23
bell,23
haunted,23
lived,22
taking,22
grown,22
flat,22
decided,22
likely,22
wife,22
fire,22
against,22
began,22
laugh,22
lake,22
waters,22
open,22
spare,22
given,21
deal,21
nor,21
tonight,21
sent,21
speak,21
sort,21
drive,21
outside,21
dare,21
soul,21
whispered,21
dresses,21
tried,21
prayer,21
longer,21
forgive,21
minnie,21
sometimes,21
comes,20
hollow,20
together,20
yard,20
cherry,20
laid,20
expected,20
born,20
doing,20
sands,20
nearly,20
near,20
met,20
others,20
stood,20
true,20
happy,20
delight,20
lay,20
suddenly,20
yellow,20
days,20
exclaimed,20
awful,20
awfully,20
path,20
geometry,20
moody,20
prayers,19
below,19
doctor,19
happened,19
knows,19
dishes,19
gray,19
case,19
different,19
second,19
hour,19
understand,19
tongue,19
tree,19
imagined,19
dreams,19
twilight,19
pleasant,19
