word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,27.9%,a,8.15%,her,4.72%
and,i,6.3%,the,4.84%,she,2.7%
anne,had,5.12%,shirley,4.17%,was,4.08%
of,the,16.42%,it,5.12%,a,4.64%
green,gables,70.15%,and,2.24%,with,2.24%
gables,and,14.44%,by,3.33%,she,3.33%
chapter,i,2.56%,ii,2.56%,iii,2.56%
i,was,7.53%,think,4.45%,suppose,3.42%
is,a,11.39%,the,5.88%,going,4.93%
morning,and,12.68%,when,7.04%,i,5.63%
at,the,24.83%,all,8.28%,green,5.86%
up,the,10.76%,to,9.19%,in,8.74%
her,eyes,2.97%,hands,2.66%,to,2.27%
mind,you,15.0%,to,7.5%,and,5.0%
says,she,17.39%,that,12.17%,it,10.43%
school,and,9.66%,i,6.9%,with,4.14%
a,little,4.74%,very,3.19%,good,2.32%
the,time,1.41%,other,1.1%,kitchen,0.99%
in,the,29.31%,a,8.23%,her,5.04%
diana,and,11.88%,i,4.7%,is,3.04%
to,be,10.95%,the,8.09%,her,3.13%
tea,and,12.28%,at,10.53%,set,7.02%
with,a,17.88%,the,10.88%,her,6.61%
new,minister,6.76%,dress,5.41%,brunswick,4.05%
life,and,20.0%,that,5.0%,was,5.0%
good,to,5.22%,and,4.78%,deal,4.35%
imagination,in,10.34%,had,6.9%,but,5.17%
gone,to,14.93%,and,11.94%,out,11.94%
out,of,23.81%,to,6.61%,and,5.56%
an,orphan,6.22%,hour,5.33%,old,5.33%
get,up,8.63%,the,5.76%,a,5.04%
matthew,and,11.67%,was,7.33%,had,6.0%
on,the,34.48%,her,8.48%,a,5.05%
where,the,16.47%,she,14.12%,a,7.06%
girl,and,9.32%,who,8.07%,in,6.83%
name,was,11.43%,is,10.0%,i,8.57%
just,as,13.75%,the,3.44%,now,3.15%
down,the,15.42%,to,15.42%,in,7.94%
into,the,35.92%,her,10.19%,a,7.77%
little,girl,14.33%,girls,9.9%,thing,4.1%
that,she,7.78%,i,6.01%,is,4.74%
had,been,10.14%,a,8.06%,to,5.98%
its,windows,4.05%,very,4.05%,den,2.7%
away,and,13.0%,i,7.0%,in,6.0%
back,to,24.07%,in,5.56%,from,4.94%
it,was,16.82%,would,4.5%,is,3.88%
was,a,12.37%,the,3.92%,not,3.02%
be,a,9.88%,so,2.84%,able,2.59%
course,i,22.22%,it,17.46%,you,6.35%
through,the,42.11%,it,4.39%,with,4.39%
those,things,5.97%,trees,4.48%,big,4.48%
but,i,20.77%,it,7.51%,she,7.24%
time,and,9.64%,to,9.04%,i,7.23%
well,now,20.88%,i,9.24%,as,4.82%
for,the,13.06%,a,10.9%,you,6.6%
not,to,10.3%,a,5.15%,going,4.45%
even,if,20.22%,in,8.99%,when,6.74%
could,not,12.79%,be,9.59%,have,9.13%
without,her,8.33%,a,8.33%,any,6.94%
window,and,13.21%,sill,7.55%,in,7.55%
from,the,34.47%,her,10.64%,a,3.83%
if,i,23.13%,you,18.91%,she,11.94%
she,had,10.81%,was,9.27%,said,8.57%
anything,else,9.89%,about,8.79%,to,6.59%
or,not,6.02%,the,4.82%,a,4.22%
would,be,26.92%,have,17.46%,you,5.92%
never,have,5.43%,be,5.07%,had,4.71%
until,i,15.0%,she,11.25%,they,11.25%
there,was,22.66%,is,12.99%,are,10.27%
are,you,10.97%,so,7.59%,going,7.59%
people,who,14.12%,to,4.71%,are,4.71%
who,had,19.75%,was,14.2%,are,4.32%
can,i,8.76%,never,6.19%,tell,5.15%
their,own,7.48%,heads,2.8%,very,2.8%
own,fault,6.58%,up,6.58%,way,3.95%
one,of,21.01%,and,3.89%,day,2.72%
other,girls,13.59%,people,8.74%,little,4.85%
always,be,4.72%,have,3.77%,had,2.83%
all,the,22.2%,right,5.5%,over,3.42%
this,is,8.09%,morning,5.88%,afternoon,5.51%
found,it,11.76%,herself,11.76%,that,8.82%
them,and,8.15%,to,5.56%,as,4.81%
were,a,3.5%,so,3.18%,the,3.18%
tell,you,30.51%,me,21.19%,her,11.02%
red,hair,16.47%,and,14.12%,haired,7.06%
two,little,9.09%,years,7.79%,weeks,6.49%
went,to,27.63%,up,8.55%,out,7.24%
over,the,20.5%,to,9.01%,and,6.83%
so,much,9.77%,i,6.03%,many,4.72%
afternoon,and,9.09%,when,9.09%,i,7.27%
coming,to,11.54%,home,11.54%,in,9.62%
house,was,11.48%,and,6.56%,where,4.92%
white,sands,14.08%,and,6.34%,lace,5.63%
his,own,5.29%,wife,3.85%,heart,2.4%
have,to,13.48%,been,9.93%,a,9.22%
been,a,10.12%,so,5.45%,to,2.33%
big,words,11.11%,red,4.94%,eyes,4.94%
knew,that,18.03%,it,9.84%,how,6.56%
he,had,13.2%,was,11.68%,said,7.11%
because,i,25.0%,she,14.84%,it,10.16%
him,to,7.74%,and,7.14%,in,6.55%
evening,and,10.29%,she,7.35%,to,5.88%
before,the,13.64%,i,9.85%,you,6.82%
next,morning,16.18%,year,16.18%,afternoon,7.35%
asked,me,16.98%,her,11.32%,anne,9.43%
about,it,16.61%,the,13.56%,her,10.51%
here,and,15.18%,this,6.25%,but,4.46%
three,times,11.48%,years,9.84%,weeks,6.56%
day,and,12.05%,i,8.43%,of,7.23%
best,of,9.68%,and,9.68%,to,6.45%
which,she,15.53%,was,9.71%,is,5.83%
going,to,73.01%,home,5.31%,back,2.65%
now,i,20.1%,that,8.33%,and,7.35%
any,more,13.81%,other,5.52%,of,5.52%
might,have,23.26%,as,17.44%,be,13.95%
pretty,well,20.69%,good,4.6%,near,4.6%
as,if,12.03%,she,7.84%,i,6.01%
home,from,12.06%,and,7.09%,with,5.67%
must,be,28.0%,have,15.33%,say,10.67%
something,that,8.0%,to,8.0%,in,5.0%
go,to,26.79%,and,7.14%,out,6.7%
talk,about,13.73%,to,11.76%,it,5.88%
make,a,12.04%,it,11.11%,up,7.41%
nothing,to,13.11%,but,11.48%,else,8.2%
after,all,17.45%,the,9.4%,this,8.72%
take,the,12.38%,a,11.43%,her,9.52%
more,than,13.21%,of,4.4%,to,2.52%
enough,to,44.44%,for,11.11%,in,6.94%
since,i,15.09%,the,15.09%,she,11.32%
last,night,22.22%,week,9.09%,sunday,7.07%
night,i,10.19%,and,10.19%,she,6.48%
what,i,8.3%,it,6.23%,a,6.23%
know,what,12.5%,i,9.48%,it,7.33%
has,been,13.79%,a,6.03%,got,5.17%
set,on,12.96%,the,11.11%,it,9.26%
sure,i,19.4%,it,10.45%,that,10.45%
long,as,11.11%,breath,9.26%,and,4.63%
made,a,10.62%,up,9.73%,her,8.85%
got,to,14.41%,up,8.47%,a,7.63%
when,i,23.15%,she,19.57%,the,8.83%
did,not,25.11%,you,14.98%,it,4.85%
such,a,50.76%,an,12.18%,things,3.55%
said,anne,24.56%,matthew,7.8%,diana,7.41%
no,use,6.73%,i,6.25%,matter,3.85%
much,as,9.85%,more,7.88%,to,6.9%
they,were,19.43%,had,12.15%,are,5.67%
look,at,36.36%,after,6.61%,of,5.79%
then,she,14.29%,i,8.7%,and,4.35%
used,to,82.69%,up,3.85%,it,3.85%
being,a,13.75%,called,6.25%,brought,2.5%
very,well,5.43%,much,5.07%,good,4.35%
great,deal,15.0%,comfort,6.67%,big,5.0%
off,the,12.5%,to,12.5%,by,7.29%
do,you,21.02%,it,7.46%,with,3.39%
give,me,16.67%,you,11.67%,a,11.67%
looked,at,25.88%,like,5.88%,as,5.88%
looking,at,18.03%,out,8.2%,after,4.92%
came,to,17.42%,home,9.03%,out,7.1%
you,know,6.34%,are,3.81%,can,3.65%
too,much,15.38%,but,5.77%,i,5.13%
thing,to,11.11%,i,8.08%,as,7.07%
world,and,13.46%,that,9.62%,of,7.69%
some,of,16.36%,time,4.55%,people,3.64%
only,been,3.76%,a,3.76%,the,3.76%
kind,of,69.64%,to,7.14%,and,5.36%
real,glad,8.0%,good,5.33%,nice,5.33%
how,much,6.92%,you,6.15%,i,6.15%
your,hair,6.91%,own,4.36%,head,3.64%
hair,and,16.36%,is,7.27%,i,5.45%
hard,to,35.48%,as,6.45%,and,6.45%
like,a,14.39%,that,12.63%,to,11.23%
ever,so,13.5%,since,9.82%,be,4.91%
saw,the,10.45%,it,8.96%,that,7.46%
thought,of,15.67%,it,14.93%,i,8.21%
