word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,down,4.62%,go,3.36%,off,2.94%
of,out,4.7%,one,2.82%,think,2.4%
green,at,25.56%,to,13.53%,of,12.03%
gables,green,100.0%
chapter,it,6.67%,surprised,4.0%,gables,2.67%
i,and,8.33%,but,6.39%,when,4.08%
mrs,and,8.73%,said,4.99%,to,4.74%
matthew,said,11.98%,and,5.69%,to,3.59%
morning,the,21.92%,this,21.92%,next,15.07%
at,look,7.3%,looked,3.65%,looking,1.82%
up,it,3.47%,grown,2.82%,went,2.82%
her,to,7.12%,of,6.66%,in,5.43%
mind,my,26.23%,her,11.48%,of,11.48%
anne,said,11.67%,and,3.33%,that,2.69%
says,she,34.67%,he,9.33%,diana,9.33%
is,it,12.78%,that,11.36%,there,8.72%
school,to,26.47%,sunday,20.59%,in,17.65%
a,was,7.76%,with,6.53%,in,5.49%
and,it,1.8%,diana,1.31%,you,1.28%
the,in,10.67%,of,7.96%,to,6.2%
in,up,2.71%,it,2.22%,was,1.88%
diana,said,10.05%,and,8.47%,with,4.23%
to,going,5.53%,have,2.55%,go,2.01%
tea,to,31.03%,the,12.07%,after,10.34%
with,up,3.12%,anne,1.82%,it,1.56%
new,a,33.33%,the,21.33%,my,4.0%
life,my,19.48%,her,16.88%,in,10.39%
good,a,22.87%,be,8.97%,very,5.38%
imagination,for,19.3%,an,10.53%,of,8.77%
gone,had,52.38%,have,9.52%,has,7.94%
out,it,5.14%,go,3.86%,went,2.83%
an,such,10.96%,with,9.59%,had,7.31%
miss,and,4.41%,but,3.68%,old,2.94%
get,to,35.14%,i,9.91%,we,5.41%
on,it,4.08%,put,2.48%,down,1.95%
where,house,3.53%,hollow,3.53%,see,3.53%
name,a,14.71%,my,14.71%,her,13.24%
just,i,14.6%,it,6.35%,is,4.13%
down,sat,6.39%,sit,4.11%,went,4.11%
into,out,5.24%,up,4.76%,get,3.33%
little,a,35.99%,the,9.34%,of,2.77%
that,and,3.79%,like,2.9%,of,2.01%
had,she,20.06%,i,7.74%,anne,7.74%
its,with,14.86%,in,12.16%,of,9.46%
away,far,6.93%,go,5.94%,right,4.95%
back,the,8.48%,came,6.67%,her,5.45%
old,the,20.56%,an,11.21%,years,5.61%
it,of,5.64%,but,3.23%,about,2.88%
was,it,21.29%,i,12.01%,she,9.36%
be,to,48.08%,would,13.46%,must,6.21%
course,of,88.89%,english,2.47%,arts,2.47%
through,get,5.13%,up,5.13%,got,3.42%
those,of,18.18%,all,9.09%,but,4.55%
but,it,4.96%,her,1.61%,anne,1.61%
time,the,31.76%,this,6.47%,of,4.12%
well,as,13.01%,pretty,6.69%,very,5.58%
for,it,2.92%,scope,1.67%,as,1.39%
not,did,16.29%,was,11.43%,could,8.0%
even,not,16.47%,and,4.71%,that,3.53%
could,i,24.65%,she,19.53%,you,6.05%
without,do,4.17%,name,2.78%,home,2.78%
window,the,40.38%,her,21.15%,open,7.69%
from,home,7.08%,out,4.17%,back,3.33%
if,as,20.54%,even,4.02%,it,3.35%
she,that,6.92%,and,6.4%,when,6.17%
anything,do,8.7%,for,5.43%,in,5.43%
or,it,3.07%,one,3.07%,you,2.45%
place,the,9.8%,a,7.84%,lovely,5.88%
would,it,21.92%,she,11.11%,i,7.81%
never,i,25.45%,had,8.64%,she,5.91%
until,there,5.88%,her,3.53%,it,3.53%
there,and,8.64%,but,6.13%,that,3.62%
are,you,20.34%,there,14.41%,they,5.93%
people,other,10.47%,the,5.81%,some,4.65%
who,anne,10.14%,girl,8.78%,matthew,8.11%
can,i,34.38%,you,23.96%,we,4.17%
their,in,13.08%,of,7.48%,to,5.61%
own,her,26.03%,your,16.44%,his,15.07%
one,is,4.37%,in,4.37%,just,3.57%
other,the,39.62%,any,9.43%,each,9.43%
always,i,22.54%,shall,8.45%,was,7.04%
all,at,9.47%,it,6.11%,after,5.13%
this,in,6.16%,after,4.71%,of,3.99%
them,of,10.92%,with,6.34%,to,3.87%
as,just,6.26%,soon,2.61%,much,2.61%
were,they,15.48%,you,14.19%,there,6.77%
tell,to,37.62%,and,14.85%,can,9.9%
red,of,8.43%,the,7.23%,as,6.02%
since,ever,29.09%,and,3.64%,home,3.64%
two,the,14.29%,in,7.79%,or,6.49%
went,she,16.9%,i,14.79%,and,9.15%
over,it,7.29%,all,5.47%,come,2.74%
so,was,6.55%,be,4.31%,ever,4.12%
afternoon,the,25.42%,this,25.42%,next,8.47%
house,the,46.67%,your,5.0%,that,5.0%
white,the,18.12%,a,13.04%,of,6.52%
his,in,11.63%,of,10.23%,and,5.58%
have,to,14.71%,would,12.39%,i,11.55%
been,had,40.21%,have,28.87%,has,8.25%
big,a,27.85%,the,20.25%,use,6.33%
he,and,8.67%,when,6.27%,that,5.78%
because,it,2.96%,that,2.22%,me,2.22%
him,to,6.9%,at,5.75%,with,4.6%
evening,the,15.58%,that,15.58%,this,11.69%
before,night,4.55%,it,3.79%,years,3.79%
next,the,43.48%,for,4.35%,back,4.35%
asked,i,19.64%,she,16.07%,and,5.36%
about,all,4.12%,think,4.12%,much,3.78%
here,stay,12.61%,up,7.21%,was,7.21%
three,twins,6.35%,and,4.76%,of,4.76%
day,the,17.44%,that,11.63%,every,11.63%
best,the,42.37%,my,10.17%,very,8.47%
which,of,5.66%,for,2.83%,in,2.83%
going,is,16.77%,was,12.26%,not,12.26%
now,well,22.32%,and,6.44%,just,4.72%
why,anne,7.04%,see,5.63%,me,5.63%
any,of,6.17%,by,4.32%,in,4.32%
might,i,19.77%,she,12.79%,it,11.63%
pretty,a,19.75%,very,8.64%,and,4.94%
home,came,9.93%,going,8.51%,go,6.38%
must,i,27.7%,you,17.57%,it,13.51%
something,was,8.6%,do,6.45%,is,4.3%
