word type,number
everything,110377
adult,2
hate,210
function,63886
normal,number
and,6369
the,4902
i,3278
a,3200
to,2942
it,2334
was,2043
he,1663
of,1658
in,1457
you,1324
that,1074
but,1035
so,960
on,881
up,867
for,852
we,846
all,842
out,826
me,743
him,717
they,706
says,637
got,613
then,595
there,584
no,581
his,554
as,543
with,535
them,515
she,502
said,489
down,484
see,475
had,460
when,429
about,421
what,419
my,413
at,412
well,409
if,406
by,403
come,399
would,399
one,391
do,383
be,366
her,352
jim,349
didn't,344
don't,334
get,333
time,325
or,318
right,301
could,299
is,298
went,294
ain't,290
good,288
over,287
off,285
way,276
go,273
just,273
like,269
old,266
around,264
know,254
de,252
this,251
now,251
en,235
along,234
tom,225
done,224
because,222
back,220
it's,216
couldn't,213
ever,210
going,209
why,207
little,203
man,200
some,200
your,199
never,194
too,194
more,193
say,192
two,192
again,188
how,186
here,184
tell,182
away,181
nothing,181
made,175
have,175
wouldn't,173
take,171
took,169
from,166
make,166
not,164
us,164
pretty,162
before,161
any,159
long,158
nigger,157
king,153
their,153
let,150
want,149
an,146
duke,144
told,144
thing,142
after,142
set,142
where,142
river,141
night,138
give,138
into,137
that's,137
kind,137
put,136
think,136
did,136
can,136
been,135
most,135
till,133
head,125
look,124
people,123
things,119
reckon,119
every,119
raft,118
i'll,117
only,116
town,114
which,114
place,114
enough,112
day,109
other,109
three,108
our,104
first,104
another,103
soon,101
last,99
much,98
very,98
big,95
minute,95
i'd,95
such,95
house,94
run,94
better,94
wanted,94
can't,94
always,94
everybody,92
hear,92
something,90
gone,89
yes,89
huck,88
money,88
next,88
looked,88
chapter,86
than,86
keep,86
anything,85
trouble,84
through,84
bed,82
under,81
heard,81
mile,81
still,80
i'm,80
half,79
he'd,78
hand,77
door,77
side,77
miss,76
dead,76
mind,76
hadn't,76
nobody,76
water,76
laid,75
reckoned,75
found,74
oh,74
hands,72
hain't,72
begun,71
he's,71
mighty,71
dark,70
talk,70
anybody,70
dat,70
maybe,69
myself,69
o,69
men,69
woods,67
these,67
everything,67
thought,67
home,66
work,66
won't,65
left,65
looking,65
comes,65
same,64
canoe,64
em,63
mary,62
coming,61
might,61
must,61
nor,61
dollars,60
are,60
find,59
yet,59
dey,59
room,58
behind,58
use,58
lay,58
young,57
who,57
lot,57
foot,57
there's,57
body,56
aunt,55
will,55
started,55
pap,54
being,54
towards,54
saying,54
judged,52
boy,51
poor,51
easy,51
has,51
fetch,51
while,51
show,51
times,50
git,50
light,50
morning,50
help,50
does,50
struck,50
rest,49
somebody,49
i've,49
getting,48
sally,48
mean,48
whole,48
sometimes,47
world,47
kept,47
niggers,47
anyway,47
sawyer,46
white,46
what's,46
many,46
seen,46
glad,46
five,46
bout,46
you're,46
both,46
er,46
jane,45
uncle,45
piece,45
ten,45
four,45
they'd,45
himself,45
name,44
new,44
bank,43
without,43
feel,43
course,43
island,42
best,42
eyes,42
ready,42
own,42
low,42
turn,42
bad,41
doctor,41
used,41
sight,41
free,41
try,41
days,41
turned,40
widow,40
stand,40
start,40
stood,40
open,40
ben,40
we'll,40
stay,40
chance,40
buck,39
hid,39
six,39
they're,39
blame,39
you'll,39
middle,39
country,38
fool,38
face,38
full,38
couple,38
fetched,37
amongst,37
stopped,37
seem,37
shore,37
breakfast,36
wait,36
though,36
tried,36
sound,36
word,36
across,36
leave,35
slow,35
boat,35
sick,35
awful,35
thinking,35
book,35
year,35
dog,35
killed,35
sure,35
end,35
hundred,35
business,35
front,35
t'other,35
laying,34
family,34
trying,34
read,34
ways,34
clothes,34
considerable,34
hour,34
hold,34
cabin,33
fire,33
asleep,33
thousand,33
called,33
sleep,33
kill,33
idea,33
else,33
black,33
below,33
we'd,33
asked,32
lightning,32
bet,32
lit,32
allowed,32
talking,32
boys,31
judge,31
woman,31
high,31
drunk,31
gun,31
straight,31
eat,31
answer,31
shot,31
log,31
shoved,31
steamboat,31
she'd,31
ll,31
camp,30
window,30
fix,30
dogs,30
doing,30
live,30
makes,30
luck,30
hair,30
comfortable,30
showed,30
talked,30
bit,30
he'll,30
call,29
arms,29
wish,29
you've,29
you'd,29
folks,29
write,29
road,29
second,29
floor,29
life,29
goes,29
steal,29
gentleman,29
hat,28
once,28
watch,28
saw,28
believe,28
horse,28
leg,28
safe,28
runaway,28
quick,27
line,27
round,27
candle,27
