word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,25.13%,the,18.02%,i,3.55%
of,the,20.84%,a,8.57%,it,6.54%
tom,sawyer,19.37%,said,9.01%,he,7.66%
chapter,i,2.44%,ii,2.44%,iii,2.44%
i,was,9.37%,says,5.36%,didn't,3.88%
huck,finn,17.28%,but,6.17%,i,6.17%
miss,watson,31.88%,mary,27.54%,sophia,10.14%
the,king,2.86%,duke,2.57%,river,2.44%
jim,and,8.63%,said,7.74%,was,7.14%
laid,down,12.16%,in,6.76%,him,6.76%
a,little,4.46%,good,2.98%,minute,1.97%
good,and,9.19%,to,6.36%,deal,5.3%
going,to,70.33%,on,6.22%,over,1.91%
over,the,18.88%,and,9.09%,it,5.94%
one,of,22.08%,and,6.23%,side,4.42%
and,the,5.13%,i,4.12%,then,3.95%
he,was,12.16%,said,7.52%,says,7.15%
went,to,21.09%,for,7.14%,on,6.12%
for,the,15.25%,a,11.02%,me,7.63%
to,the,8.16%,be,4.84%,get,4.08%
around,and,15.15%,the,12.5%,there,3.03%
him,and,15.92%,to,7.04%,a,3.38%
in,the,30.93%,a,11.27%,and,5.32%
body,could,15.09%,can,9.43%,would,5.66%
woods,and,26.15%,i,7.69%,on,6.15%
dead,and,10.67%,man,8.0%,people,5.33%
house,and,15.96%,i,8.51%,was,7.45%
find,out,32.2%,it,8.47%,me,8.47%
old,man,19.38%,gentleman,8.14%,fool,3.49%
things,and,15.38%,to,5.98%,that,5.13%
from,the,24.38%,him,5.62%,under,4.38%
time,and,12.46%,i,11.21%,he,5.92%
raft,and,17.09%,was,7.69%,in,4.27%
an,old,24.31%,hour,20.83%,awful,4.17%
up,and,18.54%,the,10.78%,a,5.79%
day,and,18.52%,or,5.56%,i,4.63%
duke,he,12.68%,says,11.27%,and,10.56%
out,of,25.0%,and,11.58%,a,4.68%
at,the,22.72%,last,11.85%,all,8.64%
as,i,10.19%,a,5.93%,much,5.0%
they,was,10.88%,all,4.56%,got,4.41%
town,and,15.93%,a,4.42%,to,4.42%
home,and,22.73%,to,9.09%,so,6.06%
take,a,13.61%,it,12.43%,the,10.65%
is,a,8.54%,the,7.47%,it,6.05%
it,was,16.61%,and,7.51%,i,3.28%
them,and,9.23%,out,3.73%,in,3.34%
king,and,15.33%,he,14.67%,says,6.67%
she,was,16.18%,says,7.56%,said,5.25%
his,head,6.39%,hands,3.65%,own,3.65%
room,and,31.03%,with,5.17%,was,5.17%
money,and,13.95%,i,5.81%,for,5.81%
mary,jane,69.35%,and,6.45%,jane's,6.45%
with,the,16.29%,a,15.72%,his,8.52%
still,and,23.75%,a,7.5%,as,5.0%
like,a,23.97%,that,8.24%,it,7.12%
nigger,and,6.41%,was,4.49%,that,4.49%
pretty,soon,35.62%,well,7.5%,good,6.88%
long,time,13.55%,as,13.55%,and,7.1%
dark,and,27.14%,i,7.14%,we,5.71%
last,i,11.22%,night,8.16%,he,8.16%
bed,and,27.16%,leg,9.88%,but,6.17%
run,off,13.19%,across,9.89%,over,8.79%
aunt,sally,74.55%,polly,20.0%,sally's,5.45%
trouble,and,21.43%,to,7.14%,with,7.14%
hand,and,32.47%,on,10.39%,out,3.9%
away,from,12.92%,and,11.24%,off,6.74%
along,and,16.59%,the,10.04%,down,7.86%
into,the,39.55%,a,12.69%,my,5.97%
pap,and,17.31%,was,11.54%,always,5.77%
way,and,12.96%,to,5.93%,i,5.93%
man,and,7.25%,that,5.7%,he,5.18%
found,a,17.57%,the,16.22%,him,9.46%
