word type,number
everything,33601
adult,1
hate,1
function,18783
normal,number
the,1635
and,1395
a,905
to,879
of,842
i,618
in,565
it,542
was,541
that,473
he,435
you,295
his,280
we,265
for,252
as,251
with,244
had,221
but,220
him,214
all,206
on,206
is,203
at,202
so,194
out,178
my,175
they,168
this,166
be,152
not,146
by,143
there,140
were,129
then,124
one,122
up,122
me,118
no,116
sie,115
an,113
said,110
have,109
what,108
from,105
would,98
ich,98
about,92
do,91
got,91
time,88
now,87
our,83
could,83
or,82
if,81
are,79
them,79
just,78
when,78
some,76
us,76
know,76
well,76
down,74
which,73
been,70
see,69
will,68
any,68
m,68
w,66
good,59
way,59
went,59
how,59
did,58
before,57
oh,57
who,56
can,55
your,55
man,54
over,54
two,54
never,54
made,53
into,53
her,52
cloth,51
such,51
die,51
other,50
war,50
get,50
like,50
sir,50
little,49
thing,49
go,49
very,47
nicht,47
right,44
back,44
first,43
came,43
night,43
come,43
three,43
old,42
again,42
think,42
yes,42
more,41
last,41
ist,41
say,40
mir,40
their,39
only,39
german,38
nothing,38
es,38
here,37
day,37
new,36
long,36
around,36
boy,35
those,34
without,34
through,34
put,34
half,34
too,34
has,33
life,33
every,33
geo,33
why,32
full,32
moment,31
upon,31
course,31
after,31
told,31
away,30
where,30
off,30
look,30
along,29
mind,28
its,28
something,28
anything,28
s,28
dear,28
du,28
these,27
make,27
place,27
found,27
under,27
things,27
pages,27
done,26
same,26
took,26
began,26
young,25
she,25
das,25
than,24
must,24
dark,24
most,24
end,24
enough,24
presently,24
himself,24
face,24
once,24
soon,24
find,24
thought,23
mean,23
take,23
next,23
general,23
going,23
sich,23
sheep,23
kind,22
heard,22
men,22
ever,22
name,22
world,22
sure,22
another,22
while,22
till,22
home,22
talk,22
tell,22
poor,22
myself,21
rest,21
times,21
keep,21
letter,21
gr,21
morocco,21
people,20
much,20
hand,20
seemed,20
gone,20
years,20
set,20
left,20
four,20
still,20
always,20
let,20
b,20
own,19
great,19
should,19
light,19
give,19
knew,19
hundred,19
eyes,19
zu,19
each,18
sent,18
lightning,18
military,18
tried,18
days,18
mr,18
being,18
couple,18
thompson,18
der,18
dich,18
called,17
gun,17
gave,17
horse,17
nobody,17
camp,17
best,17
paper,17
changed,17
annie,17
mein,17
p,17
fact,16
among,16
front,16
work,16
matter,16
country,16
box,16
want,16
shall,16
enter,16
wir,16
deal,15
better,15
may,15
few,15
several,15
also,15
together,15
morning,15
heart,15
house,15
getting,15
guns,15
colonel,15
everything,15
turned,15
anybody,15
door,15
whole,15
stand,15
does,15
believe,15
room,15
speak,15
book,15
isaac,15
george,15
many,14
history,14
union,14
because,14
however,14
yet,14
play,14
might,14
head,14
hands,14
both,14
girls,14
saw,14
am,14
says,14
sound,13
storm,13
boys,13
bed,13
toward,13
throw,13
shut,13
against,13
stay,13
language,13
lost,13
pause,13
pretty,13
idea,13
fort,13
r,13
den,13
er,13
illustrations,13
started,12
sort,12
months,12
hard,12
father,12
whom,12
far,12
looked,12
bowers,12
sergeant,12
word,12
sat,12
body,12
low,12
fell,12
ordered,12
g,12
enemy,12
doing,12
hear,12
stood,12
uniform,12
near,12
reckon,12
em,12
etc,12
mark,11
during,11
town,11
ago,11
writing,11
english,11
battle,11
hour,11
kept,11
hot,11
except,11
use,11
large,11
try,11
question,11
answer,11
perfectly,11
saying,11
ready,11
business,11
inside,11
hold,11
harm,11
dead,11
field,11
truth,11
brought,11
read,11
per,11
chair,11
des,11
case,11
herr,11
volume,11
until,10
company,10
story,10
experience,10
mrs,10
fifty,10
captain,10
french,10
change,10
interest,10
reached,10
act,10
command,10
corn,10
even,10
asked,10
between,10
fire,10
words,10
everybody,10
seem,10
coming,10
water,10
show,10
thunder,10
child,10
since,10
awful,10
sweet,10
voice,10
ink,10
prophets,10
ah,10
margaret,10
hat,10
im,10
frau,10
memoirs,10
l,9
stories,9
private,9
state,9
later,9
rebel,9
mine,9
held,9
broke,9
small,9
remember,9
given,9
wanted,9
wait,9
learned,9
struck,9
simply,9
point,9
miles,9
person,9
soldiers,9
open,9
line,9
piece,9
quarters,9
learn,9
part,9
spy,9
sleep,9
orders,9
death,9
order,9
born,9
short,9
goes,9
regiment,9
subject,9
baal,9
stable,9
morgen,9
ja,9
illustrated,9
d,9
twain,8
cents,8
york,8
fair,8
news,8
son,8
ourselves,8
quite,8
love,8
waited,8
stevens,8
account,8
killed,8
london,8
farm,8
effect,8
silence,8
behind,8
friend,8
quick,8
legs,8
bit,8
fall,8
result,8
sharp,8
simple,8
hair,8
ask,8
road,8
feel,8
master,8
soul,8
themselves,8
big,8
conversation,8
send,8
minutes,8
silent,8
hardly,8
white,8
station,8
train,8
outside,8
woman,8
alone,8
easy,8
please,8
string,8
tongue,8
o,8
sind,8
nach,8
dem,8
bitte,8
nur,8
bin,8
eine,8
nein,8
steel,8
american,7
entered,7
ought,7
south,7
family,7
became,7
fellow,7
spirit,7
fifteen,7
region,7
grateful,7
twenty,7
stillness,7
talking,7
guard,7
five,7
plan,7
cold,7
plain,7
shot,7
bible,7
position,7
seen,7
trouble,7
dropped,7
present,7
true,7
turn,7
trying,7
others,7
meant,7
weeks,7
begin,7
felt,7
reason,7
seems,7
invented,7
car,7
cheese,7
t,7
stopped,7
neither,7
names,7
fool,7
russian,7
letters,7
von,7
mit,7
um,7
muss,7
leben,7
fancy,6
series,6
merry,6
tales,6
amount,6
allowed,6
least,6
call,6
died,6
means,6
army,6
money,6
tom,6
second,6
singing,6
rain,6
written,6
named,6
camps,6
nature,6
ones,6
foot,6
deep,6
feeling,6
hours,6
mixed,6
closed,6
mile,6
crib,6
whenever,6
asleep,6
mistake,6
year,6
late,6
happy,6
circumstances,6
slipped,6
hill,6
top,6
straight,6
run,6
gentleman,6
picket,6
hurried,6
foolish,6
followed,6
lay,6
waiting,6
received,6
surprise,6
within,6
appeared,6
thinking,6
watch,6
hurt,6
almost,6
help,6
imagination,6
wife,6
six,6
recruits,6
seeing,6
side,6
condition,6
care,6
card,6
described,6
window,6
knows,6
likely,6
worth,6
else,6
leave,6
chance,6
pity,6
answered,6
evidently,6
happened,6
girl,6
matters,6
praying,6
usual,6
match,6
spies,6
bless,6
lips,6
landing,6
hotel,6
e,6
musicians,6
post,6
boots,6
sing,6
holy,6
confess,6
sentence,6
conspirators,6
catch,6
department,6
close,6
lie,6
cats,6
herself,6
fait,6
als,6
laden,6
lovely,6
gut,6
ach,6
exit,6
danke,6
sei,6
nie,6
uns,6
hund,6
contains,6
edition,6
binding,6
portrait,6
sketches,5
satisfied,5
mainly,5
whose,5
aside,5
presence,5
march,5
grant,5
mississippi,5
strong,5
eye,5
owned,5
mere,5
impulse,5
atmosphere,5
orleans,5
bad,5
following,5
missouri,5
lieutenant,5
innocent,5
perhaps,5
ignorant,5
nearly,5
known,5
forty,5
explanation,5
ours,5
midnight,5
details,5
knock,5
cry,5
really,5
directions,5
corner,5
ten,5
equal,5
speech,5
pleasant,5
prairie,5
noon,5
arrive,5
mule,5
believed,5
afterward,5
office,5
making,5
talked,5
perfect,5
guess,5
arms,5
dogs,5
fine,5
bring,5
land,5
wind,5
indeed,5
wild,5
hope,5
sight,5
taken,5
impossible,5
natural,5
broken,5
h,5
harris,5
modify,5
grip,5
comfortable,5
crept,5
wall,5
caught,5
somebody,5
sorts,5
personal,5
intended,5
save,5
adventures,5
style,5
band,5
need,5
instant,5
air,5
dumb,5
tears,5
afraid,5
stove,5
twice,5
thrust,5
facts,5
cap,5
finally,5
break,5
stands,5
spent,5
nor,5
lord,5
clergyman,5
comes,5
stock,5
protect,5
betray,5
clear,5
sets,5
king,5
altar,5
ashamed,5
walk,5
sudden,5
clothes,5
spoke,5
captured,5
uncle,5
sake,5
morrow,5
either,5
beginning,5
determined,5
possible,5
snatched,5
past,5
instructions,5
reply,5
auf,5
wo,5
oder,5
scene,5
il,5
live,5
ob,5
sh,5
gar,5
hast,5
dir,5
covers,5
fiction,4
volumes,4
bound,4
webster,4
charles,4
note,4
desire,4
material,4
foreign,4
fashion,4
law,4
works,4
title,4
biographical,4
method,4
campaign,4
curious,4
explain,4
confusion,4
minds,4
instance,4
mate,4
wrong,4
negro,4
share,4
shouting,4
jackson,4
calling,4
thousand,4
militia,4
county,4
secret,4
sample,4
write,4
mud,4
courage,4
cat,4
entirely,4
serious,4
thoughts,4
soft,4
harmless,4
anyway,4
necessary,4
woods,4
influence,4
approached,4
report,4
actual,4
follow,4
rough,4
safe,4
movement,4
success,4
become,4
glory,4
doubt,4
cause,4
straightway,4
romantic,4
sugar,4
troughs,4
trees,4
served,4
farmers,4
horses,4
difficulty,4
ears,4
sit,4
game,4
carry,4
saddle,4
biting,4
sun,4
bite,4
black,4
already,4
blood,4
serve,4
cook,4
wood,4
rank,4
probably,4
tied,4
invention,4
support,4
attention,4
suggestive,4
smothered,4
considerable,4
nine,4
soldier,4
concerning,4
cost,4
forth,4
capture,4
hang,4
mouth,4
misery,4
itself,4
breakfast,4
naturally,4
twelve,4
places,4
weather,4
village,4
midst,4
surprised,4
imagine,4
relief,4
none,4
faces,4
start,4
neighborhood,4
having,4
forced,4
crack,4
muffled,4
abroad,4
rather,4
stranger,4
strangers,4
desperate,4
