word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,22.46%,and,10.87%,a,5.8%
and,the,4.81%,i,3.08%,then,2.7%
the,war,1.41%,other,1.29%,rest,1.29%
this,is,8.12%,was,6.25%,time,5.62%
was,a,13.52%,not,4.57%,in,3.43%
from,the,23.0%,a,6.0%,all,4.0%
made,up,15.09%,a,15.09%,of,7.55%
his,face,3.77%,own,3.02%,eyes,3.02%
to,the,8.09%,be,6.54%,me,3.21%
in,the,27.19%,a,11.36%,his,4.84%
all,the,11.34%,about,4.12%,of,3.61%
or,three,12.66%,two,8.86%,a,5.06%
on,the,29.74%,a,7.69%,his,6.15%
of,the,20.88%,a,6.88%,his,4.0%
had,been,13.18%,a,7.27%,to,5.0%
our,midst,4.94%,own,2.47%,course,2.47%
with,a,15.04%,the,14.6%,his,7.08%
for,the,15.81%,a,10.26%,him,4.7%
a,good,2.25%,moment,2.25%,little,2.14%
time,and,13.95%,to,10.47%,as,6.98%
at,the,22.87%,last,11.7%,it,5.85%
been,a,9.09%,made,4.55%,done,3.03%
have,been,15.74%,you,6.48%,the,4.63%
good,deal,18.64%,and,6.78%,natured,5.08%
way,to,14.04%,it,7.02%,he,7.02%
now,and,9.33%,i,8.0%,but,6.67%
that,the,7.45%,was,5.87%,is,5.42%
it,was,17.81%,is,6.07%,and,4.25%
as,i,12.18%,the,7.56%,a,7.14%
will,be,17.19%,do,6.25%,tell,4.69%
not,know,8.97%,a,5.52%,to,3.45%
but,the,9.36%,he,8.37%,it,7.39%
such,a,50.98%,as,5.88%,an,5.88%
be,a,4.79%,in,3.42%,so,2.74%
no,sir,4.85%,more,3.88%,use,3.88%
can,be,9.09%,i,5.45%,they,5.45%
are,you,12.0%,in,6.67%,to,4.0%
an,old,5.77%,idea,4.81%,order,3.85%
some,of,10.96%,other,4.11%,time,4.11%
before,he,14.04%,the,10.53%,and,8.77%
us,to,13.7%,and,8.22%,in,5.48%
who,had,14.55%,is,10.91%,did,5.45%
so,we,9.38%,i,8.75%,he,6.25%
you,know,7.92%,are,6.79%,see,5.66%
did,not,45.45%,we,5.45%,you,5.45%
is,the,14.8%,a,5.1%,to,4.59%
one,of,22.61%,day,6.09%,thing,5.22%
out,of,31.98%,and,10.47%,to,4.07%
do,you,25.27%,not,15.38%,it,8.79%
got,to,23.33%,a,10.0%,the,8.89%
just,as,12.16%,a,4.05%,the,4.05%
then,i,9.32%,the,8.47%,we,8.47%
they,were,12.14%,are,9.29%,would,6.43%
which,was,12.5%,i,12.5%,had,5.56%
there,was,32.03%,were,7.03%,in,6.25%
i,was,10.11%,said,5.5%,had,5.5%
when,he,20.78%,i,12.99%,they,10.39%
my,heart,3.51%,poor,3.51%,boy,3.51%
he,was,16.63%,had,9.88%,would,4.34%
would,be,15.46%,not,7.22%,have,7.22%
me,that,7.89%,a,5.26%,to,4.39%
any,way,7.58%,harm,7.58%,other,6.06%
said,he,10.1%,i,9.09%,to,8.08%
if,he,20.55%,you,20.55%,i,17.81%
could,not,16.05%,have,9.88%,be,9.88%
went,to,18.64%,on,8.47%,out,5.08%
we,were,12.3%,had,11.51%,could,5.16%
were,in,4.65%,not,3.88%,all,3.88%
into,the,32.08%,a,16.98%,my,7.55%
know,it,8.82%,what,7.35%,the,7.35%
well,i,20.59%,sir,8.82%,as,5.88%
how,to,12.96%,long,9.26%,the,5.56%
see,the,13.43%,that,10.45%,how,7.46%
him,and,10.1%,to,9.62%,he,4.81%
them,to,10.39%,and,7.79%,out,6.49%
about,the,20.69%,it,10.34%,a,5.75%
down,and,16.44%,to,8.22%,the,8.22%
up,and,17.65%,the,11.76%,a,6.72%
what,is,9.9%,do,8.91%,does,6.93%
two,or,19.61%,of,9.8%,then,7.84%
never,mind,7.69%,did,5.77%,had,5.77%
sie,mir,17.86%,sich,14.29%,nicht,10.71%
