word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,11.51%,it,4.32%,down,2.88%
the,of,10.62%,in,9.29%,to,4.33%
at,out,3.12%,look,3.12%,looked,2.08%
was,it,17.02%,he,13.35%,i,11.03%
from,away,6.8%,or,2.91%,out,2.91%
made,he,11.54%,was,9.62%,i,7.69%
and,it,1.56%,him,1.56%,up,1.56%
his,of,11.68%,in,9.49%,with,5.84%
to,began,2.73%,got,2.5%,him,2.38%
be,to,39.29%,would,10.71%,will,7.86%
in,was,3.39%,it,2.64%,there,1.51%
all,and,7.98%,was,5.85%,of,3.72%
or,two,12.35%,three,3.7%,stone,2.47%
on,back,3.48%,so,3.48%,put,2.99%
of,out,6.7%,one,3.17%,full,1.83%
this,of,8.86%,for,5.06%,in,4.43%
had,he,20.0%,i,15.12%,we,14.15%
our,in,17.28%,of,8.64%,all,4.94%
with,uniform,3.4%,up,2.55%,it,2.55%
for,there,2.45%,out,2.04%,sent,2.04%
a,was,8.62%,in,7.4%,of,6.67%
time,a,13.79%,the,13.79%,this,10.34%
been,had,44.62%,have,26.15%,has,13.85%
have,to,12.5%,i,10.42%,could,8.33%
good,a,37.25%,no,5.88%,of,5.88%
way,the,25.42%,this,8.47%,any,8.47%
now,but,4.76%,it,3.57%,had,2.38%
that,and,4.79%,of,4.58%,to,2.18%
it,of,5.95%,that,3.07%,but,2.88%
as,and,4.88%,soon,3.66%,just,3.66%
will,i,30.16%,it,11.11%,you,9.52%
not,did,18.12%,was,17.39%,do,10.14%
but,it,3.77%,now,2.36%,was,1.89%
no,was,12.5%,had,7.69%,and,6.73%
can,i,22.22%,you,14.81%,they,7.41%
are,you,23.38%,they,16.88%,we,11.69%
an,of,7.69%,was,7.69%,to,5.77%
some,for,5.41%,and,5.41%,had,5.41%
before,and,9.09%,as,7.27%,die,5.45%
us,of,13.33%,for,9.33%,among,8.0%
who,and,11.76%,one,7.84%,people,5.88%
so,and,14.11%,be,2.45%,was,1.84%
you,do,8.91%,if,5.81%,are,3.49%
did,i,19.3%,we,14.04%,he,8.77%
is,it,15.96%,that,12.77%,he,8.51%
one,in,5.22%,to,4.35%,of,3.48%
out,find,4.02%,it,4.02%,go,3.45%
do,to,20.48%,i,16.87%,what,10.84%
got,i,23.19%,and,13.04%,we,13.04%
just,he,8.2%,is,8.2%,and,6.56%
then,and,29.51%,two,3.28%,it,2.46%
they,so,5.77%,and,5.77%,when,5.13%
which,of,5.63%,orders,2.82%,letter,2.82%
there,and,10.69%,that,5.34%,but,3.82%
i,and,6.93%,as,4.9%,that,3.21%
when,and,7.79%,him,3.9%,time,3.9%
he,and,6.28%,that,5.31%,but,4.11%
would,he,18.56%,it,14.43%,they,9.28%
me,to,23.28%,dear,5.17%,tell,4.31%
any,to,9.43%,had,7.55%,in,5.66%
my,of,7.56%,to,6.98%,in,6.4%
said,i,29.52%,he,15.24%,and,14.29%
if,and,13.16%,that,11.84%,as,9.21%
could,i,24.39%,we,15.85%,he,13.41%
went,he,19.3%,and,12.28%,we,12.28%
we,so,5.86%,then,3.91%,and,3.91%
were,we,24.41%,they,13.39%,there,7.09%
into,come,5.66%,ourselves,3.77%,go,3.77%
know,you,36.84%,not,22.81%,i,15.79%
well,a,7.69%,very,6.15%,as,4.62%
how,see,9.09%,and,7.27%,know,7.27%
see,to,31.75%,you,23.81%,and,11.11%
him,to,6.73%,with,5.77%,for,5.29%
them,of,25.0%,to,5.26%,on,2.63%
over,all,11.32%,and,5.66%,from,3.77%
about,all,8.89%,was,4.44%,and,3.33%
down,sat,9.72%,and,6.94%,sit,5.56%
up,made,6.72%,it,5.04%,put,2.52%
what,and,9.38%,is,5.21%,know,5.21%
two,or,13.46%,the,13.46%,those,7.69%
your,of,11.32%,on,7.55%,up,3.77%
