word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,26.62%,a,8.01%,my,4.76%
and,i,6.81%,the,6.74%,my,2.52%
or,the,8.14%,if,4.07%,death,3.49%
the,same,1.5%,most,1.35%,cottage,0.99%
you,are,7.58%,will,7.23%,have,5.64%
will,be,15.46%,not,12.37%,i,3.09%
to,the,9.22%,me,5.84%,my,4.73%
that,i,19.9%,the,6.37%,he,5.57%
no,longer,9.94%,one,7.6%,more,4.09%
has,been,20.63%,a,7.94%,just,4.76%
of,the,20.47%,my,10.56%,a,4.5%
an,end,3.83%,old,3.35%,air,3.35%
which,i,26.75%,he,5.21%,had,5.21%
have,been,14.25%,no,3.29%,a,2.74%
with,the,13.7%,a,10.39%,my,3.61%
such,a,22.09%,as,12.79%,were,6.98%
i,was,7.92%,had,7.71%,am,3.94%
my,father,4.08%,own,3.16%,heart,2.82%
first,time,7.41%,i,5.56%,saw,5.56%
is,not,5.9%,the,5.25%,a,5.25%
dear,victor,14.08%,to,8.45%,sister,7.04%
in,the,23.35%,my,11.32%,a,8.65%
am,i,7.2%,not,4.8%,now,4.0%
as,i,19.19%,the,11.52%,a,8.45%
a,few,3.94%,thousand,1.75%,man,1.6%
upon,the,24.39%,me,20.33%,my,11.38%
me,and,10.94%,to,8.5%,i,6.98%
do,not,46.55%,you,22.41%,i,8.62%
this,was,4.49%,i,3.74%,time,2.74%
from,the,28.04%,my,12.43%,a,4.5%
towards,the,36.17%,me,11.7%,my,7.45%
those,of,12.09%,who,9.89%,whom,4.4%
more,than,10.98%,deeply,3.66%,i,3.05%
be,the,6.98%,a,3.35%,happy,2.79%
it,was,25.32%,is,12.66%,and,4.04%
ever,been,5.95%,since,5.95%,and,4.76%
there,was,32.05%,is,20.51%,to,5.13%
for,the,17.08%,ever,7.61%,a,7.0%
its,own,4.1%,inhabitants,4.1%,progress,3.28%
your,own,4.82%,father,2.01%,fellow,2.01%
some,time,8.16%,of,5.44%,degree,5.44%
are,not,5.14%,you,5.14%,my,3.43%
over,the,36.84%,me,17.54%,my,15.79%
we,were,8.62%,are,6.32%,have,5.75%
may,be,17.89%,not,7.37%,have,4.21%
every,day,6.48%,other,5.56%,one,4.63%
on,the,32.53%,my,6.99%,a,5.9%
what,i,17.56%,a,6.87%,had,6.11%
not,to,4.16%,be,3.56%,the,1.98%
country,and,13.21%,we,7.55%,but,5.66%
only,to,8.2%,one,4.1%,a,3.28%
their,melancholy,1.67%,native,1.67%,own,1.67%
shall,be,13.46%,i,10.58%,not,8.65%
never,saw,7.25%,before,5.8%,to,4.35%
before,i,13.01%,the,11.64%,my,9.59%
man,i,9.85%,and,6.82%,who,5.3%
these,feelings,6.58%,were,5.26%,are,3.95%
they,were,16.1%,had,7.8%,are,6.34%
all,the,18.27%,that,9.14%,my,8.63%
death,of,19.23%,and,10.26%,i,8.97%
when,i,38.23%,he,10.09%,the,7.03%
he,had,10.82%,was,7.65%,is,3.99%
little,boat,3.51%,happiness,3.51%,creature,3.51%
his,own,3.23%,eyes,3.04%,countenance,1.9%
up,in,15.71%,the,10.0%,and,10.0%
but,i,18.06%,the,7.05%,it,5.29%
at,the,25.83%,first,8.94%,length,8.28%
so,long,5.26%,much,4.78%,many,4.31%
many,months,11.76%,hours,10.29%,years,7.35%
if,i,20.21%,you,17.62%,it,6.74%
can,i,17.2%,be,5.38%,you,5.38%
heart,and,12.35%,i,11.11%,but,4.94%
mind,and,10.59%,i,10.59%,that,7.06%
been,the,7.94%,my,5.29%,so,3.7%
made,me,22.86%,a,7.14%,for,5.71%
our,house,4.76%,union,4.76%,own,3.17%
was,a,5.21%,the,5.21%,to,3.83%
yet,i,16.56%,when,5.96%,still,3.31%
were,not,3.9%,the,3.57%,my,3.25%
day,and,8.75%,when,7.5%,was,5.0%
night,i,11.36%,and,10.23%,before,6.82%
them,to,10.24%,and,9.45%,but,7.09%
had,been,11.81%,not,3.79%,taken,2.92%
felt,as,15.19%,the,15.19%,a,8.86%
life,and,9.73%,i,7.96%,or,4.42%
time,i,18.37%,and,6.12%,that,5.1%
also,the,7.58%,was,4.55%,might,3.03%
became,more,9.84%,a,6.56%,the,6.56%
one,of,19.29%,another,4.06%,day,3.55%
own,heart,5.66%,mind,4.72%,when,2.83%
might,be,17.59%,have,12.96%,not,5.56%
where,i,23.38%,the,20.78%,he,9.09%
how,can,9.68%,the,7.53%,many,3.23%
into,the,39.52%,a,12.1%,my,8.87%
passed,the,13.43%,in,11.94%,a,11.94%
even,now,16.13%,to,9.68%,in,7.53%
now,i,5.19%,that,5.19%,and,3.25%
myself,to,14.07%,in,7.41%,i,5.19%
several,hours,15.69%,months,7.84%,days,7.84%
often,when,7.41%,asked,3.7%,did,3.7%
than,the,13.89%,i,9.26%,that,8.33%
during,the,32.84%,my,19.4%,this,8.96%
must,be,15.62%,have,6.25%,i,6.25%
did,not,59.66%,i,13.45%,the,4.2%
would,be,13.59%,have,11.96%,not,8.7%
about,to,18.87%,the,13.21%,five,9.43%
sometimes,i,21.67%,he,6.67%,to,5.0%
most,of,6.82%,miserable,5.68%,beautiful,4.55%
among,the,49.02%,them,7.84%,its,7.84%
who,had,12.64%,was,9.2%,would,6.32%
until,the,21.15%,i,15.38%,he,7.69%
again,i,8.43%,to,7.23%,with,4.82%
soon,as,19.72%,after,11.27%,perceived,4.23%
love,and,25.42%,you,8.47%,for,5.08%
whom,i,56.96%,the,7.59%,you,7.59%
friend,i,8.57%,that,5.71%,and,5.71%
could,not,27.04%,have,5.61%,i,5.61%
eyes,and,12.5%,were,6.73%,of,5.77%
like,a,38.1%,the,14.29%,that,7.94%
still,more,8.82%,remained,4.41%,i,4.41%
thought,of,24.66%,that,20.55%,was,6.85%
feelings,of,18.42%,and,9.21%,were,7.89%
human,being,24.14%,beings,12.07%,nature,6.9%
nature,and,13.21%,but,7.55%,of,5.66%
him,to,12.22%,and,10.41%,as,4.52%
very,ill,6.67%,little,5.33%,probable,2.67%
heard,the,25.81%,of,17.74%,that,9.68%
being,the,5.26%,to,5.26%,i,5.26%
her,and,4.04%,father,2.7%,to,2.7%
father,and,9.91%,had,7.21%,of,4.5%
saw,the,23.4%,a,8.51%,him,8.51%
she,was,13.44%,had,10.67%,is,3.95%
same,time,9.68%,manner,4.84%,feelings,3.23%
then,i,8.41%,the,4.67%,was,2.8%
found,that,26.44%,a,13.79%,myself,8.05%
while,i,29.41%,the,13.24%,my,7.35%
should,be,16.34%,have,10.46%,i,4.58%
after,the,25.64%,having,10.26%,my,7.69%
few,minutes,11.48%,moments,8.2%,months,8.2%
us,but,11.67%,and,10.0%,to,6.67%
although,i,24.53%,they,11.32%,the,11.32%
thus,i,14.29%,far,4.76%,but,3.17%
place,in,15.62%,of,9.38%,and,9.38%
any,other,14.46%,of,6.02%,exertion,3.61%
other,times,4.0%,human,2.67%,and,2.67%
appeared,to,35.09%,at,7.02%,a,3.51%
said,he,13.86%,this,9.9%,i,7.92%
indeed,i,12.5%,a,8.93%,be,3.57%
misery,and,15.09%,i,13.21%,which,7.55%
friends,and,13.21%,i,9.43%,whom,7.55%
elizabeth,and,13.25%,my,8.43%,i,6.02%
miserable,and,7.81%,as,4.69%,wretch,4.69%
cottage,and,19.61%,of,11.76%,the,5.88%
