word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,4.09%,surrounded,1.94%,overcome,1.94%
or,life,2.89%,happiness,1.73%,me,1.73%
the,of,12.66%,in,6.3%,and,4.76%
will,i,24.74%,you,21.58%,it,3.16%
to,me,3.52%,was,1.88%,and,1.59%
that,and,3.58%,found,2.29%,me,1.89%
no,had,7.56%,have,6.98%,of,2.91%
has,he,16.39%,that,4.92%,which,3.28%
of,one,1.44%,part,0.99%,that,0.76%
an,with,9.05%,of,8.57%,in,6.19%
which,of,5.11%,in,4.74%,on,2.74%
you,to,6.37%,if,6.02%,that,5.66%
have,i,29.95%,you,8.79%,to,8.24%
with,me,7.85%,acquainted,2.42%,and,1.96%
such,with,8.33%,of,7.14%,in,5.95%
i,and,7.13%,that,7.13%,which,5.31%
and,me,3.21%,him,0.78%,it,0.75%
my,of,15.41%,in,7.2%,to,5.55%
first,the,32.41%,at,25.0%,my,14.81%
is,it,22.92%,he,7.97%,there,5.32%
dear,my,43.66%,and,4.23%,so,4.23%
in,and,3.21%,me,2.58%,was,1.69%
am,i,88.89%,and,2.38%,why,1.59%
as,me,5.56%,but,3.26%,soon,2.68%
a,of,8.45%,in,7.06%,with,5.03%
upon,looked,7.94%,pressed,3.97%,effect,2.38%
me,to,14.04%,upon,2.9%,with,2.78%
do,i,24.35%,and,8.7%,you,6.96%
this,of,11.14%,in,8.61%,by,3.54%
from,me,6.05%,away,1.58%,letter,1.32%
towards,directed,4.26%,kindness,3.19%,journey,3.19%
those,of,20.88%,to,8.79%,with,5.49%
more,a,9.94%,and,5.59%,the,4.97%
be,to,25.56%,will,8.43%,should,7.02%
it,but,6.64%,as,4.43%,that,3.87%
ever,for,44.05%,had,11.9%,i,4.76%
there,but,8.97%,and,5.13%,for,3.85%
for,me,2.42%,and,1.61%,was,1.41%
its,of,18.85%,in,8.2%,and,5.74%
your,of,18.65%,to,6.75%,in,6.35%
some,for,11.64%,of,10.27%,in,7.53%
are,you,24.71%,they,7.47%,we,6.32%
over,came,7.14%,hung,7.14%,power,5.36%
we,and,7.06%,as,5.88%,which,2.94%
may,you,25.25%,i,21.21%,it,8.08%
every,and,9.17%,to,8.26%,of,5.5%
on,me,2.86%,and,2.64%,gazed,1.76%
what,of,11.72%,me,3.91%,in,3.91%
not,did,14.0%,do,10.65%,could,10.45%
country,native,27.78%,the,16.67%,his,9.26%
only,the,8.94%,my,5.69%,and,5.69%
their,of,13.74%,in,9.89%,and,6.04%
shall,i,42.72%,we,7.77%,you,6.8%
never,i,17.65%,had,7.35%,have,5.88%
before,had,8.97%,night,4.14%,never,2.76%
man,old,24.24%,of,18.18%,a,16.67%
these,of,16.56%,in,7.28%,by,5.3%
they,and,7.35%,when,6.86%,as,6.37%
all,of,6.15%,and,6.15%,with,4.1%
death,the,14.29%,and,11.69%,to,10.39%
when,and,9.29%,but,7.12%,yet,2.79%
he,that,9.36%,when,5.52%,which,4.85%
little,a,27.59%,of,10.34%,the,8.62%
his,of,16.17%,in,5.83%,and,5.64%
up,swallowed,5.71%,shut,4.29%,breaking,2.86%
but,me,3.4%,him,1.33%,them,1.33%
at,and,4.13%,arrived,3.81%,was,2.54%
so,was,4.83%,not,3.86%,been,3.38%
many,so,13.24%,for,13.24%,and,7.35%
if,as,16.23%,and,9.42%,that,7.33%
can,i,12.09%,how,9.89%,one,4.4%
heart,my,61.25%,the,10.0%,own,7.5%
mind,my,41.18%,of,8.24%,the,7.06%
been,had,42.63%,have,27.37%,has,6.84%
made,have,10.0%,and,8.57%,that,8.57%
our,of,20.8%,to,6.4%,in,5.6%
was,i,22.61%,it,13.87%,he,4.62%
yet,and,6.71%,not,4.7%,was,2.68%
were,they,10.93%,we,4.97%,it,4.97%
day,the,32.91%,every,8.86%,one,8.86%
night,the,35.23%,that,5.68%,of,5.68%
them,of,7.87%,with,3.94%,to,3.94%
had,i,32.44%,he,9.63%,which,4.3%
felt,i,62.5%,he,3.75%,have,2.5%
life,of,23.21%,my,16.96%,to,7.14%
time,some,12.24%,this,11.22%,first,8.16%
also,i,10.77%,was,6.15%,you,6.15%
became,i,23.33%,he,6.67%,it,6.67%
one,no,6.44%,to,5.94%,in,5.45%
own,my,51.4%,his,15.89%,your,11.21%
might,i,32.41%,he,6.48%,they,5.56%
where,spot,10.81%,room,8.11%,place,6.76%
how,and,9.68%,me,4.3%,but,4.3%
into,me,6.5%,enter,4.07%,myself,4.07%
passed,i,13.43%,had,13.43%,we,10.45%
even,and,12.77%,not,4.26%,or,4.26%
now,i,16.13%,even,9.68%,and,9.03%
myself,found,5.19%,to,2.96%,threw,2.96%
several,for,19.61%,the,7.84%,of,5.88%
often,i,22.64%,had,5.66%,how,5.66%
than,more,16.36%,greater,2.73%,sooner,1.82%
during,reflections,3.03%,remained,3.03%,was,3.03%
must,i,39.06%,you,17.19%,we,4.69%
did,i,33.05%,he,6.78%,why,6.78%
would,i,12.57%,which,6.56%,who,6.01%
about,was,16.98%,am,7.55%,at,3.77%
sometimes,and,15.25%,me,11.86%,but,3.39%
most,the,63.64%,a,6.82%,i,4.55%
who,those,5.62%,man,4.38%,i,3.75%
until,me,5.77%,hours,3.85%,sail,1.92%
again,i,8.43%,me,6.02%,and,6.02%
soon,as,11.27%,so,11.27%,i,8.45%
love,of,13.56%,i,10.17%,my,10.17%
whom,to,13.33%,on,6.67%,those,5.33%
friend,my,42.86%,a,11.43%,no,4.29%
could,i,39.49%,he,5.64%,nothing,4.62%
eyes,my,45.1%,his,15.69%,her,5.88%
like,me,6.35%,another,6.35%,not,4.76%
still,was,8.82%,yet,7.35%,i,7.35%
thought,i,49.32%,have,5.48%,the,4.11%
feelings,my,17.33%,the,14.67%,these,13.33%
human,the,20.69%,a,17.24%,of,15.52%
nature,of,26.42%,my,9.43%,human,7.55%
him,to,8.18%,with,5.0%,on,4.09%
very,the,16.0%,a,14.67%,was,12.0%
heard,i,35.48%,had,9.68%,he,8.06%
being,human,14.43%,the,9.28%,a,7.22%
her,of,12.97%,to,6.76%,and,5.14%
father,my,64.55%,her,9.09%,the,7.27%
saw,i,48.94%,he,7.45%,we,7.45%
she,that,7.57%,but,5.98%,when,5.58%
same,the,98.41%,that,1.59%
then,and,30.56%,i,11.11%,he,5.56%
found,i,42.35%,he,8.24%,and,5.88%
while,that,5.88%,and,4.41%,me,2.94%
should,i,46.67%,he,8.67%,they,2.67%
after,and,12.82%,soon,10.26%,immediately,3.85%
few,a,88.52%,the,3.28%,to,1.64%
us,to,25.0%,of,5.0%,let,5.0%
although,and,18.87%,that,5.66%,it,3.77%
thus,and,11.48%,was,8.2%,passed,6.56%
place,taken,20.31%,take,10.94%,a,10.94%
any,of,10.71%,to,7.14%,with,5.95%
other,the,16.0%,any,16.0%,each,12.0%
appeared,he,12.5%,and,8.93%,she,7.14%
said,he,21.21%,i,11.11%,and,10.1%
indeed,was,17.86%,and,8.93%,had,7.14%
