word type,number
everything,4902
adult,0
hate,0
function,2675
normal,number
the,217
to,157
a,125
he,118
and,109
of,86
was,85
in,83
it,71
for,49
that,49
sam,49
had,47
be,46
you,46
his,44
i,42
on,37
as,37
but,36
time,34
there,33
him,29
this,28
with,27
have,26
from,25
what,24
not,23
or,23
your,23
out,22
one,22
we,22
would,21
them,20
all,20
office,19
wilson,19
been,19
up,19
building,19
if,18
just,18
is,18
do,17
they,17
no,17
said,17
now,16
going,16
enough,16
by,15
at,15
could,15
back,15
my,15
any,13
first,13
here,13
so,13
i'm,13
day,12
like,12
new,12
something,12
another,12
about,12
letter,11
mail,11
their,11
couldn't,11
make,11
letters,11
years,11
old,11
who,11
elevator,11
k,11
which,11
can,11
me,11
himself,10
very,10
mollie,10
wasn't,10
well,10
will,10
every,10
after,10
then,10
don't,10
nor,9
nothing,9
long,9
were,9
down,9
name,9
between,9
an,9
got,9
those,9
mr,9
our,9
science,8
find,8
before,8
some,8
phone,8
own,8
how,8
that's,8
see,8
oh,8
fiction,7
post,7
night,7
course,7
take,7
last,7
get,7
other,7
knew,7
never,7
know,7
he'd,7
why,7
when,7
he's,7
are,7
we're,7
it's,7
man,7
way,6
envelope,6
good,6
into,6
more,6
thought,6
york,6
again,6
bad,6
sure,6
look,6
wrong,6
didn't,6
has,6
anything,6
dear,6
trouble,6
dollar,6
told,6
call,6
paper,6
deliver,5
route,5
put,5
read,5
roof,5
keep,5
once,5
its,5
only,5
went,5
money,5
lot,5
wouldn't,5
three,5
operator,5
pretty,5
floor,5
maybe,5
ever,5
coming,5
little,5
bag,5
snow,4
rain,4
let,4
nixies,4
general,4
through,4
retirement,4
delivery,4
found,4
whole,4
came,4
envelopes,4
least,4
being,4
still,4
nobody,4
bills,4
seventh,4
bunch,4
must,4
six,4
somebody,4
number,4
there's,4
printed,4
tomorrow,4
books,4
public,4
without,4
off,4
sat,4
right,4
people,4
ought,4
answers,4
morning,4
left,4
return,4
too,4
publishing,4
might,4
asked,4
looked,4
i'll,4
against,4
thing,4
boss,4
did,3
carrier,3
took,3
these,3
appointed,3
real,3
address,3
somewhere,3
than,3
house,3
bench,3
flying,3
needed,3
second,3
eyes,3
watching,3
batch,3
addressed,3
whose,3
small,3
blue,3
buildings,3
trip,3
even,3
two,3
postman,3
except,3
job,3
walking,3
laughed,3
stairs,3
door,3
while,3
climbed,3
crazy,3
yours,3
directories,3
postage,3
over,3
week,3
think,3
until,3
days,3
business,3
end,3
story,3
mulligan's,3
live,3
bar,3
already,3
ask,3
unlisted,3
reason,3
walked,3
space,3
established,3
far,3
world,3
locked,3
place,3
list,3
fact,3
poll,3
question,3
landed,3
extraterrestrial,3
answer,3
receive,3
gross,3
whether,3
try,3
want,3
started,3
give,3
till,3
idea,3
voice,3
tell,3
always,3
parapet,3
wrist,3
stamps,3
grunt,3
tongue,3
produced,2
weeks,2
miriam,2
allen,2
should,2
go,2
dead,2
gone,2
research,2
heat,2
gloom,2
swift,2
completion,2
rounds,2
impossible,2
hardly,2
known,2
faithful,2
persian,2
having,2
around,2
park,2
pipe,2
waiting,2
hours,2
pass,2
vacuum,2
big,2
devoted,2
fan,2
saucer,2
project,2
named,2
open,2
cage,2
floors,2
delivering,2
printing,2
handwriting,2
sec,2
treas,2
n,2
y,2
fingers,2
orders,2
enclosing,2
sight,2
few,2
since,2
inside,2
pocket,2
also,2
drink,2
duty,2
unless,2
things,2
mostly,2
rang,2
top,2
using,2
head,2
o,2
guy,2
short,2
iron,2
stood,2
plain,2
flat,2
can't,2
joke,2
hands,2
united,2
states,2
screwy,2
possible,2
deliveries,2
drop,2
itself,2
lose,2
city,2
searched,2
neither,2
turn,2
department,2
yet,2
began,2
library,2
boroughs,2
appeared,2
none,2
interested,2
guess,2
happen,2
figure,2
large,2
personal,2
heard,2
ufos,2
gain,2
where,2
comes,2
ed,2
fellow,2
spoke,2
include,2
hadn't,2
police,2
hey,2
come,2
suppose,2
future,2
slip,2
dimension,2
either,2
break,2
corner,2
form,2
enclosed,2
chance,2
onto,2
mailing,2
become,2
organization,2
bring,2
best,2
start,2
co,2
us,2
may,2
isn't,2
front,2
beings,2
reaction,2
check,2
agree,2
probably,2
away,2
bill,2
nearest,2
reached,2
same,2
firm,2
book,2
send,2
entered,2
decide,2
forever,2
happened,2
aren't,2
hunted,2
yeah,2
plenty,2
worried,2
funny,2
anyway,2
giving,2
retired,2
looking,2
kind,2
doing,2
thanks,2
say,2
supposed,2
steps,2
scheme,2
doesn't,2
suddenly,2
third,2
pay,2
friend,2
mine,2
picked,2
visible,2
late,2
much,2
empty,2
brick,2
happening,2
whatever,2
dark,2
almost,2
staying,2
saw,2
straight,2
felt,2
talk,2
dollars,2
need,2
face,2
prize,2
grasp,2
scout,2
use,2
shape,2
assure,2
such,2
planet,2
mind,2
softening,2
likely,2
comfortably,2
under,2
earth,2
help,2
error,2
lists,2
mistake,2
made,2
whenever,2
making,2
mary,1
online,1
distributed,1
proofreading,1
team,1
transcriber's,1
note,1
worlds,1
november,1
extensive,1
uncover,1
evidence,1
copyright,1
publication,1
renewed,1
noted,1
inscription,1
cribbed,1
herodotus,1
heart,1
stays,1
couriers,1
literally,1
true,1
given,1
blizzard,1
pathless,1
drifts,1
major,1
flood,1
swum,1
marooned,1
moreover,1
addressee,1
mark,1
returned,1
addresser,1
consigned,1
consciously,1
efficient,1
messenger,1
galloped,1
walk,1
feet,1
ease,1
comfort,1
loyal,1
servants,1
worn,1
bothered,1
sick,1
damned,1
sit,1
discarded,1
men,1
suck,1
stare,1
interest,1
status,1
reread,1
watch,1
hopefully,1
apartment,1
signs,1
alert,1
occupied,1
lower,1
avenue,1
rundown,1
shabby,1
firetrap,1
solid,1
scotsman,1
built,1
single,1
sagging,1
attracting,1
quack,1
doctors,1
dubious,1
private,1
similar,1
fauna,1
edge,1
free,1
enterprise,1
slow,1
deterioration,1
self,1
tenant,1
surprising,1
nowadays,1
tenants,1
simulating,1
feeling,1
experienced,1
judged,1
doubtless,1
most,1
employees,1
farewells,1
wishes,1
donations,1
next,1
christmas,1
gratefully,1
tucked,1
uniform,1
wear,1
invitations,1
regretfully,1
decline,1
fly,1
clientele,1
greeted,1
decrepit,1
considered,1
soberly,1
tough,1
financially,1
perhaps,1
tougher,1
standing,1
getting,1
rid,1
load,1
duns,1
complaints,1
imagined,1
hole,1
nuts,1
high,1
puzzled,1
what'd,1
build,1
penthouse,1
dump,1
inquired,1
feeble,1
jest,1
airily,1
motors,1
hideaway,1
fooling,1
stared,1
shook,1
ain't,1
wise,1
yourself,1
led,1
flight,1
trap,1
jeering,1
determinedly,1
disgustedly,1
somebody's,1
playing,1
young,1
squirt,1
taking,1
life,1
broken,1
whom,1
deter,1
trudge,1
undelivered,1
ago,1
gave,1
searching,1
reference,1
deciphering,1
illiterate,1
addresses,1
daily,1
saturday,1
cent,1
amenities,1
submissive,1
protest,1
directory,1
stubbornly,1
listed,1
consider,1
proper,1
carefree,1
suspected,1
operating,1
restless,1
edgy,1
snap,1
mollie's,1
quarrel,1
magazines,1
weren't,1
fill,1
involve,1
endless,1
speed,1
thinking,1
gloomily,1
square,1
spring,1
sunshine,1
sworn,1
stayed,1
home,1
hour,1
heave,1
cleaner,1
suburban,1
jersey,1
connecticut,1
pennsylvania,1
blot,1
year,1
record,1
wanted,1
revenge,1
detection,1
common,1
prided,1
ability,1
ahead,1
puzzle,1
manhattan,1
terra,1
stymied,1
gloomy,1
thoughts,1
collection,1
villages,1
neighborhood,1
acquire,1
groceries,1
drugstores,1
bars,1
lived,1
catercornered,1
across,1
street,1
cautious,1
backtalk,1
indiscreet,1
four,1
beers,1
express,1
views,1
desire,1
reputation,1
crackpot,1
safe,1
remark,1
conversationally,1
says,1
someplace,1
write,1
barkeep,1
information,1
hasn't,1
weirdest,1
part,1
moment,1
knows,1
nondescript,1
nursing,1
collins,1
acquaintance,1
phones,1
tells,1
guy's,1
saucers,1
forgot,1
suggested,1
brightly,1
scowled,1
nevertheless,1
ridiculous,1
warp,1
continuum,1
remotely,1
erected,1
consulted,1
hopeless,1
cast,1
solution,1
parallel,1
certainly,1
accident,1
seven,1
arrived,1
prove,1
disprove,1
early,1
summer,1
mailbox,1
downstairs,1
