word type,number
everything,93475
adult,1
hate,0
function,50922
normal,number
the,8243
of,5116
and,2868
to,2795
in,2439
a,2055
is,1556
it,874
that,872
which,849
be,805
as,801
for,728
by,712
or,650
he,647
are,576
his,565
thought,525
not,512
with,489
from,486
thinking,470
their,404
sidenote,402
on,391
an,385
they,358
mind,334
have,327
at,324
has,319
may,316
upon,314
one,312
if,307
this,300
who,296
but,286
was,283
will,275
can,272
words,265
all,263
we,253
more,251
its,238
when,222
into,220
them,217
than,217
life,212
what,205
other,202
these,188
so,185
teacher,183
should,180
think,179
been,179
our,177
there,177
knowledge,175
you,173
no,171
must,167
him,158
ideas,150
things,149
without,146
use,144
school,143
would,138
like,138
every,137
some,135
man,134
were,130
do,130
memory,130
i,128
many,128
had,127
language,127
pupil,126
any,126
men,125
time,124
make,124
how,123
power,122
made,118
well,118
great,116
teaching,115
thoughts,115
very,115
through,114
those,112
cannot,111
mental,107
out,105
two,104
such,104
much,100
new,100
study,100
reading,100
most,98
only,97
best,96
idea,96
work,95
science,95
first,94
before,94
read,94
pupils,93
books,93
good,93
word,93
could,90
own,88
teachers,84
between,83
because,82
never,82
others,81
does,80
self,80
sense,79
education,78
often,78
attention,77
truth,76
nature,76
higher,75
book,75
then,75
symbols,75
stream,75
us,74
same,74
hand,74
form,73
under,73
human,71
being,71
meaning,70
after,69
up,69
feeling,68
intellectual,67
minds,66
way,66
scientific,66
interest,66
objects,66
means,66
give,65
purpose,65
observation,65
class,64
technical,64
each,64
child,63
images,62
true,61
thus,61
your,61
another,61
world,60
value,59
thing,59
terms,59
point,59
art,58
himself,58
far,58
people,58
even,58
correct,58
find,58
end,57
better,57
used,57
said,57
forms,56
yet,55
doing,55
whose,55
right,55
always,54
about,54
object,54
years,53
too,53
day,53
concepts,53
learning,52
instruction,52
process,52
light,52
while,52
ability,52
schools,51
common,51
found,51
fact,51
given,51
little,51
different,51
see,51
says,51
effort,50
heart,50
page,50
soul,50
activity,48
sometimes,48
speech,48
student,48
soon,48
development,48
question,48
shall,48
part,47
methods,46
habits,46
course,46
maxim,46
itself,46
long,46
public,45
makes,45
until,45
taught,45
whole,45
effect,45
kind,45
take,45
less,45
materials,45
learn,45
influence,45
parts,44
called,44
let,44
children,44
growth,44
exercise,44
professor,43
logical,43
boy,43
something,43
law,43
number,42
say,42
know,42
proper,42
relations,41
general,41
literature,41
sentences,41
training,40
clear,40
essential,40
become,40
possible,40
show,40
important,40
material,40
instruments,40
symbol,40
eye,40
powers,40
come,39
method,39
full,39
necessary,39
relation,39
over,39
still,39
experience,38
action,38
mere,38
nothing,38
express,38
learned,38
both,38
thousand,37
themselves,37
place,37
facts,37
writing,37
original,37
my,37
certain,37
hundred,37
she,37
pictures,37
pages,36
easily,36
here,36
difficult,36
making,36
case,36
above,36
person,36
where,36
write,35
instead,35
view,35
done,34
gives,34
lesson,34
order,34
line,34
get,34
conclusions,34
now,34
function,34
few,34
earth,34
expression,33
latter,33
written,33
home,33
difference,33
did,33
field,33
history,32
result,32
put,32
living,32
laws,32
skill,32
help,32
practice,32
oral,32
speaking,32
knowing,32
known,32
sight,32
learner,32
go,32
dr,31
second,31
master,31
need,31
reason,31
becomes,31
face,31
aim,31
english,31
stimulus,31
name,31
also,31
three,31
act,31
educational,30
giving,30
direction,30
among,30
whom,30
quite,30
arts,30
studies,30
together,30
times,30
seen,29
term,29
fixed,29
me,29
valuable,29
thinkers,29
during,28
questions,28
developed,28
speak,28
feel,28
labor,28
ever,28
text,28
comparison,28
stand,28
signs,28
half,28
reached,28
vocabulary,28
keep,28
university,27
system,27
conscious,27
several,27
set,27
hence,27
asked,27
last,27
ways,27
image,27
connection,27
persons,27
cause,27
subject,27
progress,26
principles,26
away,26
highest,26
helpful,26
purposes,26
teach,26
students,26
audience,26
sake,26
imagination,26
habit,26
languages,26
phrases,26
discipline,26
mechanical,26
especially,25
results,25
high,25
young,25
enough,25
basis,25
seems,25
modern,25
greatest,25
