word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,1.85%,or,1.85%,thought,1.42%
the,of,14.3%,in,8.75%,to,4.99%
at,is,2.78%,look,2.47%,lies,2.16%
was,it,10.55%,he,9.82%,there,5.82%
from,away,1.86%,thought,1.66%,comes,1.45%
images,of,12.9%,in,11.29%,the,9.68%
made,be,29.57%,is,13.04%,are,9.57%
of,use,1.35%,stream,1.2%,one,0.92%
and,thinking,1.8%,thought,1.76%,words,1.02%
education,of,35.06%,on,10.39%,in,6.49%
for,material,1.94%,and,1.38%,materials,1.24%
i,that,6.3%,if,5.51%,and,4.72%
thinking,of,15.91%,the,11.4%,in,7.1%
learning,of,40.38%,in,13.46%,and,9.62%
to,and,2.84%,is,2.62%,ability,1.65%
think,to,58.66%,pupils,6.15%,can,4.47%
instruction,of,28.85%,the,23.08%,elementary,9.62%
two,the,10.58%,of,8.65%,are,6.73%
school,the,42.66%,at,11.89%,high,5.59%
in,and,2.73%,thinking,2.2%,thought,1.82%
thought,of,46.95%,the,11.07%,for,3.44%
years,many,7.55%,for,7.55%,two,5.66%
this,in,14.53%,of,12.84%,from,3.04%
has,he,13.18%,who,6.11%,it,5.47%
been,has,43.58%,have,29.61%,had,13.41%
schools,the,25.49%,public,15.69%,our,9.8%
have,who,7.67%,would,6.13%,i,5.83%
a,of,13.31%,is,6.02%,in,5.82%
teaching,of,29.57%,in,19.13%,the,8.7%
an,of,13.54%,is,5.73%,as,5.47%
our,of,22.73%,in,14.77%,to,8.52%
as,well,4.15%,soon,3.14%,is,2.64%
great,a,26.72%,the,16.38%,of,14.66%
higher,the,64.0%,a,5.33%,our,4.0%
are,they,9.58%,which,5.57%,there,4.7%
more,the,10.76%,is,5.18%,far,4.78%
there,that,8.67%,if,3.47%,is,2.89%
upon,based,4.14%,light,3.5%,depends,2.55%
with,and,3.48%,satisfied,1.84%,contact,1.84%
that,so,3.36%,and,2.78%,of,2.55%
many,of,9.38%,very,5.47%,so,5.47%
these,of,19.46%,all,4.32%,to,3.78%
true,the,21.31%,is,14.75%,its,4.92%
is,it,16.68%,there,5.39%,he,2.79%
always,is,18.52%,not,16.67%,are,11.11%
well,as,29.66%,is,6.78%,a,5.93%
but,thought,2.45%,is,1.75%,nothing,1.4%
not,is,19.57%,do,8.41%,does,8.02%
teachers,the,22.62%,of,7.14%,and,5.95%
who,those,20.21%,he,4.79%,teacher,4.45%
its,in,14.29%,to,6.3%,of,5.88%
into,them,4.11%,thought,2.74%,put,2.28%
minds,their,23.08%,the,15.38%,other,9.23%
time,the,16.94%,a,12.1%,of,11.29%
