word type,number
everything,2084
adult,0
hate,0
function,1126
normal,number
the,120
and,83
a,68
of,52
to,41
it,35
she,33
was,27
her,27
in,25
had,23
jim,23
that,21
with,21
for,21
at,20
on,20
you,20
della,18
his,18
he,16
i,16
hair,14
by,13
but,11
were,11
as,11
me,11
all,10
they,10
said,10
be,9
out,9
look,8
just,8
have,8
like,8
my,8
one,7
two,7
christmas,7
which,7
not,7
could,7
been,7
now,7
watch,7
would,6
there,6
down,6
is,6
made,6
up,6
from,6
flat,6
looked,6
present,6
him,6
gifts,6
went,6
magi,5
cents,5
do,5
little,5
home,5
no,5
an,5
being,5
buy,5
twenty,5
beautiful,5
about,5
then,5
or,5
off,5
give,5
any,5
them,5
what,5
don't,5
sold,5
combs,5
wise,5
time,4
day,4
reflection,4
while,4
week,4
james,4
its,4
very,4
window,4
dollars,4
are,4
nice,4
eyes,4
let,4
other,4
brown,4
door,4
oh,4
chain,4
say,4
without,4
nor,4
your,4
put,4
who,4
gift,3
dollar,3
eighty,3
seven,3
so,3
did,3
first,3
young,3
when,3
reached,3
good,3
stood,3
gray,3
only,3
always,3
something,3
looks,3
see,3
still,3
old,3
madame,3
too,3
white,3
will,3
let's,3
way,3
head,3
if,3
back,3
chops,3
table,3
make,3
upon,3
cut,3
gone,3
wisest,3
o,2
henry,2
pennies,2
cheeks,2
silent,2
such,2
close,2
times,2
next,2
couch,2
sniffles,2
second,2
take,2
per,2
description,2
word,2
below,2
letter,2
go,2
bearing,2
mr,2
hugged,2
cat,2
every,2
this,2
doesn't,2
happy,2
near,2
worthy,2
glass,2
room,2
seen,2
thin,2
may,2
art,2
before,2
shining,2
face,2
within,2
seconds,2
pulled,2
length,2
both,2
took,2
lived,2
some,2
treasures,2
cascade,2
almost,2
again,2
quickly,2
hat,2
stopped,2
read,2
flight,2
herself,2
asked,2
hand,2
quick,2
stores,2
last,2
turned,2
inside,2
fob,2
properly,2
value,2
things,2
should,2
even,2
knew,2
got,2
love,2
task,2
wonderfully,2
long,2
girl,2
away,2
think,2
serious,2
overcoat,2
expression,2
simply,2
cried,2
giving,2
grows,2
fast,2
know,2
yet,2
it's,2
seemed,2
brought,2
package,2
dell,2
you'll,2
over,2
presents,2
men,2
their,2
these,2
produced,1
susan,1
html,1
version,1
jose,1
sixty,1
saved,1
bulldozing,1
grocer,1
vegetable,1
man,1
butcher,1
until,1
one's,1
burned,1
imputation,1
parsimony,1
dealing,1
implied,1
three,1
counted,1
clearly,1
nothing,1
flop,1
shabby,1
howl,1
instigates,1
moral,1
life,1
sobs,1
smiles,1
predominating,1
mistress,1
gradually,1
subsiding,1
stage,1
furnished,1
exactly,1
beggar,1
certainly,1
lookout,1
mendicancy,1
squad,1
vestibule,1
box,1
into,1
electric,1
button,1
mortal,1
finger,1
coax,1
ring,1
also,1
appertaining,1
thereunto,1
card,1
name,1
flung,1
breeze,1
during,1
former,1
period,1
prosperity,1
possessor,1
paid,1
income,1
shrunk,1
though,1
thinking,1
seriously,1
contracting,1
modest,1
unassuming,1
d,1
whenever,1
came,1
above,1
called,1
greatly,1
mrs,1
already,1
introduced,1
finished,1
cry,1
attended,1
powder,1
rag,1
dully,1
walking,1
fence,1
backyard,1
tomorrow,1
saving,1
penny,1
months,1
result,1
far,1
expenses,1
greater,1
than,1
calculated,1
many,1
hour,1
spent,1
planning,1
fine,1
rare,1
sterling,1
bit,1
honor,1
owned,1
pier,1
between,1
windows,1
perhaps,1
agile,1
person,1
observing,1
rapid,1
sequence,1
longitudinal,1
strips,1
obtain,1
fairly,1
accurate,1
conception,1
slender,1
mastered,1
suddenly,1
whirled,1
brilliantly,1
lost,1
color,1
rapidly,1
fall,1
full,1
possessions,1
youngs,1
mighty,1
pride,1
gold,1
father's,1
grandfather's,1
queen,1
across,1
airshaft,1
hang,1
dry,1
depreciate,1
majesty's,1
jewels,1
king,1
solomon,1
janitor,1
piled,1
basement,1
passed,1
pluck,1
beard,1
envy,1
fell,1
