word type,number
everything,79100
adult,0
hate,0
function,45729
normal,number
the,3763
and,2211
of,2177
to,2101
i,1688
a,1672
he,1539
you,1444
that,1360
it,1338
in,1209
was,1083
his,996
is,907
had,833
him,661
with,659
for,587
as,572
at,562
have,561
me,523
not,474
be,453
her,439
she,431
dorian,411
what,399
but,396
one,382
are,373
on,358
there,337
they,318
would,308
my,303
all,294
said,262
don't,255
from,254
were,251
so,248
lord,248
been,236
am,232
an,229
life,229
who,225
some,224
if,224
about,223
henry,223
by,221
or,220
no,218
when,218
like,213
your,207
them,203
will,201
gray,190
do,185
know,176
never,176
harry,174
man,171
has,169
we,169
over,169
into,159
their,156
out,156
must,154
basil,153
up,150
how,149
this,148
then,147
more,136
could,136
now,134
good,133
own,130
things,128
think,127
something,126
its,126
very,123
come,123
see,122
than,121
us,121
thing,120
which,119
seemed,119
any,117
go,115
should,115
only,111
love,111
time,110
made,110
always,110
eyes,109
face,107
quite,107
himself,106
too,106
want,105
really,103
after,103
room,102
down,101
back,100
did,100
came,99
away,99
can,98
people,97
say,97
night,97
cried,95
looked,94
nothing,93
tell,93
why,92
much,91
look,91
world,90
little,87
answered,87
going,87
mr,87
yes,85
thought,84
through,84
upon,84
sibyl,83
once,80
round,80
shall,79
ever,78
such,77
told,77
day,77
art,76
felt,76
great,75
most,74
long,73
dear,73
men,73
before,73
young,72
our,72
other,72
again,72
yet,72
picture,71
looking,70
everything,69
lady,69
anything,68
soul,68
well,67
door,67
moment,67
women,66
hand,66
let,66
those,65
two,64
being,63
went,63
across,61
might,61
old,61
asked,61
afraid,61
make,60
passed,60
every,60
table,59
wonderful,58
lips,57
white,56
sir,56
beauty,55
left,55
where,54
better,54
one's,54
turned,54
got,54
house,54
vane,54
head,53
portrait,52
hands,52
course,51
here,51
done,50
oh,50
even,49
true,49
can't,49
believe,49
right,49
gold,49
still,49
curious,48
knew,48
first,48
last,48
horrible,48
suddenly,47
myself,47
name,47
rather,47
voice,47
work,46
whose,46
way,46
strange,46
found,46
pleasure,45
take,45
get,45
lad,45
passion,45
beautiful,44
just,44
began,44
saw,44
charming,43
dreadful,43
talk,43
duchess,43
put,42
wish,42
murmured,42
against,42
mother,42
many,41
laughed,41
real,41
simply,41
secret,41
red,41
few,41
seen,41
dead,41
play,40
each,40
perhaps,40
met,40
terrible,40
wonder,40
years,39
though,39
absolutely,39
merely,39
because,39
give,39
girl,39
woman,39
often,38
new,37
used,37
indeed,37
past,37
bad,37
heard,37
painter,36
certainly,36
yourself,36
feel,36
half,36
whole,36
having,36
youth,36
behind,36
mad,36
place,35
boy,35
suppose,35
forget,35
ah,35
mind,35
sense,34
stood,34
air,34
took,34
find,33
matter,33
does,33
rose,33
sure,33
almost,33
music,33
joy,33
alan,33
won't,32
hideous,32
may,32
painted,32
ask,32
words,32
answer,32
death,32
book,31
cannot,31
sat,31
feet,31
chair,31
mean,30
read,30
coloured,30
reason,30
same,30
black,30
age,30
poor,30
became,30
pain,30
artist,29
without,29
friends,29
hair,29
delightful,29
sorry,29
terror,29
nature,29
help,29
end,29
opened,29
fancy,29
whom,28
blue,28
friend,28
seems,28
live,28
shook,28
heart,28
body,28
moments,28
wild,28
home,28
god,28
sin,28
become,28
these,27
garden,27
heavy,27
kind,27
makes,27
brought,27
call,27
known,27
three,27
sins,27
morning,27
large,26
gone,26
expression,26
sit,26
charm,26
evening,26
exquisite,26
happy,26
late,26
try,26
entered,26
besides,26
off,26
campbell,26
fingers,25
either,25
understand,25
others,25
monstrous,25
chapter,24
light,24
smile,24
brain,24
set,24
word,24
romance,24
