word type,number
everything,114435
adult,1
hate,0
function,58846
normal,number
the,9692
of,6541
and,4292
in,3659
a,3000
to,1758
his,1454
is,1283
he,1266
with,1258
which,942
as,921
was,800
by,666
that,651
are,630
from,624
it,623
at,584
for,582
their,563
has,486
they,460
an,458
upon,455
had,426
pictures,411
but,406
art,389
all,382
this,381
one,374
painting,345
not,334
or,329
who,328
there,317
have,314
illustration,301
were,297
be,291
its,280
life,276
on,273
like,272
her,270
old,260
picture,249
light,247
him,246
so,237
painted,237
no,233
into,232
most,226
more,225
when,224
great,221
these,219
colour,216
them,216
been,214
works,211
only,190
nature,184
work,179
through,175
over,171
english,167
such,167
first,164
little,163
painter,158
world,158
time,155
even,155
figures,155
de,146
what,143
made,139
every,139
landscape,138
same,138
paris,137
where,137
himself,135
modern,134
new,134
painters,132
after,131
out,131
before,125
those,122
man,120
than,118
permission,115
other,114
white,113
without,111
eyes,110
p,107
years,107
women,106
young,105
up,104
everything,104
portrait,103
any,102
men,100
delicate,100
yet,97
century,96
sea,96
if,95
place,94
rossetti,92
effect,92
way,91
colours,91
artists,90
style,90
she,89
london,88
masters,88
air,88
spirit,85
being,84
how,83
though,83
day,82
something,81
form,80
i,80
seen,80
nothing,80
also,79
themselves,79
red,79
japanese,78
became,78
much,77
artistic,76
beauty,76
sun,76
blue,76
still,75
woman,75
own,75
would,75
now,75
artist,74
just,74
here,73
amongst,73
des,73
brown,72
green,72
grey,72
many,72
very,71
school,70
people,70
merely,70
whole,70
then,69
feeling,69
once,68
found,68
came,68
may,68
another,67
manet,66
tender,66
two,66
never,64
while,64
sky,64
influence,63
long,63
did,63
stands,63
almost,63
exhibition,62
england,62
french,62
lines,62
some,62
well,61
jones,61
love,61
whose,61
hand,61
bright,61
trees,61
g,60
under,60
age,60
soft,60
against,59
black,59
master,59
evening,59
children,59
expression,59
flowers,59
manner,58
beautiful,57
study,57
always,57
truth,57
pre,56
could,56
movement,56
last,56
between,56
full,56
room,56
days,55
death,55
owner,55
far,55
m,54
might,54
water,54
historical,53
la,53
drawing,53
nor,53
entirely,53
scenes,53
tones,53
refined,53
f,52
grace,52
house,51
give,51
amid,51
paint,51
tone,50
fine,50
about,50
period,50
too,50
our,50
figure,50
girls,50
portraits,50
less,50
character,49
down,49
will,49
country,49
gave,48
does,48
simple,48
spring,47
brought,47
set,47
landscapes,47
pictorial,47
w,46
france,46
yellow,46
human,46
things,46
paints,46
history,45
nineteenth,45
youth,45
later,45
must,45
eye,45
began,45
harmony,45
power,45
pale,45
sometimes,45
beneath,45
watts,44
sense,44
called,44
earth,44
beaux,44
lepage,43
girl,43
taken,43
church,43
year,43
point,43
child,43
beside,43
impression,43
taste,43
few,43
german,42
scene,42
quiet,42
hands,42
stand,42
others,41
charming,41
born,41
become,41
fresh,41
whilst,41
appearance,41
germany,40
munich,40
since,40
make,40
represented,40
dark,40
exhibited,40
atmosphere,40
j,39
home,39
decorative,39
went,39
took,39
poetry,39
each,39
method,39
forms,39
known,39
ever,39
beings,39
itself,39
portfolio,39
journal,39
given,38
wood,38
subject,38
graceful,38
head,38
part,38
large,38
round,38
we,38
arts,38
end,37
left,37
together,37
side,37
can,37
chapter,36
hunt,36
longer,36
away,36
st,36
dante,36
course,36
academy,36
should,36
often,36
earnest,36
making,36
night,36
greatest,36
ground,36
coloured,36
heavy,36
john,35
present,35
times,35
sentiment,35
half,35
rather,35
seem,35
subjects,35
whom,35
field,35
reality,35
peculiar,34
walker,34
italian,34
brilliant,34
followed,34
technique,34
small,34
again,34
charm,34
owners,34
gallery,34
possible,34
son,34
near,34
means,34
seems,34
around,34
lord,33
h,33
golden,33
spanish,33
poor,33
renaissance,33
certain,33
best,33
composition,33
free,33
broad,33
earlier,33
rich,33
beginning,32
costume,32
italy,32
back,32
alone,32
deep,32
indeed,32
millet,32
poetic,32
public,32
background,32
open,32
glass,32
standing,32
look,32
play,32
fact,32
e,31
leaves,31
because,31
true,31
us,31
see,31
fashion,31
done,31
do,31
town,31
wide,31
effects,31
matter,31
strange,31
produced,30
le,30
poet,30
laid,30
scarcely,30
conception,30
perhaps,30
powerful,30
line,30
come,30
peasants,30
realism,29
berlin,29
rose,29
flower,29
sir,29
ladies,29
lost,29
simplicity,29
already,29
mr,29
said,29
both,29
body,29
wild,29
melancholy,29
paintings,29
shining,29
close,29
province,29
die,29
mysterious,29
impressionists,28
degas,28
feet,28
sitting,28
summer,28
lady,28
gold,28
face,28
marble,28
refinement,28
good,27
antique,27
model,27
father,27
high,27
garden,27
peasant,27
rome,27
towards,27
ideas,27
afterwards,27
early,27
vivid,27
hair,27
having,27
lies,27
past,27
pretty,27
street,27
silk,27
salon,27
existence,27
von,26
three,26
general,26
village,26
music,26
greater,26
group,26
received,26
highest,26
appeared,26
looking,26
clear,26
popular,26
houses,26
impressionism,25
dream,25
studio,25
stood,25
real,25
noble,25
imitation,25
led,25
thus,25
makes,25
gives,25
detail,25
moment,25
generation,25
walls,25
heart,25
faces,25
distance,25
placed,25
decoration,25
august,24
treatment,24
playing,24
hard,24
mountain,24
nude,24
exquisite,24
dreamy,24
slender,24
opened,24
rendered,24
thing,24
likewise,24
naturalism,24
able,24
land,24
saw,24
younger,24
dress,24
words,24
astonishing,24
say,24
looked,24
windows,24
chief,24
marvellous,24
les,24
