word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
and,the,11.03%,in,2.72%,a,2.64%
the,most,1.61%,same,1.43%,old,1.32%
this,time,3.18%,was,2.65%,picture,2.65%
was,the,8.69%,a,8.06%,not,4.28%
from,the,39.86%,a,5.96%,his,4.77%
made,a,13.77%,the,7.97%,by,5.8%
by,the,30.33%,a,14.1%,his,5.41%
of,the,26.61%,a,4.78%,his,4.12%
modern,art,12.5%,life,11.72%,painting,5.47%
painting,of,10.59%,in,7.65%,the,5.88%
illustration,renoir,11.54%,of,9.62%,degas,7.69%
at,the,41.11%,a,7.18%,once,3.41%
paris,and,11.11%,world,6.67%,the,5.56%
art,of,9.97%,journal,9.97%,in,5.66%
in,the,30.19%,a,6.85%,his,6.76%
to,the,18.82%,be,7.98%,a,2.62%
century,the,9.68%,and,5.38%,as,5.38%
london,virtue,10.34%,in,6.9%,he,6.9%
new,life,6.02%,and,5.26%,idealism,3.76%
painters,of,13.49%,in,7.94%,who,6.35%
england,the,10.53%,was,7.02%,is,7.02%
english,art,14.47%,painting,10.06%,landscape,4.4%
historical,painting,28.3%,pictures,9.43%,painters,7.55%
with,the,20.52%,a,14.27%,their,4.14%
against,the,50.85%,a,15.25%,all,3.39%
beautiful,and,14.55%,picture,5.45%,women,5.45%
form,of,21.25%,and,17.5%,the,8.75%
brown,sauce,14.29%,and,7.14%,the,5.71%
their,pictures,4.47%,own,2.86%,eyes,1.79%
pictures,of,16.46%,in,5.49%,are,4.74%
life,of,15.56%,and,14.44%,in,8.89%
painter,of,28.48%,and,6.62%,who,6.62%
picture,of,18.78%,the,8.57%,which,4.9%
could,not,26.79%,be,17.86%,have,8.93%
no,longer,14.75%,one,9.68%,less,2.76%
place,of,36.26%,in,16.48%,and,3.3%
after,the,24.19%,his,6.45%,he,6.45%
a,new,1.46%,picture,1.29%,great,1.25%
once,more,42.65%,a,5.88%,again,5.88%
more,than,4.89%,and,4.44%,or,4.44%
influence,of,49.21%,on,9.52%,upon,7.94%
artistic,crafts,8.0%,circles,4.0%,effect,4.0%
how,the,10.98%,to,9.76%,he,6.1%
it,is,24.96%,was,16.1%,were,3.7%
an,old,6.64%,artist,2.43%,entirely,1.99%
study,of,66.07%,the,7.14%,for,3.57%
old,masters,19.12%,man,3.98%,men,2.79%
well,as,25.0%,known,25.0%,with,3.33%
school,of,41.43%,in,7.14%,had,2.86%
into,the,31.0%,a,12.66%,an,2.18%
japanese,art,11.69%,have,3.9%,and,3.9%
exhibition,of,55.0%,in,6.67%,a,5.0%
on,the,59.13%,his,6.35%,a,4.76%
is,the,7.87%,a,7.87%,not,3.39%
manet,the,10.34%,was,5.17%,and,5.17%
movement,of,14.29%,in,12.5%,the,10.71%
great,and,5.0%,master,1.36%,city,1.36%
for,the,27.3%,a,6.38%,his,3.72%
rossetti,was,9.52%,and,8.33%,had,4.76%
jones,the,22.81%,has,8.77%,and,7.02%
other,hand,5.26%,and,5.26%,side,3.51%
time,he,10.67%,when,10.67%,in,8.0%
landscape,painters,13.43%,painter,7.46%,of,5.97%
