word type,number
everything,25214
adult,0
hate,0
function,14955
normal,number
the,1609
and,971
of,941
to,643
i,633
a,625
was,469
in,424
he,376
that,368
it,350
my,308
his,283
with,253
had,244
you,232
as,192
but,187
for,176
at,171
on,150
this,147
is,137
said,130
have,130
by,128
be,128
mr,123
me,122
not,117
him,113
from,106
which,102
hyde,98
jekyll,83
all,82
there,82
were,81
when,80
so,80
an,79
more,78
one,78
no,78
man,77
if,76
out,75
what,72
lawyer,67
been,67
will,66
now,64
upon,60
very,60
like,59
into,58
sir,58
or,56
would,55
your,55
then,54
well,53
these,52
door,51
could,50
they,49
some,49
up,48
we,48
life,47
see,47
dr,45
good,45
even,45
hand,45
once,45
before,44
do,43
know,43
must,41
last,40
than,40
face,39
thought,39
own,38
about,38
two,38
house,38
are,38
other,37
never,36
only,35
came,35
still,35
down,34
again,34
back,33
great,33
night,31
yet,31
way,31
where,31
name,31
here,31
henry,30
seemed,30
time,30
am,30
began,30
shall,30
long,29
their,29
who,29
might,29
should,29
think,29
old,29
can,29
has,29
come,28
myself,28
moment,28
something,27
returned,27
much,27
indeed,26
himself,26
them,26
did,26
day,26
room,26
made,25
set,25
street,25
mind,25
doctor,25
edward,25
cabinet,25
its,24
after,24
any,24
say,24
looked,24
saw,24
too,24
make,23
through,22
first,22
under,22
how,22
may,22
hands,21
every,21
side,21
end,21
body,21
most,21
strange,20
nothing,20
friend,20
little,20
another,20
sat,20
god,20
such,19
asked,19
part,19
enough,19
next,19
off,19
eyes,19
away,18
seen,18
she,18
thing,18
us,18
open,18
yes,18
without,18
light,18
cannot,18
case,17
quite,17
found,17
though,17
go,17
enfield,17
fire,17
left,17
far,17
take,17
same,17
letter,16
let,16
many,16
lay,16
voice,16
over,16
less,16
evil,16
alone,15
rather,15
business,15
replied,15
home,15
place,15
morning,15
took,15
look,15
both,15
thus,15
soul,15
glass,15
eye,14
small,14
stood,14
her,14
least,14
person,14
hour,14
fear,14
perhaps,14
second,14
master,14
death,14
men,13
change,13
friends,13
put,13
certain,13
ever,13
gave,13
already,13
knew,13
went,13
drew,13
fell,13
ask,13
looking,13
sure,13
bed,13
dead,13
done,13
whom,12
london,12
air,12
point,12
struck,12
added,12
gentleman,12
brought,12
turned,12
suddenly,12
want,12
why,12
gone,12
heard,12
large,12
things,12
tell,12
horror,12
terror,12
contents,11
theatre,11
nature,11
find,11
note,11
court,11
just,11
few,11
strong,11
told,11
get,11
while,11
right,11
heart,11
butler,11
manner,11
near,11
cried,11
read,11
new,11
ay,11
self,11
murder,10
full,10
years,10
high,10
character,10
those,10
blood,10
led,10
better,10
corner,10
broken,10
key,10
cheque,10
our,10
reason,10
suppose,10
square,10
head,10
because,10
ago,10
word,10
paper,10
forth,10
course,10
city,10
against,10
o,10
laboratory,10
creature,10
times,10
table,10
drug,10
wine,9
often,9
used,9
known,9
each,9
pleasure,9
along,9
bore,9
sight,9
hear,9
child,9
soon,9
drawer,9
floor,9
always,9
however,9
candle,9
private,9
months,9
beyond,9
since,9
hours,9
power,9
curiosity,9
poor,9
visitor,9
felt,9
foot,9
within,9
laid,9
conscious,9
late,9
clothes,9
guest,9
days,9
countenance,8
lighted,8
spoke,8
others,8
almost,8
doubt,8
hence,8
week,8
nor,8
kept,8
got,8
ten,8
ran,8
worse,8
natural,8
white,8
being,8
red,8
