word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
the,lawyer,4.19%,door,2.06%,other,1.55%
of,the,19.12%,a,7.73%,my,6.55%
jekyll,was,11.25%,and,6.25%,he,6.25%
and,the,8.26%,i,4.29%,then,2.93%
by,the,32.54%,a,11.11%,street,7.14%
hyde,i,10.31%,had,9.28%,was,7.22%
for,the,18.02%,a,6.98%,all,4.07%
was,a,6.41%,the,5.98%,not,3.42%
at,the,30.95%,last,10.12%,once,7.14%
lawyer,i,13.85%,and,7.69%,in,4.62%
a,man,4.38%,great,2.59%,very,1.94%
man,of,9.21%,who,7.89%,and,7.89%
that,i,13.89%,the,6.67%,he,6.11%
in,the,33.18%,my,10.43%,a,6.64%
when,i,28.21%,the,15.38%,he,12.82%
to,the,11.51%,be,7.1%,his,3.47%
his,own,4.74%,face,4.01%,hand,2.92%
from,the,32.04%,his,7.77%,my,5.83%
which,i,17.82%,he,12.87%,had,7.92%
into,the,44.83%,a,18.97%,his,10.34%
but,the,8.79%,i,8.24%,it,6.59%
not,only,7.02%,a,3.51%,been,3.51%
these,two,9.62%,were,5.77%,excursions,3.85%
more,than,19.23%,of,5.13%,it,3.85%
he,was,13.6%,had,11.73%,said,5.6%
with,a,20.88%,the,10.84%,an,4.42%
had,been,10.66%,a,4.1%,come,3.69%
one,of,21.79%,thing,6.41%,but,3.85%
an,end,10.26%,hour,6.41%,air,5.13%
i,was,9.03%,had,7.9%,have,6.13%
my,own,5.63%,life,3.31%,soul,2.32%
this,is,10.96%,was,5.48%,letter,2.74%
it,was,27.25%,is,9.86%,and,2.9%
be,the,3.94%,a,2.36%,set,2.36%
as,i,13.23%,he,11.64%,a,8.47%
so,that,6.25%,much,6.25%,long,5.0%
no,sir,10.26%,more,10.26%,longer,6.41%
is,a,8.03%,the,5.84%,that,3.65%
were,the,7.41%,of,7.41%,as,3.7%
or,two,8.93%,the,5.36%,any,3.57%
like,a,30.51%,the,10.17%,it,6.78%
him,and,7.96%,i,7.08%,to,5.31%
well,sir,11.76%,said,9.8%,known,5.88%
what,i,14.08%,was,8.45%,he,5.63%
said,the,32.11%,mr,16.51%,he,12.84%
would,be,29.09%,have,16.36%,suffer,3.64%
all,the,9.88%,that,6.17%,at,4.94%
on,the,40.82%,his,9.52%,my,5.44%
out,of,28.38%,the,10.81%,a,6.76%
upon,the,36.67%,his,15.0%,my,10.0%
you,will,5.68%,know,5.24%,to,5.24%
very,well,6.78%,good,5.08%,strange,5.08%
there,was,30.86%,is,13.58%,were,6.17%
if,you,26.32%,i,15.79%,he,7.89%
then,i,7.41%,the,5.56%,as,5.56%
me,to,10.0%,i,7.5%,in,7.5%
been,sent,2.99%,carried,2.99%,a,2.99%
have,been,11.63%,you,4.65%,had,3.88%
your,master,11.32%,hands,7.55%,mind,3.77%
will,you,10.61%,not,7.58%,be,4.55%
now,i,6.35%,said,4.76%,my,4.76%
