word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
of,out,2.25%,one,1.82%,name,1.6%
jekyll,henry,32.1%,dr,28.4%,of,3.7%
and,hand,1.16%,it,1.06%,him,0.95%
mr,said,14.75%,of,7.38%,for,4.92%
hyde,mr,32.99%,edward,25.77%,of,14.43%
by,the,6.3%,and,4.72%,then,2.36%
the,of,11.16%,in,8.78%,and,4.95%
for,but,4.6%,and,3.45%,out,2.3%
was,it,20.7%,i,12.33%,he,11.23%
at,and,7.19%,was,4.19%,looked,2.99%
lawyer,the,97.01%,a,1.49%,dry,1.49%
a,of,11.69%,with,8.44%,was,4.87%
man,a,35.06%,the,19.48%,that,5.19%
that,and,4.42%,of,3.31%,in,2.76%
in,and,4.28%,me,2.14%,was,1.9%
when,and,14.1%,that,6.41%,but,5.13%
to,began,3.44%,seemed,2.81%,and,2.19%
his,of,15.9%,in,8.13%,to,7.77%
from,far,4.72%,and,3.77%,up,2.83%
which,with,9.8%,in,6.86%,to,5.88%
into,way,6.9%,got,5.17%,fell,3.45%
but,him,3.31%,it,2.76%,hyde,2.21%
not,was,14.55%,do,9.09%,did,8.18%
these,of,23.08%,all,5.77%,from,5.77%
more,once,15.79%,no,10.53%,the,9.21%
he,as,6.06%,that,6.06%,and,4.68%
with,and,3.23%,back,2.02%,place,1.21%
had,i,20.94%,he,18.8%,it,3.85%
one,of,6.58%,is,6.58%,on,5.26%
an,with,14.29%,of,11.69%,to,5.19%
i,that,8.05%,and,6.6%,as,4.03%
my,of,20.0%,in,14.43%,to,5.25%
this,of,16.9%,in,4.23%,on,3.52%
it,and,4.39%,of,3.8%,but,3.51%
be,to,35.43%,would,12.6%,must,7.09%
as,and,6.81%,even,3.14%,soon,2.09%
so,was,7.69%,did,5.13%,not,3.85%
no,was,10.53%,had,7.89%,make,5.26%
is,it,25.0%,this,11.76%,there,8.09%
were,they,8.64%,there,6.17%,we,4.94%
or,death,3.57%,slept,3.57%,blood,1.79%
like,should,7.14%,was,5.36%,me,5.36%
him,of,9.73%,with,9.73%,seen,5.31%
well,as,9.8%,very,7.84%,it,5.88%
what,and,8.96%,me,4.48%,for,4.48%
said,he,17.65%,sir,6.72%,well,4.2%
would,i,18.18%,he,16.36%,you,10.91%
all,and,10.26%,for,8.97%,of,8.97%
on,was,2.67%,him,2.0%,eyes,2.0%
out,set,4.05%,was,4.05%,came,4.05%
upon,hand,6.78%,looked,5.08%,down,3.39%
you,if,8.89%,that,4.44%,as,4.44%
very,a,20.69%,the,15.52%,was,5.17%
there,and,11.11%,but,8.64%,that,3.7%
if,as,14.67%,that,6.67%,and,6.67%
sir,no,14.55%,well,10.91%,yes,5.45%
then,and,51.85%,well,5.56%,city,1.85%
me,to,9.84%,let,4.92%,told,4.1%
been,had,40.0%,have,23.08%,not,6.15%
have,i,29.69%,to,7.81%,would,7.03%
your,of,14.81%,in,14.81%,take,3.7%
will,you,20.31%,i,12.5%,the,10.94%
now,and,21.88%,was,12.5%,had,4.69%
