word type,number
everything,37824
adult,1
hate,3
function,20770
normal,number
the,2659
of,1697
and,1615
a,1007
to,834
in,771
that,475
is,445
it,422
with,322
as,297
his,294
he,270
was,268
or,249
for,247
i,230
by,228
on,216
but,212
at,209
are,206
they,204
one,174
have,170
an,167
all,167
this,166
from,162
so,157
not,155
be,154
their,150
there,150
which,147
you,138
we,126
him,126
them,117
had,115
more,111
little,111
some,108
very,98
who,96
no,94
has,93
were,86
than,86
into,84
out,83
these,82
its,81
up,79
most,78
our,76
like,75
what,73
great,70
even,69
if,67
been,65
other,64
any,63
could,63
man,61
only,60
through,57
may,55
would,55
such,55
time,54
english,54
canada,53
when,53
her,52
after,51
new,51
young,51
us,51
world,51
down,51
over,51
few,50
life,49
will,49
american,49
water,47
two,46
yet,46
me,46
own,45
city,45
about,44
country,44
seemed,43
where,43
my,42
way,42
always,42
men,42
she,42
said,41
see,40
people,40
those,38
might,38
do,38
river,38
never,37
can,36
ever,36
each,36
back,35
again,35
first,34
how,34
made,34
old,34
day,34
whole,34
much,33
beauty,33
things,33
then,33
good,33
almost,32
many,32
too,32
away,32
land,32
west,32
white,32
light,31
every,31
long,31
well,31
here,31
nothing,30
air,30
night,30
america,29
under,29
still,29
before,29
face,29
hour,29
place,29
half,28
england,28
rather,27
should,27
being,27
without,27
eyes,27
years,27
among,27
buildings,27
lake,27
say,26
least,26
last,26
side,26
round,26
itself,26
perhaps,25
himself,25
between,25
falls,24
seem,24
nor,24
part,24
same,24
streets,24
canadian,24
come,23
go,23
know,23
high,23
take,23
while,23
once,23
just,23
york,22
feel,22
right,22
sense,22
another,22
mind,22
feet,22
civilisation,22
above,21
poetic,21
fact,21
quite,21
different,21
found,21
your,21
off,21
though,21
earth,21
sky,21
five,21
miles,21
course,20
something,20
certain,20
find,20
because,20
race,20
did,20
make,20
large,20
passed,20
sight,20
end,20
less,20
along,20
montreal,19
far,19
beyond,19
left,19
human,19
seems,19
thought,19
heart,19
french,19
black,19
small,19
grey,19
toronto,19
now,18
must,18
general,18
across,18
kind,18
went,18
full,18
houses,18
east,18
british,18
next,17
boston,17
ottawa,17
quebec,17
winnipeg,17
think,17
indeed,17
kept,17
youth,17
better,17
give,17
four,17
called,17
came,17
upon,17
cities,17
street,17
thousand,17
against,17
body,17
hundred,17
town,17
harvard,16
given,16
best,16
sometimes,16
anything,16
feeling,16
having,16
also,16
blue,16
both,16
thing,16
three,16
seen,16
evening,16
certainly,16
themselves,16
boat,16
sea,16
vast,16
middle,16
dark,16
happy,15
short,15
whether,15
friend,15
behind,15
close,15
green,15
power,15
immense,15
brown,15
car,15
train,15
hills,15
rupert,14
indians,14
true,14
question,14
point,14
fine,14
everything,14
enough,14
further,14
felt,14
faces,14
samoa,14
continually,14
lower,14
looking,14
wild,14
states,13
south,13
interest,13
nature,13
case,13
various,13
hand,13
expression,13
does,13
modern,13
why,13
spirit,13
past,13
often,13
later,13
whose,13
conscious,13
become,13
shall,13
lonely,13
business,13
perfect,13
wind,13
americans,13
morning,13
indian,13
sun,13
german,13
children,13
class,13
stream,13
touts,13
rockies,12
poet,12
else,12
mean,12
either,12
darkness,12
really,12
art,12
grace,12
figure,12
took,12
show,12
word,12
places,12
front,12
rich,12
stands,12
real,12
island,12
big,12
queer,12
thin,12
mouth,12
crowd,12
st,12
rock,12
year,11
war,11
ontario,11
whom,11
history,11
watch,11
clear,11
matter,11
impression,11
appearance,11
open,11
character,11
twenty,11
name,11
age,11
hard,11
days,11
one's,11
together,11
hands,11
sort,11
others,11
saw,11
record,11
turn,11
knew,11
fell,11
rest,11
friendly,11
lights,11
told,11
hours,11
friends,11
golden,11
ordinary,11
quiet,11
towards,11
till,11
suddenly,11
upper,11
head,11
except,11
foam,11
lawrence,11
woods,11
towns,11
form,10
soon,10
generally,10
moment,10
free,10
possible,10
vision,10
view,10
death,10
put,10
coloured,10
strange,10
lost,10
already,10
especially,10
beautiful,10
parts,10
imagination,10
aware,10
appear,10
whatever,10
living,10
perpetually,10
chance,10
party,10
goes,10
broken,10
heard,10
surface,10
harbour,10
mist,10
colour,10
railway,10
beneath,10
change,10
lovely,10
live,10
game,10
trees,10
thoughts,10
population,10
rocks,10
laughing,10
spray,10
letters,9
note,9
niagara,9
secret,9
experience,9
happened,9
quality,9
set,9
moral,9
measure,9
neither,9
charm,9
child,9
consciousness,9
born,9
social,9
waste,9
doubt,9
simply,9
died,9
public,9
gone,9
home,9
going,9
complete,9
meet,9
mr,9
admirable,9
verse,9
tell,9
centre,9
nearly,9
pleasant,9
stood,9
munich,9
sign,9
region,9
low,9
community,9
soul,9
kindly,9
fire,9
waters,9
built,9
get,9
slowly,9
older,9
wide,9
suppose,9
love,9
sat,9
peaks,9
money,9
banks,9
canadians,9
villages,9
village,9
lakes,9
mountains,9
calgary,9
agent,9
probably,8
present,8
due,8
particular,8
touch,8
need,8
rate,8
occasion,8
begin,8
sudden,8
met,8
speak,8
flood,8
moved,8
intelligence,8
ways,8
words,8
fall,8
company,8
gave,8
remember,8
however,8
cannot,8
remain,8
gods,8
taken,8
work,8
taste,8
berlin,8
turning,8
dignity,8
lines,8
type,8
impossible,8
islands,8
store,8
noble,8
line,8
understand,8
hear,8
thrown,8
smoke,8
innumerable,8
dead,8
hotel,8
european,8
hot,8
mile,8
around,8
north,8
government,8
clouds,8
deep,8
visible,8
thirty,8
laughter,8
started,7
beginning,7
appeared,7
literature,7
personal,7
genius,7
help,7
story,7
finest,7
thus,7
making,7
absolutely,7
ground,7
taking,7
truth,7
volume,7
romance,7
comes,7
felicity,7
keep,7
common,7
began,7
hung,7
occasionally,7
effect,7
wouldn't,7
shade,7
play,7
greater,7
cambridge,7
early,7
rare,7
london,7
john,7
service,7
movement,7
flower,7
reading,7
waiting,7
closed,7
success,7
picture,7
fairly,7
wonder,7
falling,7
flat,7
merely,7
higher,7
thrill,7
becomes,7
nations,7
completely,7
music,7
it's,7
several,7
near,7
hope,7
summer,7
cliff,7
europe,7
turned,7
distant,7
voice,7
arm,7
divided,7
square,7
hair,7
stand,7
red,7
lady,7
melancholy,7
gigantic,7
ago,7
heavy,7
lives,7
national,7
inhabitants,7
deal,7
fields,7
prairie,7
cloud,7
tiny,7
flowers,7
evil,7
edmonton,7
dawn,7
germans,7
germany,7
journey,6
united,6
book,6
longer,6
reach,6
cold,6
difficulty,6
force,6
proportion,6
apt,6
strike,6
carried,6
miss,6
order,6
pathetic,6
association,6
radiant,6
extraordinarily,6
example,6
ones,6
highest,6
degree,6
comfortable,6
final,6
coming,6
therefore,6
